epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.098398022029711,1.0822497010231018,1.098398022029711,0.1140149452764055,0.0,1.0822497010231018,0.11562495281298955,0.0,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.1128624729488208,1.079988169670105,1.1128624729488208,0.11573038898084474,0.0,1.079988169670105,0.11537348975737889,0.0,0.5141283260741003,0.8108227812153966,80.0,0.29154879482185947,-0.6717514619768059,0.29154879482185947,-0.6717514619768059,0.9123002656585967,0.9556736039447344,-0.6717514619768059,-0.03002722833908744,0.9123002656585967,0.9556736039447344,-0.6717514619768059,-0.03002722833908744,0.5141283260741003,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.1031353836474211,1.072867174943288,1.1031353836474211,0.11427439004182816,0.0,1.072867174943288,0.11457762022813162,0.0,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.096238216628199,1.0518321633338927,1.096238216628199,0.11377449171698611,0.0,1.0518321633338927,0.11222986280918121,0.0,0.5754512530288082,0.8225308965580027,80.0,0.27145966640884733,-0.24883871216236542,0.27145966640884733,-0.24883871216236542,0.7644101269180572,0.7999054669771682,-0.22963821609747082,-0.24883871216236542,0.7644101269180572,0.7999054669771682,-0.22963821609747082,-0.24883871216236542,0.5754512530288082,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,1.075898509958516,1.006275443236033,1.075898509958516,0.1115448123410992,0.0,1.006275443236033,0.10717420925696691,0.0,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,1.0907321261323017,0.9278273860613505,1.0907321261323017,0.11218182191900584,0.0,0.9278273860613505,0.09848780383666357,0.0,0.12946929119382278,0.5942121316631765,80.0,-0.2735665660727697,-1.547413454645568,-0.2735665660727697,-1.547413454645568,0.874627613714106,0.480915737509258,-1.547413454645568,-0.9023961608688749,0.874627613714106,0.480915737509258,-1.547413454645568,-0.9023961608688749,0.12946929119382278,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,1.0382391188455664,0.8493578275044759,1.0382391188455664,0.10728413449681323,0.0,0.8493578275044759,0.08976349830627442,0.0,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,1.0356573877127275,0.8064629475275675,1.0356573877127275,0.10727464796408363,0.0,0.8064629475275675,0.08502240454157194,0.0,0.20385695346468724,0.6266814104208104,80.0,-0.5015817886195397,-1.2384770533752634,-0.5015817886195397,-1.2384770533752634,-0.38791812746999965,0.29480402163646213,-0.6747359952693579,-1.2384770533752634,-0.38791812746999965,0.29480402163646213,-0.6747359952693579,-1.2384770533752634,0.20385695346468724,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,1.017301909301592,0.7949428002039591,1.017301909301592,0.10470837322266205,0.0,0.7949428002039591,0.08373205214738846,0.0,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,1.0491134317024895,0.7838448762893677,1.0491134317024895,0.10856074094772339,0.0,0.7838448762893677,0.08248956476648649,0.0,0.46819634036855473,0.7970510034361769,80.0,-0.39278537585738227,-1.6509988536388969,-0.39278537585738227,-1.6509988536388969,-0.5755951316726646,0.6618367431593858,-0.006384261277353476,-1.6509988536388969,-0.5755951316726646,0.6618367431593858,-0.006384261277353476,-1.6509988536388969,0.46819634036855473,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
