epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.36650166090796976,0.35215265303850174,0.36650166090796976,0.00011116547188173761,0.0,0.35215265303850174,0.00010480080284954359,0.0,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.355259194093592,0.3381396755576134,0.355259194093592,0.00010733716258340898,0.0,0.3381396755576134,0.00010013178689405322,0.0,0.9552455006622229,0.9867219807613166,60.0,0.4274844346659103,-0.6333647314758362,0.4274844346659103,-0.6333647314758362,0.9409057399313001,0.974912295542267,-0.6333647314758362,0.9409057399313001,0.974912295542267,-0.6333647314758362,0.9552455006622229,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.33588256555445056,0.31005991250276566,0.33588256555445056,0.000100856925949783,0.0,0.31005991250276566,9.084504866526306e-05,0.0,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.3003465059925528,0.2627536120514075,0.3003465059925528,8.920447983066825e-05,0.0,0.2627536120514075,7.578118008192784e-05,0.0,0.9695452036960276,0.9878351139562694,60.0,0.60800784252704,-0.1082313156163961,0.60800784252704,-0.1082313156163961,0.9450349223723943,0.9872199208251219,-0.1082313156163961,0.9450349223723943,0.9872199208251219,-0.1082313156163961,0.9695452036960276,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.2498770610374563,0.2121016706029574,0.2498770610374563,7.381917812916286e-05,0.0,0.2121016706029574,6.183714413054986e-05,0.0,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.20389154378105612,0.16906669115026793,0.20389154378105612,6.203451138229438e-05,0.0,0.16906669115026793,5.02888327294689e-05,0.0,0.9768423859120302,0.9885195459607298,60.0,0.7068457057420301,0.18457102514432633,0.7068457057420301,0.18457102514432633,0.9419006725737666,0.9940654195079973,0.18457102514432633,0.9419006725737666,0.9940654195079973,0.18457102514432633,0.9768423859120302,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.16235819195999818,0.1385061933348576,0.16235819195999818,5.040697514606804e-05,0.0,0.1385061933348576,4.124287382486121e-05,0.0,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.1399324334719602,0.1250732485204935,0.1399324334719602,4.3900557904956205e-05,0.0,0.1250732485204935,3.728369847522117e-05,0.0,0.974725802486155,0.98800844659096,60.0,0.7137580456460172,0.2194493125345477,0.7137580456460172,0.2194493125345477,0.9310892535347274,0.9907355708687768,0.2194493125345477,0.9310892535347274,0.9907355708687768,0.2194493125345477,0.974725802486155,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.12668385926414938,0.11324567782382171,0.12668385926414938,3.9817242770154465e-05,0.0,0.11324567782382171,3.349399078918699e-05,0.0,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.11446705460548401,0.1022201261172692,0.11446705460548401,3.5877416367464536e-05,0.0,0.1022201261172692,2.9972015454404755e-05,0.0,0.975158576058988,0.987603401329677,60.0,0.7073172566702272,0.19786030817088995,0.7073172566702272,0.19786030817088995,0.9315700302296428,0.9925214316101486,0.19786030817088995,0.9315700302296428,0.9925214316101486,0.19786030817088995,0.975158576058988,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.10476837394868627,0.0934743353476127,0.10476837394868627,3.278209559913889e-05,0.0,0.0934743353476127,2.7250289652632393e-05,0.0,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.09604133840869455,0.08604573955138524,0.09604133840869455,3.000862285689971e-05,0.0,0.08604573955138524,2.4835417813543852e-05,0.0,0.9746868165004464,0.9874563850949005,60.0,0.7047181786286424,0.19146683704499246,0.7047181786286424,0.19146683704499246,0.9308365146545656,0.9918511841863693,0.19146683704499246,0.9308365146545656,0.9918511841863693,0.19146683704499246,0.9746868165004464,1,1,12,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.08933961961199255,0.07971581940849622,0.08933961961199255,2.779321199769209e-05,0.0,0.07971581940849622,2.2822999805309035e-05,0.0,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
