epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.722521565333989,0.7165911117732651,0.722521565333989,0.2183500930019047,0.0,0.7224224544721737,0.9948689068618574,0.6250314486026763,0.547763451399249,0.7165911117732651,0.16834878815071924,0.0,0.7918664540359962,0.5216659004884687,0.5333775628225835,1.0194545297460123,,,,,,,,,,,,,,,,,1,8,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
2,0.6913541990844737,0.6417275187354377,0.6913541990844737,0.2157614159843196,0.0,0.7143961513561622,0.9994625839015894,0.525184480718484,0.5263735803616593,0.6417275187354377,0.16775823810270854,0.0,0.7679942511911081,0.27321521048857406,0.5097888776847288,1.0159117355773395,0.02410057472625471,0.48141097299590974,80.0,-0.4904196409209212,-0.6284904109541358,-0.4904196409209212,-0.6284904109541358,-0.25971413378261454,-0.6284904109541358,-0.44558465252379786,-0.6278893664231366,-0.25971413378261454,-0.6284904109541358,-0.44558465252379786,-0.6278893664231366,0.02410057472625471,1,8,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
3,0.6591230744747608,0.6151819230194882,0.6591230744747608,0.21731744447480078,0.0,0.6755677626134926,0.9886960110120606,0.5032889492018965,0.4689395750715937,0.6151819230194882,0.16524452822549002,0.0,0.7373415581628003,0.2788796045478772,0.44965907359411095,0.9948474557731639,,,,,,,,,,,,,,,,,1,8,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
4,0.6207883544744957,0.5827474316883705,0.6207883544744957,0.21709158951821533,0.0,0.6246858246477419,0.9665959976744234,0.4816013662304664,0.41027022934535096,0.5827474316883705,0.16389555377619608,0.0,0.6406789155338298,0.32100862255108287,0.3854401618538594,0.98386202681471,0.4003087250565467,0.6364985088011945,80.0,-0.07761787251996768,-0.7300473807493235,-0.07761787251996768,-0.7300473807493235,0.3061066693726674,0.09057655988767,0.02289266140911539,-0.7300473807493235,0.3061066693726674,0.09057655988767,0.02289266140911539,-0.7300473807493235,0.4003087250565467,1,8,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
5,0.5725895222974124,0.5376029040624747,0.5725895222974124,0.21467570571795755,0.0,0.5367855395468181,0.9560164450030578,0.46594549600851903,0.3316106086312548,0.5376029040624747,0.1644759513437748,0.0,0.5234574134249917,0.32896070751276885,0.3111734767666679,0.9868200185454704,,,,,,,,,,,,,,,,,1,8,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
6,0.5285612826004906,0.5028531709726931,0.5285612826004906,0.21945885601251022,0.0,0.44604298023212896,0.9626792274232496,0.42842575536763067,0.27709716737895324,0.5028531709726931,0.16632792140756333,0.0,0.4600959652018818,0.27268961517309603,0.2782958441493313,1.0003312593664635,0.475154671904933,0.69955598980085,80.0,-0.08650244952346894,-1.1469519629682083,-0.08650244952346894,-1.1469519629682083,0.44934679759817153,0.38154006584320876,-0.029944698567047734,-1.1469519629682083,0.44934679759817153,0.38154006584320876,-0.029944698567047734,-1.1469519629682083,0.475154671904933,1,8,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
7,0.4914827321316401,0.49719693014776567,0.4914827321316401,0.22003547652907993,0.0,0.362722326669793,0.9700315036637741,0.3898360561888273,0.2433410420041662,0.49719693014776567,0.16697518527507782,0.0,0.4001617440149527,0.2808610380352051,0.29318261173585514,1.0145823268050498,,,,,,,,,,,,,,,,,1,8,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
8,0.4709566067422132,0.49821089645318517,0.4709566067422132,0.22052412318146747,0.0,0.3176824621001683,0.9844598563355312,0.3494530604149444,0.23223104811820872,0.49821089645318517,0.16704359757048742,0.0,0.4087828544820447,0.2530295162784486,0.3073761523415504,1.023655062710697,0.5621421601767256,0.7554423986592637,80.0,0.14209550221717215,-0.6171788577337516,0.14209550221717215,-0.6171788577337516,0.5818545454563988,0.5116340709588859,0.09207225018715526,-0.6171788577337516,0.5818545454563988,0.5116340709588859,0.09207225018715526,-0.6171788577337516,0.5621421601767256,1,8,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
9,0.45801965269197814,0.48161389017861267,0.45801965269197814,0.22454484519751175,0.0,0.2926120733044094,0.9821875329341805,0.3379823546642193,0.21929664986510353,0.48161389017861267,0.1666120429124151,0.0,0.3782893736481624,0.23531110637016933,0.2986092320167121,1.014245848679407,,,,,,,,,,,,,,,,,1,8,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
10,0.4513262669366617,0.4781113879392995,0.4513262669366617,0.22032764554023743,0.0,0.27466783271612305,0.9810199149397382,0.33851912992213967,0.2110981901686459,0.4781113879392995,0.16675883212259837,0.0,0.3770547837225339,0.23257706174375595,0.28506961828732696,1.0177440880035813,0.6163312946645962,0.788710567339743,80.0,0.27047541100789485,-0.38280133138730865,0.27047541100789485,-0.38280133138730865,0.7184127078766116,0.6408267780256705,0.105463489516606,-0.38280133138730865,0.7184127078766116,0.6408267780256705,0.105463489516606,-0.38280133138730865,0.6163312946645962,1,8,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
