epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_source_reid_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.7267979690256088,0.7207459298090146,0.7267979690256088,0.2157464960347051,0.0,0.7246144428966861,0.9920409280375431,0.6392674257044206,0.5512690794637851,0.7207459298090146,0.16840249300003052,0.0,0.787985038298542,1.016014279526743,0.5268873443168228,0.5520970570939508,,,,,,,,,,,,,,,,,1,8,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
2,0.691132843207237,0.6504460591779206,0.691132843207237,0.21785455877366272,0.0,0.6993075108274883,0.9908841991006282,0.5536501104005596,0.5206895525002722,0.6504460591779206,0.16733775926487787,0.0,0.755597600437415,1.0100693316452882,0.507449349884039,0.3286679547449404,0.07833310627910228,0.503456186612998,80.0,-0.6428410239667945,-1.4756479102527789,-0.6428410239667945,-1.4756479102527789,-0.24938861512082378,-0.5093249912411688,-0.33700257925240695,-1.4756479102527789,-0.24938861512082378,-0.5093249912411688,-0.33700257925240695,-1.4756479102527789,0.07833310627910228,1,8,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
3,0.6489909327186832,0.5841486137915953,0.6489909327186832,0.21724844691546066,0.0,0.6427383112904141,0.9775323562768468,0.5142459702406798,0.4614470930667921,0.5841486137915953,0.16482380511505262,0.0,0.6510096904694695,0.9901490828361024,0.4177753639513288,0.2776603179094805,,,,,,,,,,,,,,,,,1,8,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
4,0.5983330442657971,0.5487699334300653,0.5983330442657971,0.21993765299734863,0.0,0.5624083306173091,0.9591734064357322,0.4960216683340504,0.375728771676097,0.5487699334300653,0.16659983034644807,0.0,0.5067144534465942,0.9866000696508722,0.3476611652559685,0.35410404536682605,0.39574818563503245,0.6547789873373359,80.0,-0.001061318968376912,-0.40678257827688946,-0.001061318968376912,-0.40678257827688946,0.33307802425090116,0.23872740698670125,-0.1692681288342206,-0.40678257827688946,0.33307802425090116,0.23872740698670125,-0.1692681288342206,-0.40678257827688946,0.39574818563503245,1,8,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
5,0.5509628352265307,0.536306982669736,0.5509628352265307,0.21957241290289423,0.0,0.4453626339059127,0.9564119588701349,0.4848385909653122,0.31723815716476295,0.536306982669736,0.16917917132377625,0.0,0.485651053578741,1.0001618617806922,0.31234591542743145,0.34706909989207896,,,,,,,,,,,,,,,,,1,8,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
6,0.5361899309501199,0.5077450050535183,0.5361899309501199,0.21975890773793924,0.0,0.4111248522416868,0.9630802456537882,0.4857083574112243,0.2848462684937802,0.5077450050535183,0.1689050602061408,0.0,0.4357866792460713,0.9992627375081858,0.29170827184253456,0.3042223316172815,0.42813999304614647,0.6653558002374693,80.0,-0.08833436631354008,-0.8622716192204085,-0.08833436631354008,-0.8622716192204085,0.2929070216947325,0.3580451984955382,-0.14201806622402247,-0.8622716192204085,0.2929070216947325,0.3580451984955382,-0.14201806622402247,-0.8622716192204085,0.42813999304614647,1,8,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
7,0.5119506182853978,0.490222076592115,0.5119506182853978,0.22514600792656775,0.0,0.3837906712055076,0.9662362540918484,0.43755178324155214,0.2602237646026831,0.490222076592115,0.1686077235000474,0.0,0.3983294101680671,0.9999836723489518,0.2727441346463324,0.2898310892051086,,,,,,,,,,,,,,,,,1,8,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
8,0.4874346928382721,0.5010661578356204,0.4874346928382721,0.22008265554904938,0.0,0.34585169442136887,0.9800430725593315,0.37380981546651015,0.2500341889058779,0.5010661578356204,0.16792139783501625,0.0,0.4127922965237469,1.0235340840267864,0.30103384169792247,0.26690440909402574,0.4462413342534818,0.682774004424553,80.0,-0.04310902750545517,-0.8162432281057395,-0.04310902750545517,-0.8162432281057395,0.39762567666862525,0.4145805389214451,-0.16839909750615156,-0.8162432281057395,0.39762567666862525,0.4145805389214451,-0.16839909750615156,-0.8162432281057395,0.4462413342534818,1,8,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
9,0.47571027349025063,0.5101148195906717,0.47571027349025063,0.22573615869750147,0.0,0.3078152693757428,0.9885170900089699,0.36731292389124925,0.23919581068504045,0.5101148195906717,0.16814529736127173,0.0,0.453719525846695,1.0328912245617672,0.2922024795510383,0.2616460484031863,,,,,,,,,,,,,,,,,1,8,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
10,0.46271453356546993,0.4750189534727807,0.46271453356546993,0.21922736193822778,0.0,0.28661226529926226,0.9887239372050554,0.3448525657623255,0.2306693659952368,0.4750189534727807,0.167918361723423,0.0,0.3513740665573013,1.018550709939816,0.26880894478579814,0.2613420926082075,0.40524963676968717,0.6859116142536719,80.0,-0.2856933842524928,-1.6803888351128555,-0.2856933842524928,-1.6803888351128555,0.415420413930249,0.5239168972209027,-0.4017220130482675,-1.6803888351128555,0.415420413930249,0.5239168972209027,-0.4017220130482675,-1.6803888351128555,0.40524963676968717,1,8,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,zero
