epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.0098177453745967,0.7686921219031017,1.0098177453745967,0.10513220500686894,0.0,0.7686921219031017,0.08111043944954872,0.0,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,0.9871760995491691,0.7685550153255463,0.9871760995491691,0.10257514388017032,0.0,0.7685550153255463,0.08109546427925428,0.0,0.09743182231669312,0.38375620794877396,80.0,-2.709185682490401,-10.368628839703964,-2.709185682490401,-10.368628839703964,0.02661500470647682,-0.32747459200714224,-0.1672543029569733,-10.368628839703964,0.02661500470647682,-0.32747459200714224,-0.1672543029569733,-10.368628839703964,0.09743182231669312,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,0.9940436845240386,0.7681236108144124,0.9940436845240386,0.10334856127915175,0.0,0.7681236108144124,0.08104799017310142,0.0,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,1.0153369333433069,0.7673285722732544,1.0153369333433069,0.10574012589843376,0.0,0.7673285722732544,0.08095884621143341,0.0,0.26556890635098085,0.5736651666531111,80.0,-0.12426420549546213,-0.2833540043903855,-0.12426420549546213,-0.2833540043903855,0.11696227331449371,-0.24013928342694735,-0.0905258074790094,-0.2833540043903855,0.11696227331449371,-0.24013928342694735,-0.0905258074790094,-0.2833540043903855,0.26556890635098085,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.989869141060373,0.766451237599055,0.989869141060373,0.10272820293903351,0.0,0.766451237599055,0.08086157416303953,0.0,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.9897472806598829,0.765141612291336,0.9897472806598829,0.10294595684694208,0.0,0.765141612291336,0.08071530560652415,0.0,0.41264711455724934,0.6423947085028359,80.0,0.02611153883930964,-0.266871557759903,0.02611153883930964,-0.266871557759903,0.19662631800949426,0.05492606351078133,0.11976533159686598,-0.266871557759903,0.19662631800949426,0.05492606351078133,0.11976533159686598,-0.266871557759903,0.41264711455724934,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.9843523139538972,0.763874872525533,0.9843523139538972,0.10231950296008069,0.0,0.763874872525533,0.08057463218768438,0.0,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.9947974448618682,0.7624006927013397,0.9947974448618682,0.10321389235880064,0.0,0.7624006927013397,0.0804110939304034,0.0,0.4684556048019186,0.6846763515172744,80.0,0.12383688079085023,-0.17883485617583883,0.12383688079085023,-0.17883485617583883,0.3485697639242471,0.15577197548134425,0.1698406399336484,-0.17883485617583883,0.3485697639242471,0.15577197548134425,0.1698406399336484,-0.17883485617583883,0.4684556048019186,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.9871967668118684,0.7603134373823802,0.9871967668118684,0.10255702682163405,0.0,0.7603134373823802,0.08017840683460235,0.0,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.9854335992232613,0.7582670231660207,0.9854335992232613,0.10240872269091399,0.0,0.7582670231660207,0.0799499087035656,0.0,0.5004492727664834,0.7081119949025941,80.0,0.11650167957601756,-0.10236701709581264,0.11650167957601756,-0.10236701709581264,0.03518859889971382,0.27589143104583036,0.2572937054543387,-0.10236701709581264,0.03518859889971382,0.27589143104583036,0.2572937054543387,-0.10236701709581264,0.5004492727664834,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.9884889566380045,0.7556214988231659,0.9884889566380045,0.10269704623066861,0.0,0.7556214988231659,0.07965790356198947,0.0,,,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.9705138387887374,0.753938881556193,0.9705138387887374,0.10068506617908893,0.0,0.753938881556193,0.07947530150413513,0.0,0.6026455714392069,0.7795722466370087,80.0,0.013513659494247904,-0.5970619123773806,0.013513659494247904,-0.5970619123773806,-0.4064881302625367,0.5462011143007603,0.5114035663161486,-0.5970619123773806,-0.4064881302625367,0.5462011143007603,0.5114035663161486,-0.5970619123773806,0.6026455714392069,1,1,12,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
13,0.9673082673031351,0.7491307179133098,0.9673082673031351,0.10040307206952054,0.0,0.7491307179133098,0.07894339834650357,0.0,,,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
14,0.9683439394702082,0.7457428773244222,0.9683439394702082,0.10055780912870946,0.0,0.7457428773244222,0.07857384830713272,0.0,0.7048944992395112,0.8472466192139909,80.0,0.11732443871572049,-1.0130444128413116,0.11732443871572049,-1.0130444128413116,-1.0130444128413116,0.813288043804792,0.7790105404127333,-0.10995641651333177,-1.0130444128413116,0.813288043804792,0.7790105404127333,-0.10995641651333177,0.7048944992395112,1,1,14,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
15,0.9598832441412884,0.7418440957864125,0.9598832441412884,0.09955395223653835,0.0,0.7418440957864125,0.07814623365799586,0.0,,,,,,,,,,,,,,,,,1,1,15,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
16,0.9481599641882855,0.7417638659477234,0.9481599641882855,0.09833683672806491,0.0,0.7417638659477234,0.07814208169778188,0.0,0.8020516179991811,0.8957050416703005,80.0,0.3580398092514523,-0.14610598020026244,0.3580398092514523,-0.14610598020026244,-0.14610598020026244,0.8813346383398707,0.7964602126112074,-0.09952963374500645,-0.14610598020026244,0.8813346383398707,0.7964602126112074,-0.09952963374500645,0.8020516179991811,1,1,16,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
