source,dimension,seed,position_mse_shared3,position_mse_shared4,strain_x_mae_shared3,strain_x_mae_shared4,strain_y_mae_shared3,strain_y_mae_shared4,p_ratio_r2_shared3,p_ratio_r2_shared4,p_ratio_mae_shared3,p_ratio_mae_shared4,legacy_p_ratio_r2_shared3,legacy_p_ratio_r2_shared4,legacy_p_ratio_mae_shared3,legacy_p_ratio_mae_shared4,position_mse_shared4_minus_shared3,strain_x_mae_shared4_minus_shared3,strain_y_mae_shared4_minus_shared3,p_ratio_r2_shared4_minus_shared3,p_ratio_mae_shared4_minus_shared3,legacy_p_ratio_r2_shared4_minus_shared3,legacy_p_ratio_mae_shared4_minus_shared3
depablo_low_temp,2,123,3.2595973465276986e-06,2.8649204182329413e-06,0.0011621237,0.0011242514,0.0010952002,0.00046912726,0.9428653554161744,0.9876333982889904,0.0706523083033971,0.0313060268759727,0.9430683621383656,0.987586771658027,0.070800976705928,0.0314314974934136,-3.9467692829475726e-07,-3.787229999999988e-05,-0.00062607294,0.044768042872815994,-0.0393462814274244,0.04451840951966135,-0.0393694792125144
depablo_low_temp,2,456,3.294321490443508e-06,3.260155170892176e-06,0.0013977101,0.0013730715,0.0011158917,0.00085647515,0.9711267766937554,0.9757395459127328,0.0467475857585668,0.0393380962312221,0.9713463265876504,0.976016479099152,0.0467829922394669,0.0393945707446529,-3.416631955133198e-08,-2.463859999999999e-05,-0.0002594165499999999,0.004612769218977464,-0.007409489527344701,0.004670152511501602,-0.0073884214948140015
depablo_low_temp,2,786,3.1772125623774627e-06,3.3618772050658663e-06,0.001183708,0.0016514724,0.00152261,0.0008077278,0.923128532502698,0.9814307724529486,0.0854870134964585,0.040341757889837,0.923534741895714,0.9814041197711232,0.0856419966082626,0.0405024384455389,1.8466464268840355e-07,0.0004677644000000002,-0.0007148822,0.058302239950250634,-0.0451452556066215,0.057869377875409134,-0.045139558162723706
depablo_low_temp,4,123,3.058473973283071e-06,3.418594792492513e-06,0.0011887541,0.001882102,0.0010638639,0.0009054715,0.953113771166152,0.9646251400393552,0.0612228829879313,0.054534013941884,0.953259106181396,0.9651130236970265,0.0613748554951196,0.0545414679449551,3.60120819209442e-07,0.0006933479000000001,-0.00015839240000000007,0.011511368873203143,-0.006688869046047298,0.011853917515630474,-0.0068333875501645006
depablo_low_temp,4,456,3.21009877097822e-06,3.2123406299433555e-06,0.0010621672,0.0013631126,0.001121869,0.00080187886,0.9578320275926164,0.9833362977652286,0.062268029898405,0.0369103088974952,0.9582702250947784,0.9833897131450836,0.0623452263423057,0.0370432674428966,2.241858965135349e-09,0.0003009454000000001,-0.0003199901399999999,0.025504270172612142,-0.0253577210009098,0.025119488050305172,-0.025301958899409102
depablo_low_temp,4,786,3.3038380465200136e-06,3.55671963916393e-06,0.001955697,0.00204339,0.00090046506,0.00085342873,0.9859093753731216,0.9886539312494956,0.0358585618436336,0.031122008152306,0.9858957458788414,0.9885377079410848,0.0359940878051568,0.0313154152751581,2.5288159264391643e-07,8.76929999999998e-05,-4.703632999999996e-05,0.0027445558763740108,-0.004736553691327597,0.0026419620622433193,-0.004678672529998706
depablo_low_temp,6,123,3.123313329922439e-06,3.140450940009032e-06,0.0011816885,0.0012588433,0.0013355175,0.00072196964,0.9314541940025484,0.9870082673985476,0.0717956687323749,0.0310636699199676,0.9317034227592867,0.9870883220344364,0.0719791475880349,0.0310729168765651,1.7137610086593097e-08,7.715480000000012e-05,-0.00061354786,0.05555407339599927,-0.0407319988124073,0.05538489927514967,-0.0409062307114698
depablo_low_temp,6,456,3.2931412818015816e-06,3.581706366162507e-06,0.0014599832,0.001414556,0.0008270329,0.0009934687,0.9897417284573652,0.973619030673127,0.0299074824899435,0.0423664059489965,0.989856959969196,0.9739503179953958,0.0299343882156318,0.0423410080851649,2.8856508436092545e-07,-4.542720000000008e-05,0.0001664358,-0.016122697784238138,0.012458923459053,-0.015906641973800206,0.012406619869533102
depablo_low_temp,6,786,2.7594842237022022e-06,3.2998443856513405e-06,0.0012427741,0.0016169546,0.0008506974,0.0008290561,0.979549444433748,0.9800200355538632,0.042470976896584,0.0411875031888484,0.9796301299229286,0.980023031619584,0.0425534440290985,0.0413534801410821,5.403601619491383e-07,0.00037418050000000017,-2.1641299999999972e-05,0.00047059112011516024,-0.0012834737077355995,0.0003929016966554011,-0.0011999638880163949
depablo_low_temp,8,123,3.1448565010805395e-06,3.122538947764042e-06,0.0014502185,0.00095865235,0.0012036405,0.0003829261,0.9398622035252384,0.987394714753677,0.0688418379984796,0.0320132616907358,0.9399913725059602,0.9875095730417492,0.0690567853689686,0.0320373144319389,-2.2317553316497482e-08,-0.0004915661500000001,-0.0008207143999999999,0.0475325112284386,-0.03682857630774379,0.047518200535789035,-0.0370194709370297
depablo_low_temp,8,456,3.04072620167517e-06,3.2898846995976784e-06,0.001298479,0.0013853705,0.0009836566,0.0010001822,0.9718593903850206,0.9729905896704356,0.0431368831545114,0.046170949935913,0.972133221735755,0.9732175829216686,0.0431760982701438,0.0462877798400759,2.4915849792250844e-07,8.689150000000014e-05,1.652559999999986e-05,0.001131199285415052,0.003034066781401605,0.001084361185913596,0.0031116815699320996
depablo_low_temp,8,786,2.845394260475587e-06,3.291509560199301e-06,0.0009072494,0.0013999039,0.0008302166,0.0007474397,0.9791584575491988,0.9841561589648689,0.0437990503385663,0.0365287616848945,0.979181315402578,0.9842871273186332,0.0439439689186519,0.0365052493640286,4.4611529972371424e-07,0.0004926545,-8.277689999999999e-05,0.0049977014156700195,-0.007270288653671797,0.005105811916055192,-0.007438719554623295
depablo_mixed_temp,2,123,2.2345004771295864e-05,2.2075296487855667e-05,0.0019384425,0.0015891644,0.0010061251,0.0010761693,0.94113632577627,0.9252421582460988,0.0696972010657191,0.0704895410686731,0.9411001978894034,0.9254260956047976,0.0700588204480846,0.0708466371366002,-2.6970828344019605e-07,-0.0003492781,7.004420000000008e-05,-0.015894167530171255,0.0007923400029540006,-0.01567410228460575,0.0007878166885155885
depablo_mixed_temp,2,456,2.255649158655615e-05,2.3031214607271976e-05,0.0018122712,0.0012340897,0.001658963,0.0015401575,0.8325201946617491,0.8694973376140145,0.1148829216137528,0.0936966134235262,0.8314883041764298,0.8685913064602162,0.115688209435727,0.0943520570891513,4.747230207158275e-07,-0.0005781814999999998,-0.00011880549999999999,0.036977142952265396,-0.0211863081902266,0.03710300228378638,-0.021336152346575696
depablo_mixed_temp,2,786,2.2819518159167272e-05,2.294724475291332e-05,0.002227859,0.0023714765,0.0012623905,0.000715893,0.6240798851368548,0.9070567275582968,0.1211898373439908,0.0697247034870088,0.8942289429902732,0.922220235972602,0.0825035721668358,0.0675261783557487,1.27726593746047e-07,0.00014361750000000013,-0.0005464974999999999,0.28297684242144205,-0.05146513385698201,0.02799129298232883,-0.014977393811087106
depablo_mixed_temp,4,123,2.2427563050086973e-05,2.25289093975789e-05,0.0019297668,0.002316407,0.00090097095,0.001161081,0.9306108236419792,0.924229837488913,0.0636954859830439,0.0766880990937352,0.930662829630147,0.9247107475969808,0.0640079178896656,0.0769869381728269,1.0134634749192696e-07,0.0003866402,0.00026011005000000005,-0.006380986153066259,0.01299261311069129,-0.005952082033166217,0.012979020283161294
depablo_mixed_temp,4,456,2.2847588491003988e-05,2.272351384249305e-05,0.001140036,0.0013776293,0.0018064169,0.0016871446,0.7869685832307038,0.8134207827338497,0.1194078980013728,0.1066227082163095,0.8256912058255416,0.8165116720562696,0.1132211461740089,0.1066019658282103,-1.2407464851093848e-07,0.0002375932999999998,-0.00011927230000000001,0.026452199503145812,-0.012785189785063308,-0.009179533769271941,-0.0066191803457986
depablo_mixed_temp,4,786,2.3280119734181422e-05,2.372197166096157e-05,0.0018379133,0.002044668,0.0018113147,0.0012089041,0.6901816537877321,0.9204770317385784,0.1253163805231452,0.0747759580612182,0.8122789670775508,0.9204421922830384,0.1056644176021005,0.075210195049338,4.418519267801464e-07,0.0002067547,-0.0006024106,0.23029537795084631,-0.050540422461927,0.1081632252054876,-0.030454222552762505
depablo_mixed_temp,6,123,2.2543107206729477e-05,2.2769651747012176e-05,0.0017896078,0.001895541,0.0011030396,0.0009252488,0.9041242499002884,0.9135900985627332,0.0742915625683963,0.0756076347082853,0.9039615746018936,0.9139138178271766,0.0746909823653977,0.0759866824897273,2.265445402826986e-07,0.00010593319999999996,-0.0001777908000000001,0.00946584866244482,0.0013160721398890046,0.009952243225282986,0.001295700124329599
depablo_mixed_temp,6,456,2.281428908190719e-05,2.319492222113695e-05,0.0014950832,0.0014983828,0.001605395,0.001662416,0.8097176896918683,0.8301307253191004,0.1023322589695453,0.1030306678265333,0.841910865691806,0.8467239988337809,0.0971970100588818,0.1006302600079559,3.8063313922975794e-07,3.299599999999998e-06,5.702099999999998e-05,0.020413035627232068,0.0006984088569880059,0.004813133141974957,0.0034332499490740964
depablo_mixed_temp,6,786,2.3211909973497316e-05,2.2603120680741998e-05,0.0020102295,0.002302511,0.00067411,0.00094485085,0.8850658686904416,0.9633363832624336,0.0727320516481995,0.049380088597536,0.8839256537866591,0.9630218509375827,0.0733214378865374,0.0497303956088198,-6.087892927553185e-07,0.0002922815000000003,0.00027074084999999996,0.07827051457199208,-0.023351963050663498,0.07909619715092364,-0.023591042277717605
