split,source,sim_idx,frame,z0,z1
train,depablo_low_temp,0,0,-0.5603618025779724,0.4574643671512604
train,depablo_low_temp,0,10,-1.0740578174591064,0.8685784935951233
train,depablo_low_temp,0,20,-1.6291487216949463,1.1953595876693726
train,depablo_low_temp,0,30,-2.228013753890991,1.491234302520752
train,depablo_low_temp,0,40,-2.8700063228607178,1.7525410652160645
train,depablo_low_temp,0,50,-3.5538415908813477,1.9782307147979736
train,depablo_low_temp,0,60,-4.279783248901367,2.1642343997955322
train,depablo_low_temp,0,70,-5.047054767608643,2.3077449798583984
train,depablo_low_temp,0,80,-5.856932640075684,2.406972646713257
train,depablo_low_temp,0,90,-6.708369731903076,2.4569528102874756
train,depablo_low_temp,0,100,-7.603864669799805,2.455132246017456
train,depablo_low_temp,1,0,-0.6946828365325928,-1.6591769456863403
train,depablo_low_temp,1,10,-1.1502124071121216,-1.9135268926620483
train,depablo_low_temp,1,20,-1.7276201248168945,-2.3718128204345703
train,depablo_low_temp,1,30,-2.4365365505218506,-2.8722305297851562
train,depablo_low_temp,1,40,-3.2642407417297363,-3.395430564880371
train,depablo_low_temp,1,50,-4.1991353034973145,-3.9348583221435547
train,depablo_low_temp,1,60,-5.229633331298828,-4.483053207397461
train,depablo_low_temp,1,70,-6.344444274902344,-5.036941051483154
train,depablo_low_temp,1,80,-7.5370683670043945,-5.599295616149902
train,depablo_low_temp,1,90,-8.799001693725586,-6.168438911437988
train,depablo_low_temp,1,100,-10.124174118041992,-6.748413562774658
train,depablo_low_temp,2,0,-0.5752310156822205,-0.022528767585754395
train,depablo_low_temp,2,10,-1.1258574724197388,0.13970983028411865
train,depablo_low_temp,2,20,-1.762052297592163,0.18780598044395447
train,depablo_low_temp,2,30,-2.4843196868896484,0.18398232758045197
train,depablo_low_temp,2,40,-3.2874584197998047,0.1384749710559845
train,depablo_low_temp,2,50,-4.166964530944824,0.059205323457717896
train,depablo_low_temp,2,60,-5.119487762451172,-0.04294019564986229
train,depablo_low_temp,2,70,-6.141622543334961,-0.15792244672775269
train,depablo_low_temp,2,80,-7.231194496154785,-0.2736407518386841
train,depablo_low_temp,2,90,-8.389093399047852,-0.38184964656829834
train,depablo_low_temp,2,100,-9.619659423828125,-0.4691167175769806
train,depablo_low_temp,3,0,-0.4875481426715851,2.537076234817505
train,depablo_low_temp,3,10,-0.8431549072265625,3.2367489337921143
train,depablo_low_temp,3,20,-1.2238187789916992,3.941038131713867
train,depablo_low_temp,3,30,-1.6320068836212158,4.649760723114014
train,depablo_low_temp,3,40,-2.067192554473877,5.361626625061035
train,depablo_low_temp,3,50,-2.52921462059021,6.076347351074219
train,depablo_low_temp,3,60,-3.016859292984009,6.792272567749023
train,depablo_low_temp,3,70,-3.5300755500793457,7.5094709396362305
train,depablo_low_temp,3,80,-4.067779541015625,8.226713180541992
train,depablo_low_temp,3,90,-4.629454612731934,8.944131851196289
train,depablo_low_temp,3,100,-5.213985443115234,9.660633087158203
train,depablo_low_temp,4,0,-0.6168727874755859,-1.0237972736358643
train,depablo_low_temp,4,10,-1.0737102031707764,-1.124375820159912
train,depablo_low_temp,4,20,-1.6267038583755493,-1.3993330001831055
train,depablo_low_temp,4,30,-2.2868993282318115,-1.7300841808319092
train,depablo_low_temp,4,40,-3.0492937564849854,-2.116347312927246
train,depablo_low_temp,4,50,-3.90803861618042,-2.5516586303710938
train,depablo_low_temp,4,60,-4.8578596115112305,-3.034266710281372
train,depablo_low_temp,4,70,-5.892902851104736,-3.559546947479248
train,depablo_low_temp,4,80,-7.008077621459961,-4.125177383422852
train,depablo_low_temp,4,90,-8.195068359375,-4.7263922691345215
train,depablo_low_temp,4,100,-9.447986602783203,-5.360709190368652
train,depablo_low_temp,5,0,-0.4987195134162903,2.4870266914367676
train,depablo_low_temp,5,10,-0.9981827735900879,3.3409712314605713
train,depablo_low_temp,5,20,-1.5354692935943604,4.20382022857666
