epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_depablo_low_temp_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.8047413311114436,0.8340711110504344,0.8059811559750846,0.8047413311114436,0.8047413311114436,0.8047413311114436,0.8347051026066765,0.8340711110504344,0.8340711110504344,0.8340711110504344,depablo_low_temp,8,normalized_delta,128
2,0.5641878252358813,0.8350345783401281,0.5657456435263157,0.5641878252358813,0.5641878252358813,0.5641878252358813,0.8328315656399354,0.8350345783401281,0.8350345783401281,0.8350345783401281,depablo_low_temp,8,normalized_delta,128
3,0.5112077647526013,0.7266868691658601,0.5133688327513243,0.5112077647526013,0.5112077647526013,0.5112077647526013,0.7261046643252485,0.7266868691658601,0.7266868691658601,0.7266868691658601,depablo_low_temp,8,normalized_delta,128
4,0.4867338962068683,0.704993056046078,0.4888000797676413,0.4867338962068683,0.4867338962068683,0.4867338962068683,0.7049567471258342,0.704993056046078,0.704993056046078,0.704993056046078,depablo_low_temp,8,normalized_delta,128
5,0.47924584066005127,0.6996734607382677,0.4814697048773891,0.47924584066005127,0.47924584066005127,0.47924584066005127,0.6996298766462132,0.6996734607382677,0.6996734607382677,0.6996734607382677,depablo_low_temp,8,normalized_delta,128
6,0.47576555366578854,0.6964078626479022,0.4780154208799726,0.47576555366578854,0.47576555366578854,0.47576555366578854,0.6963810015295167,0.6964078626479022,0.6964078626479022,0.6964078626479022,depablo_low_temp,8,normalized_delta,128
7,0.47323974257237034,0.6933302255056333,0.4755054391528431,0.47323974257237034,0.47323974257237034,0.47323974257237034,0.6933062814350706,0.6933302255056333,0.6933302255056333,0.6933302255056333,depablo_low_temp,8,normalized_delta,128
8,0.47057294273062755,0.6888975212641526,0.47285911215371207,0.47057294273062755,0.47057294273062755,0.47057294273062755,0.6888845839130227,0.6888975212641526,0.6888975212641526,0.6888975212641526,depablo_low_temp,8,normalized_delta,128
9,0.46687198022478504,0.6802885798970237,0.4691757615263525,0.46687198022478504,0.46687198022478504,0.46687198022478504,0.6803411686269101,0.6802885798970237,0.6802885798970237,0.6802885798970237,depablo_low_temp,8,normalized_delta,128
10,0.45990132967892444,0.6656880179070868,0.4621993485642107,0.45990132967892444,0.45990132967892444,0.45990132967892444,0.6659081635589246,0.6656880179070868,0.6656880179070868,0.6656880179070868,depablo_low_temp,8,normalized_delta,128
11,0.4477049474457377,0.637308013276197,0.4499071102785437,0.4477049474457377,0.4477049474457377,0.4477049474457377,0.6374844038073206,0.637308013276197,0.637308013276197,0.637308013276197,depablo_low_temp,8,normalized_delta,128
12,0.4290854358751523,0.5885594931896776,0.4309699491646729,0.4290854358751523,0.4290854358751523,0.4290854358751523,0.5883573462924687,0.5885594931896776,0.5885594931896776,0.5885594931896776,depablo_low_temp,8,normalized_delta,128
13,0.40315138883888724,0.5449039023951627,0.4042595717565794,0.40315138883888724,0.40315138883888724,0.40315138883888724,0.5445841629407369,0.5449039023951627,0.5449039023951627,0.5449039023951627,depablo_low_temp,8,normalized_delta,128
14,0.3633903950158703,0.4653017465316225,0.36390336581358784,0.3633903950158703,0.3633903950158703,0.3633903950158703,0.4649828411929775,0.4653017465316225,0.4653017465316225,0.4653017465316225,depablo_low_temp,8,normalized_delta,128
15,0.2760311251996379,0.30444923965842463,0.27500395264084404,0.2760311251996379,0.2760311251996379,0.2760311251996379,0.30624431851902045,0.30444923965842463,0.30444923965842463,0.30444923965842463,depablo_low_temp,8,normalized_delta,128
16,0.2016663131745238,0.26784197996312287,0.20028584465188415,0.2016663131745238,0.2016663131745238,0.2016663131745238,0.26745232490065973,0.26784197996312287,0.26784197996312287,0.26784197996312287,depablo_low_temp,8,normalized_delta,128
17,0.18090992304251383,0.2619197133608395,0.18033497777130258,0.18090992304251383,0.18090992304251383,0.18090992304251383,0.26081760830129497,0.2619197133608395,0.2619197133608395,0.2619197133608395,depablo_low_temp,8,normalized_delta,128
18,0.1691904538654183,0.2501228293549502,0.1689063833977439,0.1691904538654183,0.1691904538654183,0.1691904538654183,0.24888002547959331,0.2501228293549502,0.2501228293549502,0.2501228293549502,depablo_low_temp,8,normalized_delta,128
19,0.16149682169780136,0.2389861850970192,0.161312509342832,0.16149682169780136,0.16149682169780136,0.16149682169780136,0.2378912811545888,0.2389861850970192,0.2389861850970192,0.2389861850970192,depablo_low_temp,8,normalized_delta,128
20,0.15684926905914356,0.2351960114610847,0.15667984472391636,0.15684926905914356,0.15684926905914356,0.15684926905914356,0.23420047413674183,0.2351960114610847,0.2351960114610847,0.2351960114610847,depablo_low_temp,8,normalized_delta,128
21,0.15478683533637147,0.23463136148347985,0.1545877165651243,0.15478683533637147,0.15478683533637147,0.15478683533637147,0.23374955690815113,0.23463136148347985,0.23463136148347985,0.23463136148347985,depablo_low_temp,8,normalized_delta,128
22,0.15385708950067822,0.23081424165866338,0.15357868629752805,0.15385708950067822,0.15385708950067822,0.15385708950067822,0.23007358321046922,0.23081424165866338,0.23081424165866338,0.23081424165866338,depablo_low_temp,8,normalized_delta,128
23,0.15080374975835806,0.23082319286186248,0.1503872584404522,0.15080374975835806,0.15080374975835806,0.15080374975835806,0.23020310528227128,0.23082319286186248,0.23082319286186248,0.23082319286186248,depablo_low_temp,8,normalized_delta,128
24,0.14791951678007056,0.22613223614462186,0.14744076695489255,0.14791951678007056,0.14791951678007056,0.14791951678007056,0.22555854270467535,0.22613223614462186,0.22613223614462186,0.22613223614462186,depablo_low_temp,8,normalized_delta,128
25,0.14359406216168089,0.21913897128251847,0.14306504132814313,0.14359406216168089,0.14359406216168089,0.14359406216168089,0.2185953385051107,0.21913897128251847,0.21913897128251847,0.21913897128251847,depablo_low_temp,8,normalized_delta,128
26,0.1394548374816383,0.21272619985393248,0.13888215959366215,0.1394548374816383,0.1394548374816383,0.1394548374816383,0.21220328475465067,0.21272619985393248,0.21272619985393248,0.21272619985393248,depablo_low_temp,8,normalized_delta,128
27,0.13600374401399964,0.20802540006116033,0.1354097234967508,0.13600374401399964,0.13600374401399964,0.13600374401399964,0.20750601937470492,0.20802540006116033,0.20802540006116033,0.20802540006116033,depablo_low_temp,8,normalized_delta,128
28,0.13295063991099595,0.2039491383038694,0.13234243160113693,0.13295063991099595,0.13295063991099595,0.13295063991099595,0.2034272704477189,0.2039491383038694,0.2039491383038694,0.2039491383038694,depablo_low_temp,8,normalized_delta,128
29,0.13027448455165874,0.20020867431594525,0.1296612407423948,0.13027448455165874,0.13027448455165874,0.13027448455165874,0.19967321437434293,0.20020867431594525,0.20020867431594525,0.20020867431594525,depablo_low_temp,8,normalized_delta,128
30,0.12792825163096974,0.196056732267607,0.12731202666794783,0.12792825163096974,0.12792825163096974,0.12792825163096974,0.1955062687775353,0.196056732267607,0.196056732267607,0.196056732267607,depablo_low_temp,8,normalized_delta,128
31,0.12567129898816348,0.19232146877038758,0.12505035814093915,0.12567129898816348,0.12567129898816348,0.12567129898816348,0.19176393575617112,0.19232146877038758,0.19232146877038758,0.19232146877038758,depablo_low_temp,8,normalized_delta,128
32,0.12365700987314707,0.18894108713720925,0.12303523465892986,0.12365700987314707,0.12365700987314707,0.12365700987314707,0.18838095538376365,0.18894108713720925,0.18894108713720925,0.18894108713720925,depablo_low_temp,8,normalized_delta,128
33,0.12182387209644444,0.185861865451443,0.12120331210623446,0.12182387209644444,0.12182387209644444,0.12182387209644444,0.18530332163209096,0.185861865451443,0.185861865451443,0.185861865451443,depablo_low_temp,8,normalized_delta,128
34,0.1201436915483914,0.18298629471973982,0.1195254234450036,0.1201436915483914,0.1201436915483914,0.1201436915483914,0.18243393320881296,0.18298629471973982,0.18298629471973982,0.18298629471973982,depablo_low_temp,8,normalized_delta,128
35,0.11857789468118235,0.18038643170439173,0.11796301176379385,0.11857789468118235,0.11857789468118235,0.11857789468118235,0.17984290434105787,0.18038643170439173,0.18038643170439173,0.18038643170439173,depablo_low_temp,8,normalized_delta,128
36,0.11714444646219674,0.17804062632785644,0.11653450282388612,0.11714444646219674,0.11714444646219674,0.11714444646219674,0.17750748977414332,0.17804062632785644,0.17804062632785644,0.17804062632785644,depablo_low_temp,8,normalized_delta,128
37,0.11583036078434242,0.17593126678548288,0.11522728182179363,0.11583036078434242,0.11583036078434242,0.11583036078434242,0.17541000254277606,0.17593126678548288,0.17593126678548288,0.17593126678548288,depablo_low_temp,8,normalized_delta,128
38,0.11462106379729352,0.1740306044521276,0.11402711993279425,0.11462106379729352,0.11462106379729352,0.11462106379729352,0.17352275464509148,0.1740306044521276,0.1740306044521276,0.1740306044521276,depablo_low_temp,8,normalized_delta,128
39,0.11350579744597014,0.17234281984565314,0.11292339328578428,0.11350579744597014,0.11350579744597014,0.11350579744597014,0.17184913993696682,0.17234281984565314,0.17234281984565314,0.17234281984565314,depablo_low_temp,8,normalized_delta,128
40,0.11247723662343465,0.17080745456041768,0.11190855934921848,0.11247723662343465,0.11247723662343465,0.11247723662343465,0.1703298442007508,0.17080745456041768,0.17080745456041768,0.17080745456041768,depablo_low_temp,8,normalized_delta,128
