split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5
train,depablo_mixed_temp,0,0,1.4746915102005005,0.07671254128217697,-0.5248811841011047,-2.842287063598633,2.278679370880127,0.44642555713653564
train,depablo_mixed_temp,0,10,1.2972248792648315,-0.22801949083805084,-0.5280917286872864,-2.758829355239868,2.2881510257720947,0.34190505743026733
train,depablo_mixed_temp,0,20,0.9971791505813599,-0.9963041543960571,-0.5609896183013916,-2.810908317565918,2.5348033905029297,0.10375302284955978
train,depablo_mixed_temp,0,30,0.9946756362915039,-1.1997044086456299,-0.5860881209373474,-2.9638137817382812,2.7121427059173584,0.057368773967027664
train,depablo_mixed_temp,0,40,0.7080223560333252,-1.9343113899230957,-0.61692214012146,-3.0185887813568115,2.95351505279541,-0.16774488985538483
train,depablo_mixed_temp,0,50,0.35820406675338745,-2.897308111190796,-0.663084864616394,-3.134298324584961,3.3011720180511475,-0.45821934938430786
train,depablo_mixed_temp,0,60,0.4965343475341797,-2.786074638366699,-0.6801639795303345,-3.2975997924804688,3.404855966567993,-0.40412965416908264
train,depablo_mixed_temp,0,70,0.19045290350914001,-3.5292887687683105,-0.709135115146637,-3.321668863296509,3.6195731163024902,-0.6348526477813721
train,depablo_mixed_temp,0,80,0.21749083697795868,-3.704704999923706,-0.7384840250015259,-3.5077080726623535,3.816209077835083,-0.6665975451469421
train,depablo_mixed_temp,0,90,-0.056704387068748474,-4.291638374328613,-0.7550563812255859,-3.466456174850464,3.936614990234375,-0.8544760942459106
train,depablo_mixed_temp,0,100,-0.2856391966342926,-4.918570041656494,-0.7863389849662781,-3.5425517559051514,4.162816524505615,-1.0395913124084473
train,depablo_mixed_temp,1,0,0.5630344748497009,0.5130602121353149,-0.26825928688049316,-0.9065017700195312,0.5784081816673279,0.40970683097839355
train,depablo_mixed_temp,1,10,-0.8391538858413696,-0.8925623893737793,-0.15404538810253143,0.5247443318367004,-0.2263357788324356,-0.1863594651222229
train,depablo_mixed_temp,1,20,0.3587561845779419,0.010150772519409657,-0.303480327129364,-0.932523250579834,0.7199640274047852,0.26274049282073975
train,depablo_mixed_temp,1,30,-0.14186209440231323,-1.232332468032837,-0.3497387170791626,-0.9920140504837036,1.0981049537658691,-0.12918062508106232
train,depablo_mixed_temp,1,40,-1.0032944679260254,-2.097896099090576,-0.27301496267318726,-0.1144944280385971,0.6040571331977844,-0.4997888505458832
train,depablo_mixed_temp,1,50,-2.3886868953704834,-3.860621452331543,-0.1904839128255844,1.0170536041259766,0.15824130177497864,-1.1852519512176514
train,depablo_mixed_temp,1,60,-1.7201048135757446,-3.5574488639831543,-0.30028995871543884,0.046531084924936295,0.866973876953125,-0.9799158573150635
train,depablo_mixed_temp,1,70,-1.346679925918579,-3.2939932346343994,-0.34674006700515747,-0.41630446910858154,1.1792175769805908,-0.8443289995193481
train,depablo_mixed_temp,1,80,-1.8914735317230225,-4.511250972747803,-0.38509073853492737,-0.3801514804363251,1.4620698690414429,-1.2320096492767334
train,depablo_mixed_temp,1,90,-2.0822484493255615,-4.953878879547119,-0.4020942151546478,-0.3781702220439911,1.5738381147384644,-1.3729335069656372
train,depablo_mixed_temp,1,100,-1.6589205265045166,-4.11740779876709,-0.38471686840057373,-0.48972511291503906,1.4497135877609253,-1.1000467538833618
