source,training_scope,dimension,position_mse_mean,position_mse_std,strain_x_mae_mean,strain_x_mae_std,strain_y_mae_mean,strain_y_mae_std,p_ratio_r2_mean,p_ratio_r2_std,p_ratio_mae_mean,p_ratio_mae_std,legacy_p_ratio_r2_mean,legacy_p_ratio_r2_std,legacy_p_ratio_mae_mean,legacy_p_ratio_mae_std
depablo_low_temp,individual,2,3.428522258748975e-06,3.574596047889926e-07,0.0010069084466666667,0.0003905008534074497,0.0012290794,0.00021233761018557215,0.9277250493429018,0.020877550382801518,0.0818792446206013,0.011926462116405518,0.927762736658709,0.020670764567295007,0.08218575124780207,0.011883778846968335
depablo_low_temp,individual,4,3.499619297050079e-06,3.9264287474354055e-07,0.0010584063333333334,0.0003695542334885278,0.0014367197000000002,0.0001722597429727271,0.9214792552250906,0.01993140771562945,0.0843963965773582,0.01453118747360177,0.9217157189308206,0.019814722634276253,0.08464989653493647,0.014514563037193506
depablo_low_temp,individual,6,3.5070692462113583e-06,2.9881045160017484e-07,0.0012036359666666668,0.0008110494695681167,0.0013821362,0.00012141682881170123,0.9233009106011424,0.02366143481645023,0.0855342641472816,0.013983966001405107,0.923546701271969,0.023585295334902688,0.08577582495692666,0.014020509583622384
depablo_low_temp,individual,8,3.187536157156501e-06,1.2413719270542588e-07,0.0008554310766666666,0.0001956098821495189,0.0012320284666666667,0.00010156240830195648,0.9341514212746632,0.0010455685988742006,0.07583143307516967,0.0014952346962066351,0.9341797160670309,0.0009002082990883229,0.0761244397368461,0.00153161428845268
depablo_low_temp,shared3,2,3.2437104664495564e-06,6.01491477675078e-08,0.0012478472666666667,0.00013023295325163806,0.0012445673,0.00024101419420965647,0.9457068882042092,0.024124957881729036,0.0676289691861408,0.019545875522173017,0.9459831435405768,0.024038695277729963,0.06774198851788583,0.019609273614401353
depablo_low_temp,shared3,4,3.1908035969271016e-06,1.23814821063971e-07,0.0014022061,0.00048349787290122596,0.0010287326533333335,0.00011480670507921792,0.9656183913772968,0.017730158193473258,0.053116491576656634,0.014954938549475504,0.965808359051672,0.017575698004610577,0.05323805654752737,0.014941594573075426
depablo_low_temp,shared3,6,3.0586462784754076e-06,2.7264231984774645e-07,0.0012948152666666666,0.0001462641353273022,0.0010044159333333334,0.00028698638944539404,0.9669151222978872,0.031130029554754548,0.0480580427063008,0.02149573248209362,0.967063504217137,0.03104671534523696,0.04815565994425506,0.02157496384796148
depablo_low_temp,shared3,8,3.0103256544104322e-06,1.5202813339159058e-07,0.0012186489666666668,0.00028014904346651515,0.0010058379,0.00018769752216017658,0.9636266838198192,0.020901722132887452,0.051925923830519104,0.01465335219150433,0.9637686365480977,0.020891089490048653,0.052058950852588104,0.014725562468642834
depablo_low_temp,shared4,2,3.1623175980636616e-06,2.625274366376923e-07,0.0013829317666666666,0.00026374877128491675,0.0007111100700000001,0.000210975913991687,0.9816012388848906,0.00594875828979176,0.03699529366567727,0.004952539917514032,0.981669123509434,0.005789696685533579,0.03710950222786846,0.004948398330170632
depablo_low_temp,shared4,4,3.395885020533266e-06,1.7330904709439414e-07,0.0017628682,0.0003554671004952779,0.00085359303,5.17965154369471e-05,0.9788717896846931,0.012621195508191983,0.04085544366389507,0.012194407325352109,0.9790134815943983,0.012310260351526667,0.04096671688766993,0.012099895549727494
depablo_low_temp,shared4,6,3.3406672306076267e-06,2.2344231085498315e-07,0.0014301179666666667,0.00017956212546587695,0.0008481648133333333,0.00013675449568172348,0.9802157778751793,0.006696764242124931,0.0382058596859375,0.006213341204160212,0.9803538905498055,0.006575248151685386,0.03825580170093737,0.0062401264939289615
depablo_low_temp,shared4,8,3.2346444025203406e-06,9.708957092592906e-08,0.0012479755833333334,0.000250666621110053,0.0007101826666666666,0.00031031006774902314,0.9815138211296605,0.007556862231107983,0.03823765777051444,0.007231893146714249,0.9816714277606837,0.007496443058625446,0.038276781212014464,0.007288531052513152
depablo_mixed_temp,individual,2,2.368268847779594e-05,5.273858751017834e-07,0.0019327305666666666,0.00034080325317915227,0.0019743910333333333,0.0004235263880946066,0.8452629012890149,0.03868191387875888,0.11286472580395635,0.02296135167099142,0.8452965492396659,0.03811820951292983,0.11345055546756937,0.02299510982372628
depablo_mixed_temp,individual,4,2.3277727041204344e-05,7.133593543926027e-07,0.0014925355,0.00034735822169387325,0.0019622884999999997,0.0005583773599035782,0.8309497591153631,0.07487460124529617,0.11345738871023053,0.036226976233965515,0.8306040065969028,0.07434667898223378,0.11419451889436256,0.036320779826471826
depablo_mixed_temp,individual,6,2.3233088124167505e-05,2.525890876838894e-07,0.0017860895666666668,0.0001851772885793865,0.0015654559,9.545492676247774e-05,0.8777897200454228,0.018612572208488762,0.09630843217795089,0.006381458043387849,0.877039009789304,0.01869848632911047,0.09703225654657789,0.006449897908674987
depablo_mixed_temp,individual,8,2.3560174834832045e-05,1.2703391193338011e-06,0.0017013846000000002,0.00024709653413050933,0.0021996048,0.001144233232514993,0.7591514329614596,0.23955809947676968,0.13646386657977316,0.07932480180224204,0.7593534698000269,0.23867922594605007,0.1371698062677372,0.07951058558615952
depablo_mixed_temp,shared3,2,2.2573671505673094e-05,2.377227398314038e-07,0.001992857566666667,0.0002130705387599688,0.0013091595333333333,0.00032892223667350826,0.7992454685249579,0.16112604441040135,0.1019233200078209,0.0280862306666443,0.8889391483520356,0.05499707497969413,0.08941686735021581,0.023587189797977293
depablo_mixed_temp,shared3,4,2.2851757091757462e-05,4.262936286442873e-07,0.0016359053666666666,0.0004318843455884495,0.0015062341833333333,0.0005241790565541997,0.8025870202201384,0.12097312970116672,0.10280658816918731,0.03399979819188248,0.8562110008444132,0.06482498086550781,0.09429782722192499,0.026502546900151792
depablo_mixed_temp,shared3,6,2.2856435420711327e-05,3.363874560904803e-07,0.0017649735,0.00025845514921024495,0.0011275148666666666,0.00046612467947433693,0.8663026027608661,0.04992188662154594,0.08311862439538037,0.016657755963505796,0.8765993646934529,0.03166746758061075,0.0817364767702723,0.013406713996951156
depablo_mixed_temp,shared3,8,2.2594001025784866e-05,1.179194673902944e-07,0.0019649489666666666,0.00035271782503732823,0.0012244661666666668,0.00042435832084088246,0.706660980397543,0.2531084216295315,0.09927843234812217,0.029269793428995394,0.8827559529935948,0.06550173196937623,0.08048502636169573,0.027145171172345668
depablo_mixed_temp,shared4,2,2.2684585282680324e-05,5.293272718596809e-07,0.0017315768666666667,0.0005819133665762656,0.0011107399333333335,0.0004132182692075259,0.9005987411394699,0.028427987059676356,0.07797028599306936,0.013624766969347982,0.9054125460125387,0.03192839090249414,0.07757495752716674,0.014623941463004787
depablo_mixed_temp,shared4,4,2.2991464967011176e-05,6.400763586673384e-07,0.0019129014333333332,0.0004830607762721616,0.0013523765666666667,0.00029090202702938204,0.8860425506537805,0.0629202810674916,0.08602892179042097,0.017860349950333892,0.8872215373120963,0.06127372132072537,0.08626636635012506,0.017633537893217616
