source,frame,control,total,position_mse,x_mse,y_mse,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,legacy_valid,legacy_true_valid,legacy_p_ratio_r2,legacy_p_ratio_mae,legacy_target_variance,strain_x_mae,strain_y_mae,model,dimension,seed,training_scope
depablo_low_temp,100,ae,20,3.0423882492414124e-06,3.448336457267942e-06,2.636440260062045e-06,20,20,0.9513317890227628,0.069830897077918,0.1299516855584822,20,20,0.9511107099434728,0.0701928385913784,0.1309363081666797,0.0007228537,0.0009890056,depablo_low_temp,2,123,individual
depablo_low_temp,100,ae,20,3.495285011467786e-06,3.92597440281861e-06,3.064595517798807e-06,20,20,0.9201541127572436,0.082126871868968,0.1299516855584822,20,20,0.9203823051186876,0.0824071115425962,0.1309363081666797,0.00084566104,0.001392252,depablo_low_temp,2,456,individual
depablo_low_temp,100,ae,20,3.7478935155377258e-06,4.56924227592026e-06,2.9265447722082173e-06,20,20,0.911689246248699,0.0936799649149179,0.1299516855584822,20,20,0.9117951949139668,0.0939573036094316,0.1309363081666797,0.0014522106,0.0013059806,depablo_low_temp,2,786,individual
depablo_low_temp,100,ae,20,3.221257122731913e-06,3.3846003503867904e-06,3.0579138822872663e-06,20,20,0.928618153710144,0.0813025396317243,0.1299516855584822,20,20,0.9288106830132096,0.0815735897786547,0.1309363081666797,0.0008367916,0.0014918848,depablo_low_temp,4,123,individual
depablo_low_temp,100,ae,20,3.328874099395307e-06,3.775215287760148e-06,2.8825328797665863e-06,20,20,0.9368581069576308,0.0716612927615642,0.1299516855584822,20,20,0.9370062130700844,0.0719200860528552,0.1309363081666797,0.0008534044,0.0012436348,depablo_low_temp,4,456,individual
depablo_low_temp,100,ae,20,3.948726669023017e-06,4.831089290746604e-06,3.066363916559567e-06,20,20,0.8989615050074966,0.1002253573387861,0.1299516855584822,20,20,0.8993302607091681,0.1004560137732995,0.1309363081666797,0.001485023,0.0015746395,depablo_low_temp,4,786,individual
depablo_low_temp,100,ae,20,3.3757886654939284e-06,3.726476791143796e-06,3.0251004318415654e-06,20,20,0.9166967616435324,0.0933296851813793,0.1299516855584822,20,20,0.9171411125354988,0.0935707662029837,0.1309363081666797,0.00086423,0.0014605595,depablo_low_temp,6,123,individual
depablo_low_temp,100,ae,20,3.296373250805118e-06,3.493227805506649e-06,3.09951862931257e-06,20,20,0.903643185211865,0.0938829760998487,0.1299516855584822,20,20,0.9038258728737438,0.0941667170080845,0.1309363081666797,0.0006174263,0.0014435694,depablo_low_temp,6,456,individual
depablo_low_temp,100,ae,20,3.849045822335029e-06,4.936670984534431e-06,2.7614205777126697e-06,20,20,0.9495627849480298,0.0693901311606168,0.1299516855584822,20,20,0.9496731184066648,0.0695899916597118,0.1309363081666797,0.0021292516,0.0012422797,depablo_low_temp,6,786,individual
depablo_low_temp,100,ae,20,3.0858424651114547e-06,3.4367084055020317e-06,2.7349764565087752e-06,20,20,0.9329616400660484,0.075912445411086,0.1299516855584822,20,20,0.9331416906466876,0.0761661411284497,0.1309363081666797,0.000744728,0.0011189188,depablo_low_temp,8,123,individual
depablo_low_temp,100,ae,20,3.1508967907711847e-06,3.47014060366746e-06,2.831652884083269e-06,20,20,0.9345687472381432,0.0742973390966653,0.1299516855584822,20,20,0.934746188252426,0.0745724005895315,0.1309363081666797,0.00074027793,0.0012617584,depablo_low_temp,8,456,individual
depablo_low_temp,100,ae,20,3.325869215586863e-06,3.770521712453956e-06,2.881216835248779e-06,20,20,0.934923876519798,0.0772845147177577,0.1299516855584822,20,20,0.9346512693019788,0.0776347774925571,0.1309363081666797,0.0010812873,0.0013154082,depablo_low_temp,8,786,individual
