split,source,sim_idx,frame,z0,z1
train,lj_noisy,0,0,-0.06058502197265625,-0.02019776776432991
train,lj_noisy,0,10,-0.3380829095840454,-0.46899405121803284
train,lj_noisy,0,20,-0.6183043718338013,-0.9217478036880493
train,lj_noisy,0,30,-0.9122037887573242,-1.396008849143982
train,lj_noisy,0,40,-1.224592924118042,-1.89933180809021
train,lj_noisy,0,50,-1.550363302230835,-2.423419237136841
train,lj_noisy,0,60,-1.8935890197753906,-2.9749772548675537
train,lj_noisy,0,70,-2.2544846534729004,-3.5545434951782227
train,lj_noisy,0,80,-2.629079580307007,-4.156281471252441
train,lj_noisy,0,90,-3.020904064178467,-4.785693168640137
train,lj_noisy,0,100,-3.4296727180480957,-5.442265510559082
train,lj_noisy,1,0,-0.07776223868131638,-0.051111266016960144
train,lj_noisy,1,10,-0.39494484663009644,-0.5644314885139465
train,lj_noisy,1,20,-0.7092324495315552,-1.0729725360870361
train,lj_noisy,1,30,-1.0494341850280762,-1.6229466199874878
train,lj_noisy,1,40,-1.4190235137939453,-2.219651699066162
train,lj_noisy,1,50,-1.8245339393615723,-2.873554229736328
train,lj_noisy,1,60,-2.2685327529907227,-3.5887644290924072
train,lj_noisy,1,70,-2.7508397102355957,-4.36493444442749
train,lj_noisy,1,80,-3.274162530899048,-5.206390380859375
train,lj_noisy,1,90,-3.837106943130493,-6.110837459564209
train,lj_noisy,1,100,-4.43494987487793,-7.070824146270752
train,lj_noisy,2,0,-0.07491312175989151,-0.04716736450791359
train,lj_noisy,2,10,-0.37412941455841064,-0.5309924483299255
train,lj_noisy,2,20,-0.6670186519622803,-1.004309892654419
train,lj_noisy,2,30,-0.9642215967178345,-1.4839506149291992
train,lj_noisy,2,40,-1.2820290327072144,-1.996400237083435
train,lj_noisy,2,50,-1.613601565361023,-2.530766487121582
train,lj_noisy,2,60,-1.9572761058807373,-3.0842628479003906
train,lj_noisy,2,70,-2.3176980018615723,-3.664219379425049
train,lj_noisy,2,80,-2.699265956878662,-4.277702808380127
train,lj_noisy,2,90,-3.1024861335754395,-4.925380706787109
train,lj_noisy,2,100,-3.5330421924591064,-5.616321563720703
train,lj_noisy,3,0,-0.018866950646042824,0.048247452825307846
train,lj_noisy,3,10,-0.37363237142562866,-0.5261447429656982
train,lj_noisy,3,20,-0.7189935445785522,-1.0848414897918701
train,lj_noisy,3,30,-1.0885162353515625,-1.6815040111541748
train,lj_noisy,3,40,-1.4893757104873657,-2.3278186321258545
train,lj_noisy,3,50,-1.9242167472839355,-3.0280838012695312
train,lj_noisy,3,60,-2.382626533508301,-3.765430450439453
train,lj_noisy,3,70,-2.860837459564209,-4.534054756164551
train,lj_noisy,3,80,-3.355531692504883,-5.328660011291504
train,lj_noisy,3,90,-3.879237413406372,-6.169365882873535
train,lj_noisy,3,100,-4.435780048370361,-7.062307834625244
train,lj_noisy,4,0,-0.04343771934509277,0.003315754234790802
train,lj_noisy,4,10,-0.34620577096939087,-0.4864168167114258
train,lj_noisy,4,20,-0.6468450427055359,-0.9724389910697937
train,lj_noisy,4,30,-0.9675220251083374,-1.49037766456604
train,lj_noisy,4,40,-1.3020504713058472,-2.0301082134246826
train,lj_noisy,4,50,-1.6558597087860107,-2.6003527641296387
train,lj_noisy,4,60,-2.0291388034820557,-3.201284170150757
train,lj_noisy,4,70,-2.4262280464172363,-3.839815855026245
train,lj_noisy,4,80,-2.8465588092803955,-4.514910697937012
train,lj_noisy,4,90,-3.2917518615722656,-5.229000091552734
train,lj_noisy,4,100,-3.761070489883423,-5.980937480926514
train,lj_noisy,5,0,-0.02912171557545662,0.03285109996795654
train,lj_noisy,5,10,-0.28031009435653687,-0.37369289994239807
train,lj_noisy,5,20,-0.535161554813385,-0.7857346534729004
train,lj_noisy,5,30,-0.8049739003181458,-1.221455693244934
train,lj_noisy,5,40,-1.0907613039016724,-1.6824113130569458
train,lj_noisy,5,50,-1.3947521448135376,-2.172105550765991
train,lj_noisy,5,60,-1.7206250429153442,-2.6963706016540527
train,lj_noisy,5,70,-2.073489189147949,-3.2632992267608643
train,lj_noisy,5,80,-2.456632614135742,-3.8778159618377686
train,lj_noisy,5,90,-2.8915557861328125,-4.574070930480957
train,lj_noisy,5,100,-3.3966851234436035,-5.381280899047852
train,lj_noisy,6,0,-0.07337271422147751,-0.043937183916568756
train,lj_noisy,6,10,-0.394571989774704,-0.5630813837051392
train,lj_noisy,6,20,-0.7050561904907227,-1.064100980758667
train,lj_noisy,6,30,-1.0283046960830688,-1.5851126909255981
train,lj_noisy,6,40,-1.3660645484924316,-2.1289546489715576
train,lj_noisy,6,50,-1.7188589572906494,-2.696476459503174
train,lj_noisy,6,60,-2.087921142578125,-3.2896759510040283
train,lj_noisy,6,70,-2.47409987449646,-3.909928560256958
train,lj_noisy,6,80,-2.8778579235076904,-4.557979583740234
train,lj_noisy,6,90,-3.3000829219818115,-5.235259056091309
train,lj_noisy,6,100,-3.7404251098632812,-5.941198348999023
train,lj_noisy,7,0,-0.05896478891372681,-0.019423848018050194
train,lj_noisy,7,10,-0.3507295846939087,-0.4911805987358093
train,lj_noisy,7,20,-0.6339674592018127,-0.9489489197731018
train,lj_noisy,7,30,-0.9326279759407043,-1.4311730861663818
train,lj_noisy,7,40,-1.259627342224121,-1.9585275650024414
train,lj_noisy,7,50,-1.6162431240081787,-2.5330564975738525
train,lj_noisy,7,60,-2.002309560775757,-3.154438018798828
train,lj_noisy,7,70,-2.4207682609558105,-3.827352523803711
train,lj_noisy,7,80,-2.8676393032073975,-4.545389175415039
train,lj_noisy,7,90,-3.3068201541900635,-5.250927448272705
train,lj_noisy,7,100,-3.7521612644195557,-5.966183662414551
train,lj_noisy,8,0,-0.03420254588127136,0.018136782571673393
train,lj_noisy,8,10,-0.3565276563167572,-0.5036104321479797
train,lj_noisy,8,20,-0.6857038140296936,-1.0360294580459595
train,lj_noisy,8,30,-1.0321813821792603,-1.5956906080245972
train,lj_noisy,8,40,-1.4010716676712036,-2.1908321380615234
train,lj_noisy,8,50,-1.7929555177688599,-2.8224895000457764
train,lj_noisy,8,60,-2.203449010848999,-3.483654022216797
train,lj_noisy,8,70,-2.6344738006591797,-4.177447319030762
train,lj_noisy,8,80,-3.0785202980041504,-4.891350746154785
train,lj_noisy,8,90,-3.550668954849243,-5.649658679962158
train,lj_noisy,8,100,-4.057394504547119,-6.462710380554199
train,lj_noisy,9,0,-0.09762995690107346,-0.08430035412311554
train,lj_noisy,9,10,-0.38803231716156006,-0.5538558959960938
train,lj_noisy,9,20,-0.6798276305198669,-1.0251433849334717
train,lj_noisy,9,30,-0.9990472197532654,-1.5400335788726807
train,lj_noisy,9,40,-1.3607176542282104,-2.1226537227630615
train,lj_noisy,9,50,-1.7678776979446411,-2.7777247428894043
train,lj_noisy,9,60,-2.232875347137451,-3.5251057147979736
train,lj_noisy,9,70,-2.76509165763855,-4.37992525100708
train,lj_noisy,9,80,-3.3734259605407715,-5.356421947479248
train,lj_noisy,9,90,-4.067405700683594,-6.4698004722595215
train,lj_noisy,9,100,-4.8533220291137695,-7.730013847351074
train,lj_noisy,10,0,-0.08844289183616638,-0.0681096538901329
train,lj_noisy,10,10,-0.42820364236831665,-0.6179620027542114
train,lj_noisy,10,20,-0.7704811692237854,-1.1718254089355469
train,lj_noisy,10,30,-1.1236060857772827,-1.7428885698318481
train,lj_noisy,10,40,-1.490726351737976,-2.3361644744873047
train,lj_noisy,10,50,-1.8722999095916748,-2.952430248260498
train,lj_noisy,10,60,-2.269334077835083,-3.5933115482330322
train,lj_noisy,10,70,-2.6799869537353516,-4.255848407745361
train,lj_noisy,10,80,-3.1059436798095703,-4.9428181648254395
