epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.7195176133984014,0.4599079564213753,0.7191415090309946,0.7195176133984014,0.7195176133984014,0.7195176133984014,0.4558027684688568,0.4599079564213753,0.4599079564213753,0.4599079564213753,lj_noisy,4,normalized_delta,128
2,0.38963568845861835,0.33767240052111447,0.38936662015162016,0.38963568845861835,0.38963568845861835,0.38963568845861835,0.33262980345170945,0.33767240052111447,0.33767240052111447,0.33767240052111447,lj_noisy,4,normalized_delta,128
3,0.31386864287288563,0.31314567249501124,0.313543464713975,0.31386864287288563,0.31386864287288563,0.31386864287288563,0.3083803962217644,0.31314567249501124,0.31314567249501124,0.31314567249501124,lj_noisy,4,normalized_delta,128
4,0.2950735470574153,0.2901028176420368,0.294698570511843,0.2950735470574153,0.2950735470574153,0.2950735470574153,0.28614434477640316,0.2901028176420368,0.2901028176420368,0.2901028176420368,lj_noisy,4,normalized_delta,128
5,0.28632453495734617,0.28012789716012776,0.2858970220543836,0.28632453495734617,0.28632453495734617,0.28632453495734617,0.27652322076028213,0.28012789716012776,0.28012789716012776,0.28012789716012776,lj_noisy,4,normalized_delta,128
6,0.2810916777504118,0.27513759705470875,0.2806383092544581,0.2810916777504118,0.2810916777504118,0.2810916777504118,0.2716636566328816,0.27513759705470875,0.27513759705470875,0.27513759705470875,lj_noisy,4,normalized_delta,128
7,0.27733732775637976,0.272005561273545,0.2768663839682152,0.27733732775637976,0.27733732775637976,0.27733732775637976,0.2685757233412005,0.272005561273545,0.272005561273545,0.272005561273545,lj_noisy,4,normalized_delta,128
8,0.27437697860755417,0.26981651844107546,0.2738972480751966,0.27437697860755417,0.27437697860755417,0.27437697860755417,0.26638211382669397,0.26981651844107546,0.26981651844107546,0.26981651844107546,lj_noisy,4,normalized_delta,128
9,0.271804968757849,0.26799623743863776,0.2713195148855448,0.271804968757849,0.271804968757849,0.271804968757849,0.26453177371877246,0.26799623743863776,0.26799623743863776,0.26799623743863776,lj_noisy,4,normalized_delta,128
10,0.26918482164803303,0.26626957196276635,0.26868956812510364,0.26918482164803303,0.26918482164803303,0.26918482164803303,0.26276581865386106,0.26626957196276635,0.26626957196276635,0.26626957196276635,lj_noisy,4,normalized_delta,128
11,0.26666359375966225,0.2645669790508691,0.26615427903046734,0.26666359375966225,0.26666359375966225,0.26666359375966225,0.26101648091571406,0.2645669790508691,0.2645669790508691,0.2645669790508691,lj_noisy,4,normalized_delta,128
12,0.26424395304761433,0.262942395551363,0.26371494910042537,0.26424395304761433,0.26424395304761433,0.26424395304761433,0.2593380664184224,0.262942395551363,0.262942395551363,0.262942395551363,lj_noisy,4,normalized_delta,128
13,0.2619601818879968,0.2616298249340616,0.2614108930881086,0.2619601818879968,0.2619601818879968,0.2619601818879968,0.25796135314158164,0.2616298249340616,0.2616298249340616,0.2616298249340616,lj_noisy,4,normalized_delta,128
14,0.25984649895445294,0.2606090017652605,0.2592787022065175,0.25984649895445294,0.25984649895445294,0.25984649895445294,0.25686763995327055,0.2606090017652605,0.2606090017652605,0.2606090017652605,lj_noisy,4,normalized_delta,128
15,0.2579379318772178,0.259883102204185,0.25735366269946097,0.2579379318772178,0.2579379318772178,0.2579379318772178,0.2560637033166131,0.259883102204185,0.259883102204185,0.259883102204185,lj_noisy,4,normalized_delta,128
16,0.2562347328780513,0.259427997720195,0.25563648511704645,0.2562347328780513,0.2562347328780513,0.2562347328780513,0.2555297871003859,0.259427997720195,0.259427997720195,0.259427997720195,lj_noisy,4,normalized_delta,128
17,0.254723644335019,0.25920895737363026,0.2541118408308217,0.254723644335019,0.254723644335019,0.254723644335019,0.25523514753149357,0.25920895737363026,0.25920895737363026,0.25920895737363026,lj_noisy,4,normalized_delta,128
18,0.2533531367386642,0.25914558295335155,0.25272903883535613,0.2533531367386642,0.2533531367386642,0.2533531367386642,0.2551039689278696,0.25914558295335155,0.25914558295335155,0.25914558295335155,lj_noisy,4,normalized_delta,128
19,0.2520896716729591,0.2592041687166784,0.2514554710568566,0.2520896716729591,0.2520896716729591,0.2520896716729591,0.25510096238576807,0.2592041687166784,0.2592041687166784,0.2592041687166784,lj_noisy,4,normalized_delta,128
20,0.25091196104492014,0.25936364363587927,0.2502696667062609,0.25091196104492014,0.25091196104492014,0.25091196104492014,0.2552022653981112,0.25936364363587927,0.25936364363587927,0.25936364363587927,lj_noisy,4,normalized_delta,128
21,0.24980894642833032,0.25963034154847264,0.24915963117229312,0.24980894642833032,0.24980894642833032,0.24980894642833032,0.25541075006185565,0.25963034154847264,0.25963034154847264,0.25963034154847264,lj_noisy,4,normalized_delta,128
22,0.24875948405579518,0.2599991218885407,0.24810406479396319,0.24875948405579518,0.24875948405579518,0.24875948405579518,0.2557219726295443,0.2599991218885407,0.2599991218885407,0.2599991218885407,lj_noisy,4,normalized_delta,128
23,0.24774104103838143,0.2604101654578699,0.24708229077881888,0.24774104103838143,0.24774104103838143,0.24774104103838143,0.2560764070658479,0.2604101654578699,0.2604101654578699,0.2604101654578699,lj_noisy,4,normalized_delta,128
24,0.24675920633108991,0.2608633856725646,0.24609876748566564,0.24675920633108991,0.24675920633108991,0.24675920633108991,0.2564731941820355,0.2608633856725646,0.2608633856725646,0.2608633856725646,lj_noisy,4,normalized_delta,128
