split,source,sim_idx,frame,z0,z1,z2,z3
train,lj_noisy,0,0,-0.03935610502958298,0.12769636511802673,-0.05717601254582405,0.19910471141338348
train,lj_noisy,0,10,0.27120736241340637,-0.22964921593666077,0.2515126168727875,-0.19756504893302917
train,lj_noisy,0,20,0.5845630764961243,-0.5901128053665161,0.563167154788971,-0.5975890755653381
train,lj_noisy,0,30,0.9144908785820007,-0.9697623252868652,0.8915723562240601,-1.0184284448623657
train,lj_noisy,0,40,1.2666202783584595,-1.3751604557037354,1.2424317598342896,-1.4672236442565918
train,lj_noisy,0,50,1.6338727474212646,-1.7982449531555176,1.6087031364440918,-1.9348540306091309
train,lj_noisy,0,60,2.022310256958008,-2.2459211349487305,1.9964070320129395,-2.429135322570801
train,lj_noisy,0,70,2.4328534603118896,-2.7192788124084473,2.406374931335449,-2.951162576675415
train,lj_noisy,0,80,2.862009286880493,-3.2141733169555664,2.834902763366699,-3.496670722961426
train,lj_noisy,0,90,3.3124380111694336,-3.7336127758026123,3.2847678661346436,-4.069185256958008
train,lj_noisy,0,100,3.7845609188079834,-4.278130054473877,3.7563869953155518,-4.669133186340332
train,lj_noisy,1,0,-0.023510681465268135,0.11027126014232635,-0.04140230268239975,0.17803938686847687
train,lj_noisy,1,10,0.3290874660015106,-0.29557645320892334,0.3090285658836365,-0.27284085750579834
train,lj_noisy,1,20,0.6780744791030884,-0.6977757215499878,0.656055748462677,-0.7182085514068604
train,lj_noisy,1,30,1.0602664947509766,-1.1385737657546997,1.0363343954086304,-1.2051011323928833
train,lj_noisy,1,40,1.4788272380828857,-1.621764898300171,1.4531753063201904,-1.7373046875
train,lj_noisy,1,50,1.9434144496917725,-2.1584219932556152,1.9162318706512451,-2.3271596431732178
train,lj_noisy,1,60,2.4589054584503174,-2.7541327476501465,2.430370569229126,-2.9808928966522217
train,lj_noisy,1,70,3.0269341468811035,-3.410794258117676,2.9972457885742188,-3.7005369663238525
train,lj_noisy,1,80,3.653963565826416,-4.135828971862793,3.623333692550659,-4.494312763214111
train,lj_noisy,1,90,4.341047763824463,-4.930484771728516,4.309691429138184,-5.363448143005371
train,lj_noisy,1,100,5.081577301025391,-5.787203788757324,5.049569606781006,-6.299428939819336
train,lj_noisy,2,0,-0.0244162455201149,0.1111719012260437,-0.04269607365131378,0.18006235361099243
train,lj_noisy,2,10,0.30870091915130615,-0.272363543510437,0.28832167387008667,-0.24537310004234314
train,lj_noisy,2,20,0.6323432326316833,-0.6453489661216736,0.6099585294723511,-0.6580573916435242
train,lj_noisy,2,30,0.9598833322525024,-1.0231781005859375,0.9355981349945068,-1.0750443935394287
train,lj_noisy,2,40,1.3099164962768555,-1.4271364212036133,1.2838630676269531,-1.5202785730361938
train,lj_noisy,2,50,1.674795389175415,-1.848412275314331,1.6470518112182617,-1.9840080738067627
train,lj_noisy,2,60,2.053774833679199,-2.2861430644989014,2.0244452953338623,-2.4652411937713623
train,lj_noisy,2,70,2.4558937549591064,-2.750852108001709,2.425178289413452,-2.9752345085144043
train,lj_noisy,2,80,2.8902719020843506,-3.2530295848846436,2.858445167541504,-3.525524377822876
train,lj_noisy,2,90,3.3604307174682617,-3.7967991828918457,3.327897310256958,-4.120429992675781
train,lj_noisy,2,100,3.8777413368225098,-4.395195007324219,3.845014810562134,-4.774463176727295
train,lj_noisy,3,0,-0.09066679328680038,0.19236131012439728,-0.10903134196996689,0.26195016503334045
train,lj_noisy,3,10,0.30413818359375,-0.26177912950515747,0.2834099531173706,-0.2434907853603363
train,lj_noisy,3,20,0.685375452041626,-0.7007474899291992,0.6626284122467041,-0.730701208114624
train,lj_noisy,3,30,1.0935091972351074,-1.171000599861145,1.0691155195236206,-1.2516056299209595
train,lj_noisy,3,40,1.5376121997833252,-1.6829423904418945,1.5118855237960815,-1.8178303241729736
train,lj_noisy,3,50,2.0214626789093018,-2.240926742553711,1.9946990013122559,-2.434199571609497
train,lj_noisy,3,60,2.5278568267822266,-2.8253560066223145,2.500450611114502,-3.0785279273986816
train,lj_noisy,3,70,3.052424430847168,-3.431128978729248,3.024655342102051,-3.745340347290039
train,lj_noisy,3,80,3.5903117656707764,-4.052640438079834,3.562351942062378,-4.428491115570068
train,lj_noisy,3,90,4.160515785217285,-4.711640357971191,4.132630348205566,-5.152367115020752
train,lj_noisy,3,100,4.769809722900391,-5.415878772735596,4.742297649383545,-5.925682067871094
train,lj_noisy,4,0,-0.05318203568458557,0.14595100283622742,-0.07247305661439896,0.2161957174539566
train,lj_noisy,4,10,0.2834146022796631,-0.2414589822292328,0.26193052530288696,-0.21391551196575165
train,lj_noisy,4,20,0.6140735149383545,-0.6224260926246643,0.5904681086540222,-0.6356785297393799
train,lj_noisy,4,30,0.9671787023544312,-1.0294500589370728,0.941585898399353,-1.0856393575668335
train,lj_noisy,4,40,1.331554651260376,-1.4498566389083862,1.3041669130325317,-1.5493108034133911
train,lj_noisy,4,50,1.7143832445144653,-1.891852617263794,1.6853786706924438,-2.035916328430176
train,lj_noisy,4,60,2.115407943725586,-2.355222702026367,2.085007667541504,-2.545006275177002
train,lj_noisy,4,70,2.5398263931274414,-2.845963478088379,2.508277416229248,-3.0831875801086426
train,lj_noisy,4,80,2.986522912979126,-3.3628580570220947,2.954127073287964,-3.6489338874816895
train,lj_noisy,4,90,3.4569177627563477,-3.907632350921631,3.424053907394409,-4.24392032623291
train,lj_noisy,4,100,3.9526543617248535,-4.482048511505127,3.919743537902832,-4.8705010414123535
train,lj_noisy,5,0,-0.07125397026538849,0.16875354945659637,-0.08939214050769806,0.23737578094005585
train,lj_noisy,5,10,0.21652859449386597,-0.16209574043750763,0.19659681618213654,-0.130976602435112
train,lj_noisy,5,20,0.5147593021392822,-0.5048640370368958,0.4931739270687103,-0.5125755667686462
train,lj_noisy,5,30,0.8351150751113892,-0.8732024431228638,0.8120346665382385,-0.9221768379211426
train,lj_noisy,5,40,1.17885422706604,-1.2686141729354858,1.1544908285140991,-1.3613295555114746
