split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5,z6,z7
train,lj_noisy,0,0,-0.6021559834480286,0.5684783458709717,-0.29434698820114136,-0.6707332134246826,0.021122639998793602,-0.4001489281654358,-0.7536637187004089,-0.7608351707458496
train,lj_noisy,0,10,-0.3730989396572113,0.3110712468624115,-0.08168069273233414,-0.34311768412590027,0.04347782954573631,-0.20644426345825195,-0.41432467103004456,-0.4389711916446686
train,lj_noisy,0,20,-0.13999971747398376,0.04902447387576103,0.1342514306306839,-0.009478419087827206,0.06580426543951035,-0.009001709520816803,-0.0690704956650734,-0.11163324117660522
train,lj_noisy,0,30,0.10244549065828323,-0.2235395461320877,0.3592258393764496,0.3377987742424011,0.0888836532831192,0.1963232457637787,0.29013296961784363,0.22838129103183746
train,lj_noisy,0,40,0.35628166794776917,-0.5089115500450134,0.5955123901367188,0.7016283273696899,0.11303098499774933,0.41110336780548096,0.6663787364959717,0.5838907361030579
train,lj_noisy,0,50,0.6240284442901611,-0.8099004030227661,0.8454394936561584,1.0855993032455444,0.13856656849384308,0.6374281048774719,1.0634877681732178,0.9585482478141785
train,lj_noisy,0,60,0.9094727039337158,-1.1307811737060547,1.1123749017715454,1.495205044746399,0.16570740938186646,0.8786230683326721,1.4870154857635498,1.357573390007019
train,lj_noisy,0,70,1.2111116647720337,-1.4698553085327148,1.3949168920516968,1.928248643875122,0.19434067606925964,1.1333441734313965,1.9346864223480225,1.7788207530975342
train,lj_noisy,0,80,1.51737380027771,-1.8141489028930664,1.6820237636566162,2.368041753768921,0.22342950105667114,1.3917980194091797,2.389268159866333,2.206256628036499
train,lj_noisy,0,90,1.8361066579818726,-2.1723716259002686,1.9808238744735718,2.8259220123291016,0.253609836101532,1.6607475280761719,2.8624107837677,2.65073561668396
train,lj_noisy,0,100,2.167531967163086,-2.544856071472168,2.2916152477264404,3.3022258281707764,0.28486600518226624,1.9403882026672363,3.354440212249756,3.1125593185424805
train,lj_noisy,1,0,-0.5157116055488586,0.46045008301734924,-0.22192150354385376,-0.5376288890838623,0.0286233089864254,-0.32413631677627563,-0.6057004332542419,-0.6282796859741211
train,lj_noisy,1,10,-0.2582736611366272,0.17066994309425354,0.020077379420399666,-0.16796649992465973,0.0539688915014267,-0.10665731877088547,-0.22335827350616455,-0.26778581738471985
train,lj_noisy,1,20,-0.0032379634212702513,-0.11665579676628113,0.2624644339084625,0.19882233440876007,0.07866561412811279,0.10834462940692902,0.15534323453903198,0.08744247257709503
train,lj_noisy,1,30,0.2630794644355774,-0.4169979393482208,0.5170822739601135,0.58241206407547,0.1039462760090828,0.3327062726020813,0.5508311986923218,0.4570544362068176
train,lj_noisy,1,40,0.5456047058105469,-0.7359172105789185,0.7888954877853394,0.9899253249168396,0.1303216814994812,0.5704512596130371,0.970508337020874,0.8478083610534668
train,lj_noisy,1,50,0.8462988138198853,-1.075747013092041,1.0797007083892822,1.4243090152740479,0.15783202648162842,0.823337972164154,1.4172661304473877,1.2623168230056763
train,lj_noisy,1,60,1.165611982345581,-1.437089443206787,1.3898802995681763,1.886277437210083,0.1864299178123474,1.0918182134628296,1.891772747039795,1.7011878490447998
