split,source,sim_idx,frame,z0,z1,z2,z3
train,reid,0,0,-0.6105571389198303,0.5729798674583435,-0.23222072422504425,0.5093845725059509
train,reid,0,10,-0.8065115809440613,0.2661181092262268,0.46007752418518066,-0.003369088750332594
train,reid,0,20,-1.0504276752471924,-0.02379542589187622,1.1831724643707275,-0.527738094329834
train,reid,0,30,-1.266070008277893,-0.3253481388092041,1.8892630338668823,-1.0461230278015137
train,reid,0,40,-1.44357168674469,-0.6469014883041382,2.57902193069458,-1.5618321895599365
train,reid,0,50,-1.5753602981567383,-0.9960066676139832,3.2547147274017334,-2.07882022857666
train,reid,0,60,-1.6543049812316895,-1.378760576248169,3.916947841644287,-2.59959077835083
train,reid,0,70,-1.6748402118682861,-1.8003650903701782,4.566917896270752,-3.1266627311706543
train,reid,0,80,-1.6313585042953491,-2.265704870223999,5.20529317855835,-3.6621644496917725
train,reid,0,90,-1.5201700925827026,-2.7774240970611572,5.83169412612915,-4.206766605377197
train,reid,0,100,-1.3384246826171875,-3.338392972946167,6.447144985198975,-4.762058258056641
train,reid,1,0,-0.19542762637138367,0.420134961605072,-0.500221312046051,0.6049008369445801
train,reid,1,10,-0.48888421058654785,0.16355212032794952,0.23573341965675354,0.08549704402685165
train,reid,1,20,-0.8364004492759705,-0.042558010667562485,0.9607255458831787,-0.4089888036251068
train,reid,1,30,-1.1632256507873535,-0.22999624907970428,1.632721185684204,-0.8658576011657715
train,reid,1,40,-1.4631319046020508,-0.4055520296096802,2.2543177604675293,-1.2890065908432007
train,reid,1,50,-1.7326483726501465,-0.5742965340614319,2.8288490772247314,-1.682154655456543
train,reid,1,60,-1.9679924249649048,-0.7418930530548096,3.360171318054199,-2.04951810836792
train,reid,1,70,-2.1652252674102783,-0.9132436513900757,3.850827217102051,-2.3943095207214355
train,reid,1,80,-2.3202106952667236,-1.0928866863250732,4.302613258361816,-2.719177722930908
train,reid,1,90,-2.429367780685425,-1.2845735549926758,4.716837406158447,-3.0262155532836914
train,reid,1,100,-2.4893784523010254,-1.4924827814102173,5.09575080871582,-3.3182408809661865
train,reid,2,0,3.7046422958374023,-0.8631792068481445,-3.4294819831848145,1.8206100463867188
train,reid,2,10,4.074698448181152,-1.3651174306869507,-3.120330572128296,1.4576234817504883
train,reid,2,20,4.490584373474121,-1.8982038497924805,-2.820291519165039,1.0888526439666748
train,reid,2,30,4.947592258453369,-2.461538314819336,-2.524988889694214,0.7120471000671387
train,reid,2,40,5.44081974029541,-3.052191734313965,-2.2328782081604004,0.32735681533813477
train,reid,2,50,5.966352462768555,-3.6688039302825928,-1.9412496089935303,-0.06630158424377441
train,reid,2,60,6.522343158721924,-4.3083391189575195,-1.6523714065551758,-0.4665345549583435
train,reid,2,70,7.103841781616211,-4.969240188598633,-1.362599492073059,-0.8749040961265564
