epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.8656542612141684,0.6809285014169291,0.8581732635827442,0.8656542612141684,0.8656542612141684,0.8656542612141684,0.6785700175678357,0.6809285014169291,0.6809285014169291,0.6809285014169291,reid,8,normalized_delta,128
2,0.6232754873602013,0.6186893665289972,0.6164627239500221,0.6232754873602013,0.6232754873602013,0.6232754873602013,0.6157733520958573,0.6186893665289972,0.6186893665289972,0.6186893665289972,reid,8,normalized_delta,128
3,0.5893764429970791,0.6220094807213172,0.5823841997667363,0.5893764429970791,0.5893764429970791,0.5893764429970791,0.6192891043901909,0.6220094807213172,0.6220094807213172,0.6220094807213172,reid,8,normalized_delta,128
4,0.579287806192511,0.6297506983682979,0.5722242230451421,0.579287806192511,0.579287806192511,0.579287806192511,0.6271590131509583,0.6297506983682979,0.6297506983682979,0.6297506983682979,reid,8,normalized_delta,128
5,0.576346031674429,0.6313134976662695,0.5692685940547993,0.576346031674429,0.576346031674429,0.576346031674429,0.6287837918789592,0.6313134976662695,0.6313134976662695,0.6313134976662695,reid,8,normalized_delta,128
6,0.5737505560446726,0.6297689483908471,0.566666979068204,0.5737505560446726,0.5737505560446726,0.5737505560446726,0.6272812678216724,0.6297689483908471,0.6297689483908471,0.6297689483908471,reid,8,normalized_delta,128
7,0.5702369999728705,0.6267529413016746,0.5631513249325125,0.5702369999728705,0.5702369999728705,0.5702369999728705,0.6243003332056105,0.6267529413016746,0.6267529413016746,0.6267529413016746,reid,8,normalized_delta,128
8,0.5654496026078337,0.6225192840211093,0.558367897687774,0.5654496026078337,0.5654496026078337,0.5654496026078337,0.6201067153306212,0.6225192840211093,0.6225192840211093,0.6225192840211093,reid,8,normalized_delta,128
9,0.5580477278287473,0.6157696532172849,0.550986134809883,0.5580477278287473,0.5580477278287473,0.5580477278287473,0.6134392411913723,0.6157696532172849,0.6157696532172849,0.6157696532172849,reid,8,normalized_delta,128
10,0.543303124077226,0.6053447659651283,0.536370474472642,0.543303124077226,0.543303124077226,0.543303124077226,0.6033410254458431,0.6053447659651283,0.6053447659651283,0.6053447659651283,reid,8,normalized_delta,128
11,0.5151631489396096,0.5865157767548226,0.5087673878591311,0.5151631489396096,0.5151631489396096,0.5151631489396096,0.584896351385396,0.5865157767548226,0.5865157767548226,0.5865157767548226,reid,8,normalized_delta,128
12,0.4814740887990123,0.5596688933146652,0.4758033588136497,0.4814740887990123,0.4814740887990123,0.4814740887990123,0.5579801933490671,0.5596688933146652,0.5596688933146652,0.5596688933146652,reid,8,normalized_delta,128
13,0.45431986062934526,0.5475756038795225,0.4491108749650027,0.45431986062934526,0.45431986062934526,0.45431986062934526,0.5459672257129569,0.5475756038795225,0.5475756038795225,0.5475756038795225,reid,8,normalized_delta,128
14,0.438264825391142,0.5320080641831737,0.43335893534516035,0.438264825391142,0.438264825391142,0.438264825391142,0.5304309444618411,0.5320080641831737,0.5320080641831737,0.5320080641831737,reid,8,normalized_delta,128
15,0.4256094392585127,0.5215874440327752,0.420947104888527,0.4256094392585127,0.4256094392585127,0.4256094392585127,0.5200563970138319,0.5215874440327752,0.5215874440327752,0.5215874440327752,reid,8,normalized_delta,128
16,0.41695104758990437,0.5151147751021199,0.4124559348743213,0.41695104758990437,0.41695104758990437,0.41695104758990437,0.5136181532870978,0.5151147751021199,0.5151147751021199,0.5151147751021199,reid,8,normalized_delta,128
17,0.410782999898258,0.5104333937342744,0.40641745670061363,0.410782999898258,0.410782999898258,0.410782999898258,0.5089430018851999,0.5104333937342744,0.5104333937342744,0.5104333937342744,reid,8,normalized_delta,128
18,0.40553031030454134,0.505821592756547,0.4012824260090527,0.40553031030454134,0.40553031030454134,0.40553031030454134,0.5043284453568049,0.505821592756547,0.505821592756547,0.505821592756547,reid,8,normalized_delta,128
19,0.4001576197382651,0.4997395064565353,0.396046199120189,0.4001576197382651,0.4001576197382651,0.4001576197382651,0.49824735324364156,0.4997395064565353,0.4997395064565353,0.4997395064565353,reid,8,normalized_delta,128
20,0.3932808663107847,0.48976232641143724,0.3893437433007516,0.3932808663107847,0.3932808663107847,0.3932808663107847,0.48830337679828517,0.48976232641143724,0.48976232641143724,0.48976232641143724,reid,8,normalized_delta,128
21,0.38046990934955444,0.4656235288712196,0.37685938338307956,0.38046990934955444,0.38046990934955444,0.38046990934955444,0.46433077796245925,0.4656235288712196,0.4656235288712196,0.4656235288712196,reid,8,normalized_delta,128
22,0.3514500607001154,0.4249128759256564,0.34825063375265974,0.3514500607001154,0.3514500607001154,0.3514500607001154,0.4235635190270841,0.4249128759256564,0.4249128759256564,0.4249128759256564,reid,8,normalized_delta,128
23,0.33470174417291815,0.3922454003477469,0.3313421239194117,0.33470174417291815,0.33470174417291815,0.33470174417291815,0.39107977456296794,0.3922454003477469,0.3922454003477469,0.3922454003477469,reid,8,normalized_delta,128
24,0.3018059806604134,0.36311875272076577,0.29818848885203664,0.3018059806604134,0.3018059806604134,0.3018059806604134,0.3625866613583639,0.36311875272076577,0.36311875272076577,0.36311875272076577,reid,8,normalized_delta,128
25,0.27846118452909746,0.34717162081506103,0.27479658611118796,0.27846118452909746,0.27846118452909746,0.27846118452909746,0.34699888454633765,0.34717162081506103,0.34717162081506103,0.34717162081506103,reid,8,normalized_delta,128
26,0.26401794848865584,0.34006964456057176,0.2603729453329977,0.26401794848865584,0.26401794848865584,0.26401794848865584,0.33996141955140047,0.34006964456057176,0.34006964456057176,0.34006964456057176,reid,8,normalized_delta,128
27,0.25399513575003335,0.3363139585708268,0.2503739149162644,0.25399513575003335,0.25399513575003335,0.25399513575003335,0.3362027631228557,0.3363139585708268,0.3363139585708268,0.3363139585708268,reid,8,normalized_delta,128
28,0.24744830847178634,0.33400622486078646,0.24383195658263407,0.24744830847178634,0.24744830847178634,0.24744830847178634,0.3338854119501775,0.33400622486078646,0.33400622486078646,0.33400622486078646,reid,8,normalized_delta,128
29,0.24378058301579011,0.33295879942306783,0.24015996069892456,0.24378058301579011,0.24378058301579011,0.24378058301579011,0.3328659295657417,0.33295879942306783,0.33295879942306783,0.33295879942306783,reid,8,normalized_delta,128
30,0.24103255630715897,0.3327025371036143,0.23742596360021515,0.24103255630715897,0.24103255630715897,0.24103255630715897,0.3326423745675129,0.3327025371036143,0.3327025371036143,0.3327025371036143,reid,8,normalized_delta,128
31,0.23861138231954293,0.33273853614082327,0.23501856351075204,0.23861138231954293,0.23861138231954293,0.23861138231954293,0.3327227090339875,0.33273853614082327,0.33273853614082327,0.33273853614082327,reid,8,normalized_delta,128
32,0.23647476447942226,0.33303317533864174,0.23289543220185135,0.23647476447942226,0.23647476447942226,0.23647476447942226,0.3330604102957295,0.33303317533864174,0.33303317533864174,0.33303317533864174,reid,8,normalized_delta,128
33,0.2345987943785363,0.33348966951598413,0.23102983896571555,0.2345987943785363,0.2345987943785363,0.2345987943785363,0.3335532348137349,0.33348966951598413,0.33348966951598413,0.33348966951598413,reid,8,normalized_delta,128
34,0.232946134544909,0.33399927780556027,0.22938469859134208,0.232946134544909,0.232946134544909,0.232946134544909,0.33409341382503044,0.33399927780556027,0.33399927780556027,0.33399927780556027,reid,8,normalized_delta,128
35,0.23146355997182821,0.3344634527602466,0.22790826779643172,0.23146355997182821,0.23146355997182821,0.23146355997182821,0.33458616479765624,0.3344634527602466,0.3344634527602466,0.3344634527602466,reid,8,normalized_delta,128
36,0.23008270139168752,0.3348636272639851,0.22653481159359218,0.23008270139168752,0.23008270139168752,0.23008270139168752,0.3350138519963366,0.3348636272639851,0.3348636272639851,0.3348636272639851,reid,8,normalized_delta,128
37,0.22881807380012775,0.3352227182185743,0.2252798586005443,0.22881807380012775,0.22881807380012775,0.22881807380012775,0.3353995185898384,0.3352227182185743,0.3352227182185743,0.3352227182185743,reid,8,normalized_delta,128
38,0.2276524830511526,0.33555442785291234,0.2241247423287285,0.2276524830511526,0.2276524830511526,0.2276524830511526,0.3357557065610308,0.33555442785291234,0.33555442785291234,0.33555442785291234,reid,8,normalized_delta,128
