split,source,sim_idx,frame,z0,z1,z2,z3,z4,z5,z6,z7
train,reid,0,0,-1.438929557800293,1.7538375854492188,0.5188024640083313,-1.1888419389724731,-1.285561203956604,-0.8591563701629639,-2.008866786956787,-1.42997145652771
train,reid,0,10,-1.4295300245285034,1.5708706378936768,-0.4097578227519989,-0.5833397507667542,-1.0868269205093384,-0.22488798201084137,-1.5637059211730957,-1.1240730285644531
train,reid,0,20,-1.544419527053833,1.535210371017456,-1.5074868202209473,0.020476369187235832,-0.9759246110916138,0.4486750364303589,-1.2310149669647217,-0.8916317224502563
train,reid,0,30,-1.7306087017059326,1.5899293422698975,-2.668832778930664,0.6017100214958191,-0.92191082239151,1.1221446990966797,-0.9779087901115417,-0.7120954990386963
train,reid,0,40,-1.978560209274292,1.7229862213134766,-3.885347366333008,1.1634478569030762,-0.917209267616272,1.795638918876648,-0.7937232255935669,-0.5785441398620605
train,reid,0,50,-2.2793893814086914,1.9222724437713623,-5.1539506912231445,1.7116204500198364,-0.9537234902381897,2.4724817276000977,-0.6662766933441162,-0.4829626679420471
train,reid,0,60,-2.623638153076172,2.1751201152801514,-6.4700117111206055,2.2516515254974365,-1.0230766534805298,3.1552677154541016,-0.583214282989502,-0.4171743392944336
train,reid,0,70,-3.0029993057250977,2.470048427581787,-7.8312883377075195,2.7894678115844727,-1.1175343990325928,3.847503185272217,-0.5328232645988464,-0.3733741044998169
train,reid,0,80,-3.4114174842834473,2.7985713481903076,-9.236677169799805,3.329730749130249,-1.231345772743225,4.5520782470703125,-0.5063253045082092,-0.3456701338291168
train,reid,0,90,-3.8445029258728027,3.1542398929595947,-10.687081336975098,3.8769054412841797,-1.36000394821167,5.272256374359131,-0.4965677261352539,-0.3292384445667267
train,reid,0,100,-4.29567813873291,3.528123378753662,-12.17965316772461,4.4349894523620605,-1.4975783824920654,6.010056495666504,-0.4947655498981476,-0.31815630197525024
train,reid,1,0,-1.7170913219451904,2.1107001304626465,0.27318018674850464,-1.2777470350265503,-1.5141584873199463,-0.8661432266235352,-2.331611394882202,-1.6399301290512085
train,reid,1,10,-1.6674730777740479,1.9070923328399658,-0.4653931260108948,-0.7599279284477234,-1.3155092000961304,-0.33695971965789795,-1.9150381088256836,-1.3542139530181885
train,reid,1,20,-1.7096664905548096,1.822534441947937,-1.274869680404663,-0.27819517254829407,-1.1924821138381958,0.18464629352092743,-1.60688054561615,-1.1400012969970703
train,reid,1,30,-1.81600022315979,1.821831226348877,-2.1277666091918945,0.17431500554084778,-1.1231441497802734,0.696780264377594,-1.3767430782318115,-0.9776707291603088
train,reid,1,40,-1.9777820110321045,1.8926509618759155,-3.0236575603485107,0.6050333380699158,-1.0990420579910278,1.204445481300354,-1.2114663124084473,-0.8585845232009888
train,reid,1,50,-2.188201665878296,2.025115489959717,-3.9633824825286865,1.020552396774292,-1.1133160591125488,1.7123546600341797,-1.100206732749939,-0.7756025791168213
train,reid,1,60,-2.439272403717041,2.207756280899048,-4.94726037979126,1.4281675815582275,-1.1580525636672974,2.225572109222412,-1.0305557250976562,-0.7205303311347961
train,reid,1,70,-2.7250986099243164,2.432297945022583,-5.974326133728027,1.8325010538101196,-1.2276314496994019,2.7470216751098633,-0.9938869476318359,-0.687682032585144
train,reid,1,80,-3.0412049293518066,2.6925458908081055,-7.043436050415039,2.2367935180664062,-1.3178919553756714,3.278639554977417,-0.983863890171051,-0.672873854637146
train,reid,1,90,-3.3832459449768066,2.982609510421753,-8.152726173400879,2.6437106132507324,-1.424953818321228,3.8217930793762207,-0.9946799278259277,-0.6722540855407715
train,reid,1,100,-3.748730182647705,3.2991418838500977,-9.301040649414062,3.0547215938568115,-1.5466196537017822,4.377218246459961,-1.023049235343933,-0.6836336255073547
train,reid,2,0,2.6529428958892822,-3.0644969940185547,6.357509613037109,-1.308297872543335,1.6094844341278076,-2.3120930194854736,1.6305378675460815,0.9340819120407104
train,reid,2,10,2.9612035751342773,-3.5856003761291504,5.944318771362305,-0.7693462371826172,2.0003719329833984,-1.8459978103637695,2.301032304763794,1.3827908039093018
train,reid,2,20,3.2492926120758057,-4.084158420562744,5.493589878082275,-0.22432485222816467,2.3796024322509766,-1.3663994073867798,2.958245038986206,1.8221594095230103
train,reid,2,30,3.515963315963745,-4.559784889221191,4.997822284698486,0.33050569891929626,2.747495412826538,-0.8689978122711182,3.6037347316741943,2.2533118724823
train,reid,2,40,3.760124683380127,-5.010866641998291,4.457087516784668,0.8941261172294617,3.1029465198516846,-0.3545105457305908,4.235748767852783,2.6751041412353516
train,reid,2,50,3.981733798980713,-5.437387943267822,3.8711066246032715,1.4666812419891357,3.4459543228149414,0.17722420394420624,4.8543314933776855,3.087606191635132
train,reid,2,60,4.180128574371338,-5.838051795959473,3.2416131496429443,2.0464625358581543,3.775481939315796,0.7246215343475342,5.457616329193115,3.4895920753479004
train,reid,2,70,4.355506896972656,-6.213065147399902,2.5690507888793945,2.633368730545044,4.0916008949279785,1.2874925136566162,6.0456719398498535,3.8811569213867188
train,reid,2,80,4.508028030395508,-6.56216287612915,1.8560717105865479,3.2258388996124268,4.3938822746276855,1.864129662513733,6.617471694946289,4.261652946472168
train,reid,2,90,4.638157367706299,-6.8856000900268555,1.1050076484680176,3.8227968215942383,4.682254314422607,2.4532155990600586,7.172604560852051,4.630861282348633
