split,source,sim_idx,frame,z0,z1
train,reid,0,0,-2.0133910179138184,0.16591230034828186
train,reid,0,10,-2.4998273849487305,0.3629535436630249
train,reid,0,20,-3.063351631164551,0.5251758694648743
train,reid,0,30,-3.6709482669830322,0.6957476139068604
train,reid,0,40,-4.320300102233887,0.8753718137741089
train,reid,0,50,-5.0112104415893555,1.0654420852661133
train,reid,0,60,-5.742842197418213,1.2682394981384277
train,reid,0,70,-6.514498710632324,1.486058235168457
train,reid,0,80,-7.324731826782227,1.7205641269683838
train,reid,0,90,-8.172971725463867,1.9731141328811646
train,reid,0,100,-9.05760669708252,2.2456247806549072
train,reid,1,0,-1.8028632402420044,0.09863193333148956
train,reid,1,10,-2.227872610092163,0.19727058708667755
train,reid,1,20,-2.7232236862182617,0.2711353302001953
train,reid,1,30,-3.2684502601623535,0.3556608557701111
train,reid,1,40,-3.863779067993164,0.45022690296173096
train,reid,1,50,-4.509402275085449,0.5524031519889832
train,reid,1,60,-5.204972267150879,0.659530520439148
train,reid,1,70,-5.949390411376953,0.7684791088104248
train,reid,1,80,-6.741255760192871,0.8767991065979004
train,reid,1,90,-7.578914642333984,0.9820349812507629
train,reid,1,100,-8.460420608520508,1.081532597541809
train,reid,2,0,-2.150632619857788,0.13505537807941437
train,reid,2,10,-2.4040701389312744,0.6219784021377563
train,reid,2,20,-2.6916728019714355,1.1326391696929932
train,reid,2,30,-3.0146498680114746,1.6687042713165283
train,reid,2,40,-3.373264789581299,2.229952812194824
train,reid,2,50,-3.7671499252319336,2.817202091217041
train,reid,2,60,-4.195249557495117,3.43035888671875
train,reid,2,70,-4.657919883728027,4.0695390701293945
train,reid,2,80,-5.15435791015625,4.734372615814209
train,reid,2,90,-5.683719158172607,5.424132347106934
train,reid,2,100,-6.244437217712402,6.139694690704346
train,reid,3,0,-2.1812825202941895,0.12371337413787842
train,reid,3,10,-2.428234338760376,0.6130433678627014
train,reid,3,20,-2.7041945457458496,1.1232300996780396
train,reid,3,30,-3.012258768081665,1.6548113822937012
train,reid,3,40,-3.3529837131500244,2.206984519958496
train,reid,3,50,-3.7264349460601807,2.78115177154541
train,reid,3,60,-4.132533550262451,3.3769607543945312
train,reid,3,70,-4.57111120223999,3.9942493438720703
train,reid,3,80,-5.04205846786499,4.633732318878174
train,reid,3,90,-5.545044898986816,5.294468879699707
train,reid,3,100,-6.079845428466797,5.976158618927002
train,reid,4,0,-1.7841548919677734,0.06786203384399414
train,reid,4,10,-2.117103338241577,0.2868339717388153
train,reid,4,20,-2.4894795417785645,0.5097124576568604
train,reid,4,30,-2.894573450088501,0.7516950368881226
train,reid,4,40,-3.332068681716919,1.0139240026474
train,reid,4,50,-3.801501750946045,1.2967774868011475
train,reid,4,60,-4.302867412567139,1.6001057624816895
train,reid,4,70,-4.835822582244873,1.9238412380218506
train,reid,4,80,-5.400195598602295,2.2680375576019287
train,reid,4,90,-5.9954071044921875,2.632050037384033
train,reid,4,100,-6.620840072631836,3.015819787979126
train,reid,5,0,-2.0895514488220215,0.1815606951713562
train,reid,5,10,-2.6347455978393555,0.3412244915962219
train,reid,5,20,-3.256744623184204,0.46738654375076294
train,reid,5,30,-3.9147560596466064,0.6016579866409302
train,reid,5,40,-4.6058268547058105,0.7398836612701416
train,reid,5,50,-5.327669143676758,0.8800124526023865
train,reid,5,60,-6.07816219329834,1.0210825204849243
train,reid,5,70,-6.8551249504089355,1.1621992588043213
train,reid,5,80,-7.655801296234131,1.3025480508804321
train,reid,5,90,-8.478330612182617,1.442413091659546
train,reid,5,100,-9.320330619812012,1.5817298889160156
train,reid,6,0,-1.9809374809265137,0.1389854997396469
train,reid,6,10,-2.4366703033447266,0.34231775999069214
train,reid,6,20,-2.965938091278076,0.5316281318664551
train,reid,6,30,-3.5423529148101807,0.7332285046577454
train,reid,6,40,-4.162540435791016,0.9490358233451843
train,reid,6,50,-4.824300765991211,1.180050253868103
train,reid,6,60,-5.525305271148682,1.4253098964691162
train,reid,6,70,-6.264008522033691,1.6848371028900146
train,reid,6,80,-7.038172721862793,1.9575709104537964
train,reid,6,90,-7.846227645874023,2.242612838745117
train,reid,6,100,-8.68564510345459,2.538806438446045
train,reid,7,0,-2.137641668319702,0.18829122185707092
train,reid,7,10,-2.618028163909912,0.4583728015422821
train,reid,7,20,-3.1496503353118896,0.7141646146774292
train,reid,7,30,-3.718038320541382,0.9783579707145691
train,reid,7,40,-4.320422649383545,1.253028154373169
train,reid,7,50,-4.954883575439453,1.5377862453460693
train,reid,7,60,-5.618590354919434,1.8320521116256714
train,reid,7,70,-6.309621334075928,2.1357343196868896
train,reid,7,80,-7.02606725692749,2.4474353790283203
train,reid,7,90,-7.7664713859558105,2.765920877456665
train,reid,7,100,-8.528894424438477,3.0893094539642334
train,reid,8,0,-1.8750479221343994,0.05483006685972214
train,reid,8,10,-2.098615884780884,0.4553189277648926
train,reid,8,20,-2.3494346141815186,0.8783957362174988
train,reid,8,30,-2.6332483291625977,1.3213729858398438
train,reid,8,40,-2.9508588314056396,1.783935308456421
train,reid,8,50,-3.302793025970459,2.2664918899536133
train,reid,8,60,-3.689470052719116,2.769493579864502
train,reid,8,70,-4.111353874206543,3.2926430702209473
train,reid,8,80,-4.568535327911377,3.8362340927124023
train,reid,8,90,-5.061454772949219,4.400339126586914
train,reid,8,100,-5.5899224281311035,4.984403610229492
train,reid,9,0,-2.2230749130249023,0.15980404615402222
train,reid,9,10,-2.510573625564575,0.6077293157577515
train,reid,9,20,-2.8336021900177,1.077324628829956
train,reid,9,30,-3.191135883331299,1.5664952993392944
train,reid,9,40,-3.582346200942993,2.0743892192840576
train,reid,9,50,-4.00661039352417,2.601325750350952
train,reid,9,60,-4.46366024017334,3.146822690963745
train,reid,9,70,-4.953483581542969,3.710296392440796
train,reid,9,80,-5.474981784820557,4.291172027587891
train,reid,9,90,-6.027868747711182,4.888792037963867
train,reid,9,100,-6.611040115356445,5.502878189086914
train,reid,10,0,-1.8685616254806519,0.03842850401997566
train,reid,10,10,-2.0827016830444336,0.5021234750747681
train,reid,10,20,-2.338106393814087,0.9901136755943298
train,reid,10,30,-2.6360604763031006,1.5039712190628052
train,reid,10,40,-2.9769136905670166,2.043271541595459
train,reid,10,50,-3.360079526901245,2.608487606048584
train,reid,10,60,-3.7848191261291504,3.199321985244751
train,reid,10,70,-4.2505998611450195,3.815544366836548
train,reid,10,80,-4.7562255859375,4.456529140472412
train,reid,10,90,-5.300666809082031,5.121301651000977
train,reid,10,100,-5.882309913635254,5.8089680671691895
train,reid,11,0,-1.9374070167541504,0.1126667708158493
train,reid,11,10,-2.355199098587036,0.23965391516685486
train,reid,11,20,-2.8311307430267334,0.3402005732059479
train,reid,11,30,-3.3402998447418213,0.44668322801589966
train,reid,11,40,-3.881053924560547,0.5596834421157837
train,reid,11,50,-4.452342510223389,0.6788004636764526
train,reid,11,60,-5.0530195236206055,0.8044158220291138
train,reid,11,70,-5.6822052001953125,0.9369310736656189
train,reid,11,80,-6.339225769042969,1.0758893489837646
train,reid,11,90,-7.023221969604492,1.2219760417938232
train,reid,11,100,-7.733315467834473,1.3747718334197998
train,reid,12,0,-2.037480592727661,0.0864817276597023
train,reid,12,10,-2.2551016807556152,0.5939660668373108
train,reid,12,20,-2.5094504356384277,1.133277416229248
train,reid,12,30,-2.8067710399627686,1.6987135410308838
train,reid,12,40,-3.1469109058380127,2.289644479751587
train,reid,12,50,-3.530427932739258,2.9068636894226074
train,reid,12,60,-3.956669807434082,3.5493431091308594
train,reid,12,70,-4.426220417022705,4.215908050537109
train,reid,12,80,-4.936905384063721,4.906569957733154
train,reid,12,90,-5.488080978393555,5.618905067443848
train,reid,12,100,-6.078010082244873,6.351906776428223
train,reid,13,0,-2.0865328311920166,0.21346913278102875
train,reid,13,10,-2.542907238006592,0.4923950433731079
train,reid,13,20,-3.0692946910858154,0.7840079069137573
train,reid,13,30,-3.6574997901916504,1.1083815097808838
train,reid,13,40,-4.308046817779541,1.4631712436676025
train,reid,13,50,-5.020914077758789,1.8471144437789917
train,reid,13,60,-5.794898509979248,2.2576777935028076
train,reid,13,70,-6.627312660217285,2.693364143371582
train,reid,13,80,-7.516211986541748,3.1528491973876953
train,reid,13,90,-8.459442138671875,3.634852886199951
train,reid,13,100,-9.45261001586914,4.137790203094482
