split,source,sim_idx,frame,z0,z1
train,reid,0,0,-0.10826819390058517,-2.5205018520355225
train,reid,0,10,-0.6784298419952393,-3.138887643814087
train,reid,0,20,-1.2778353691101074,-3.9121124744415283
train,reid,0,30,-1.9278017282485962,-4.755282402038574
train,reid,0,40,-2.6367037296295166,-5.678592681884766
train,reid,0,50,-3.4177117347717285,-6.697777271270752
train,reid,0,60,-4.28446626663208,-7.8259196281433105
train,reid,0,70,-5.2580647468566895,-9.080842971801758
train,reid,0,80,-6.367056846618652,-10.479363441467285
train,reid,0,90,-7.640072345733643,-12.030563354492188
train,reid,0,100,-9.109644889831543,-13.738792419433594
train,reid,1,0,0.617763876914978,-2.5557122230529785
train,reid,1,10,0.12385132908821106,-3.1643078327178955
train,reid,1,20,-0.3317389488220215,-3.8441085815429688
train,reid,1,30,-0.7764915823936462,-4.527700424194336
train,reid,1,40,-1.2125869989395142,-5.21755313873291
train,reid,1,50,-1.6417945623397827,-5.917744159698486
train,reid,1,60,-2.0664215087890625,-6.632080078125
train,reid,1,70,-2.490746021270752,-7.363875389099121
train,reid,1,80,-2.9185147285461426,-8.115415573120117
train,reid,1,90,-3.354531764984131,-8.888276100158691
train,reid,1,100,-3.803251266479492,-9.684082984924316
train,reid,2,0,0.636183500289917,-2.600781202316284
train,reid,2,10,-0.14740589261054993,-2.4992384910583496
train,reid,2,20,-0.9866473078727722,-2.4241607189178467
train,reid,2,30,-1.893689751625061,-2.3830881118774414
train,reid,2,40,-2.8697144985198975,-2.3837780952453613
train,reid,2,50,-3.9120893478393555,-2.435025453567505
train,reid,2,60,-5.012293815612793,-2.5450196266174316
train,reid,2,70,-6.1557512283325195,-2.7225379943847656
train,reid,2,80,-7.324582576751709,-2.973249912261963
train,reid,2,90,-8.500825881958008,-3.2999820709228516
train,reid,2,100,-9.672015190124512,-3.7015678882598877
train,reid,3,0,0.5927083492279053,-2.6535191535949707
train,reid,3,10,-0.16091307997703552,-2.5504560470581055
train,reid,3,20,-0.9682695865631104,-2.4683914184570312
train,reid,3,30,-1.845930576324463,-2.412731647491455
train,reid,3,40,-2.8014659881591797,-2.3886959552764893
train,reid,3,50,-3.8373289108276367,-2.4020836353302
train,reid,3,60,-4.945448875427246,-2.4620258808135986
train,reid,3,70,-6.111607551574707,-2.576253652572632
train,reid,3,80,-7.319865703582764,-2.7515807151794434
train,reid,3,90,-8.548227310180664,-2.9920730590820312
train,reid,3,100,-9.776642799377441,-3.2989020347595215
train,reid,4,0,0.3483731746673584,-2.3904991149902344
train,reid,4,10,-0.1872321367263794,-2.736947536468506
train,reid,4,20,-0.6837103366851807,-3.1006789207458496
train,reid,4,30,-1.1679939031600952,-3.4616904258728027
train,reid,4,40,-1.6448280811309814,-3.818804979324341
train,reid,4,50,-2.1173839569091797,-4.170680522918701
train,reid,4,60,-2.5880649089813232,-4.516112327575684
train,reid,4,70,-3.0584628582000732,-4.855497360229492
train,reid,4,80,-3.530604362487793,-5.188382625579834
train,reid,4,90,-4.004123687744141,-5.515544891357422
train,reid,4,100,-4.48004674911499,-5.839607238769531
train,reid,5,0,-0.055235426872968674,-2.541811466217041
train,reid,5,10,-0.6152998805046082,-3.3220667839050293
train,reid,5,20,-1.1989078521728516,-4.2719573974609375
train,reid,5,30,-1.8231825828552246,-5.278491497039795
train,reid,5,40,-2.4864492416381836,-6.352686882019043
train,reid,5,50,-3.1921792030334473,-7.509439468383789
train,reid,5,60,-3.9454987049102783,-8.755908966064453
train,reid,5,70,-4.753112316131592,-10.093738555908203
train,reid,5,80,-5.625110626220703,-11.525064468383789
train,reid,5,90,-6.565783500671387,-13.037725448608398
train,reid,5,100,-7.585880279541016,-14.632333755493164
train,reid,6,0,0.29044151306152344,-2.494393825531006
train,reid,6,10,-0.240352064371109,-2.9892172813415527
train,reid,6,20,-0.7320303320884705,-3.52994704246521
train,reid,6,30,-1.2080930471420288,-4.079951763153076
train,reid,6,40,-1.6709989309310913,-4.635470867156982
train,reid,6,50,-2.122607469558716,-5.192230224609375
train,reid,6,60,-2.5645558834075928,-5.74897575378418
train,reid,6,70,-2.9989213943481445,-6.304129123687744
train,reid,6,80,-3.4279768466949463,-6.857565402984619
train,reid,6,90,-3.854029417037964,-7.409811973571777
train,reid,6,100,-4.27872371673584,-7.961236000061035
train,reid,7,0,0.0977143943309784,-2.5696167945861816
train,reid,7,10,-0.4623512625694275,-3.1096229553222656
train,reid,7,20,-0.994219183921814,-3.703622817993164
train,reid,7,30,-1.5173046588897705,-4.305544853210449
train,reid,7,40,-2.035726547241211,-4.911510944366455
train,reid,7,50,-2.5525033473968506,-5.52081298828125
train,reid,7,60,-3.070819854736328,-6.133670806884766
train,reid,7,70,-3.593197822570801,-6.749680519104004
train,reid,7,80,-4.122225761413574,-7.369913101196289
train,reid,7,90,-4.660435199737549,-7.995278835296631
train,reid,7,100,-5.209556579589844,-8.62706470489502
train,reid,8,0,0.3660694658756256,-2.487123966217041
train,reid,8,10,-0.31515222787857056,-2.4826784133911133
train,reid,8,20,-1.0164868831634521,-2.480412483215332
train,reid,8,30,-1.7476797103881836,-2.4857795238494873
train,reid,8,40,-2.520613670349121,-2.497373580932617
train,reid,8,50,-3.347011089324951,-2.514803647994995
train,reid,8,60,-4.234945774078369,-2.5390450954437256
train,reid,8,70,-5.185771465301514,-2.574460029602051
train,reid,8,80,-6.195562362670898,-2.6262598037719727
train,reid,8,90,-7.253884315490723,-2.701368570327759
train,reid,8,100,-8.348461151123047,-2.805828332901001
train,reid,9,0,0.7741642594337463,-2.676419258117676
train,reid,9,10,0.04819917678833008,-2.6359140872955322
train,reid,9,20,-0.7143763303756714,-2.6057381629943848
train,reid,9,30,-1.5184383392333984,-2.59525990486145
train,reid,9,40,-2.3653759956359863,-2.607790946960449
train,reid,9,50,-3.2560014724731445,-2.6464650630950928
train,reid,9,60,-4.186342239379883,-2.715207099914551
train,reid,9,70,-5.150857448577881,-2.8174514770507812
train,reid,9,80,-6.1413679122924805,-2.9554123878479004
train,reid,9,90,-7.148526191711426,-3.1313235759735107
train,reid,9,100,-8.16450309753418,-3.34470534324646
train,reid,10,0,0.4792517423629761,-2.585585832595825
train,reid,10,10,-0.2996147572994232,-2.4741437435150146
train,reid,10,20,-1.1375607252120972,-2.3794524669647217
train,reid,10,30,-2.0443732738494873,-2.30686616897583
train,reid,10,40,-3.0216803550720215,-2.263582706451416
train,reid,10,50,-4.065644264221191,-2.2571752071380615
train,reid,10,60,-5.164193153381348,-2.296712875366211
train,reid,10,70,-6.300114631652832,-2.389714479446411
train,reid,10,80,-7.4540205001831055,-2.5414392948150635
train,reid,10,90,-8.604296684265137,-2.7545955181121826
train,reid,10,100,-9.732305526733398,-3.027855396270752
train,reid,11,0,0.38168901205062866,-2.4208743572235107
train,reid,11,10,-0.12117666006088257,-2.9157137870788574
train,reid,11,20,-0.5683902502059937,-3.4534478187561035
train,reid,11,30,-0.9961938858032227,-3.9895806312561035
train,reid,11,40,-1.4105689525604248,-4.5293779373168945
train,reid,11,50,-1.8157747983932495,-5.077454090118408
train,reid,11,60,-2.215158700942993,-5.635788917541504
train,reid,11,70,-2.6122701168060303,-6.206057548522949
train,reid,11,80,-3.0096709728240967,-6.78930139541626
train,reid,11,90,-3.4106099605560303,-7.385209083557129
train,reid,11,100,-3.8165645599365234,-7.993480205535889
train,reid,12,0,0.563711941242218,-2.6689887046813965
train,reid,12,10,-0.22749729454517365,-2.51604962348938
train,reid,12,20,-1.1079416275024414,-2.3841660022735596
train,reid,12,30,-2.0840625762939453,-2.292184829711914
train,reid,12,40,-3.1552836894989014,-2.249145746231079
train,reid,12,50,-4.30910587310791,-2.2674713134765625
train,reid,12,60,-5.52091121673584,-2.3579092025756836
