epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_lj_noisy_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_reid_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.5593432715587449,0.47175296968535374,0.5685903039417769,0.6135896650523367,0.6364854813144918,0.4285436365099853,0.5595395942922713,0.6364854813144918,0.484361038396233,0.39865195880595006,0.7113685938872789,0.30523834950045536,0.4717529673978948,0.7113685938872789,shared_no_mixed,8,normalized_delta,128
2,0.3654925577473222,0.42020908319636396,0.3740228698441857,0.44072013183064024,0.36962093599794205,0.2864100664592626,0.36558371142928164,0.44072013183064024,0.42212984232526074,0.37843171330659015,0.569384498109943,0.3128110347609771,0.4202090820591701,0.569384498109943,shared_no_mixed,8,normalized_delta,128
3,0.34776619170841416,0.41760966440564706,0.35392504104396755,0.4038446421249652,0.3572022778161785,0.280794905204522,0.3472806083818886,0.4038446421249652,0.41577768396390113,0.37022319906636286,0.5503537583507989,0.33225203674090537,0.41760966471935573,0.5503537583507989,shared_no_mixed,8,normalized_delta,128
4,0.3373189873339837,0.4071123730979468,0.3422824741978394,0.38882996118299556,0.3518114567848674,0.2700476851641086,0.3368963677106572,0.38882996118299556,0.4043009005094829,0.3669621248386408,0.5188769015826677,0.33549809510770595,0.40711237384300486,0.5188769015826677,shared_no_mixed,8,normalized_delta,128
5,0.32997893518523164,0.3955333476003848,0.3347167465247606,0.37536963846691895,0.3523654273204636,0.25938474760766617,0.32903993779834956,0.37536963846691895,0.3927231902354642,0.3679688005855209,0.5181842689451418,0.30044696907463825,0.395533346201767,0.5181842689451418,shared_no_mixed,8,normalized_delta,128
6,0.3170718082243152,0.3848696849848095,0.32115110423775356,0.3618312905424497,0.34698528116895705,0.24364789560143102,0.3174881557709459,0.3618312905424497,0.380249438081917,0.3671509364717885,0.48067450131240647,0.3067836252482314,0.3848696876774755,0.48067450131240647,shared_no_mixed,8,normalized_delta,128
7,0.24915593459940794,0.25041675434300775,0.2396265024417325,0.20201036219917973,0.34349845441287025,0.20239304478623366,0.24930062046609455,0.34349845441287025,0.23365462865484388,0.3586968879950674,0.16367960422250785,0.22887377260546934,0.25041675494101484,0.3586968879950674,shared_no_mixed,8,normalized_delta,128
8,0.2051364249827569,0.24158457313713275,0.19250727131178505,0.12940306308954744,0.33362602659484797,0.1518351050061092,0.20495473156350152,0.33362602659484797,0.22536278131761048,0.3541954431878893,0.15664982895709967,0.2139084454429777,0.24158457252932222,0.3541954431878893,shared_no_mixed,8,normalized_delta,128
9,0.19812955058980405,0.2411602788849881,0.18637698648268716,0.12497084787194158,0.32572057461529447,0.14311425103560874,0.19793522450761492,0.32572057461529447,0.22423932928788035,0.35217112181218047,0.15168726796676454,0.2196224467730836,0.24116027885067623,0.35217112181218047,shared_no_mixed,8,normalized_delta,128
10,0.1950029780728775,0.2419335146875758,0.18305568574813375,0.1215965939541413,0.32196269009196965,0.14092159270913454,0.19482695891841517,0.32196269009196965,0.2241691470538315,0.35615986515032616,0.15407498026462763,0.21556569961340805,0.24193351500945393,0.35615986515032616,shared_no_mixed,8,normalized_delta,128
