model,dimension,seed,pc1_variance_fraction,pc2_variance_fraction
depablo_low_temp,2,123,0.7872732281684875,1.0
depablo_low_temp,2,456,0.6141040921211243,1.0
depablo_low_temp,2,786,0.7161902785301208,1.0
depablo_low_temp,4,123,0.6884216666221619,0.9999940395355225
depablo_low_temp,4,456,0.6056831479072571,0.999996542930603
depablo_low_temp,4,786,0.6267454028129578,0.999994158744812
depablo_low_temp,6,123,0.7269183993339539,0.9999948143959045
depablo_low_temp,6,456,0.6565448641777039,0.9999905824661255
depablo_low_temp,6,786,0.747860848903656,0.9999969601631165
depablo_low_temp,8,123,0.6866599917411804,0.999992847442627
depablo_low_temp,8,456,0.7204369306564331,0.9999902248382568
depablo_low_temp,8,786,0.8044296503067017,0.9999920129776001
depablo_mixed_temp,2,123,0.9710175395011902,1.0
depablo_mixed_temp,2,456,0.6269769668579102,1.0
depablo_mixed_temp,2,786,0.5963731408119202,1.0
depablo_mixed_temp,4,123,0.6512976884841919,0.9999058246612549
depablo_mixed_temp,4,456,0.6868404746055603,0.9999648332595825
depablo_mixed_temp,4,786,0.6159580945968628,0.9999241828918457
depablo_mixed_temp,6,123,0.7074276208877563,0.9999824166297913
depablo_mixed_temp,6,456,0.6927459836006165,0.999914288520813
depablo_mixed_temp,6,786,0.7120465040206909,0.9999430179595947
depablo_mixed_temp,8,123,0.6558716893196106,0.9999323487281799
depablo_mixed_temp,8,456,0.6762354373931885,0.9999264478683472
depablo_mixed_temp,8,786,0.9007953405380249,0.998604953289032
lj_noisy,2,123,0.9999606609344482,1.0
lj_noisy,2,456,0.9999805092811584,1.0
lj_noisy,2,786,0.9999982118606567,1.0
lj_noisy,4,123,0.9999982714653015,0.9999992251396179
lj_noisy,4,456,0.9999707341194153,0.9999968409538269
lj_noisy,4,786,0.9999902844429016,0.9999992847442627
lj_noisy,6,123,0.9999744892120361,0.999994695186615
lj_noisy,6,456,0.9999895691871643,0.9999978542327881
lj_noisy,6,786,0.9999933242797852,0.9999973177909851
lj_noisy,8,123,0.9999449849128723,0.9999805092811584
lj_noisy,8,456,0.9999842643737793,0.999992847442627
lj_noisy,8,786,0.9999945759773254,0.9999973773956299
reid,2,123,0.7085151076316833,1.0
reid,2,456,0.7507054805755615,1.0
reid,2,786,0.7415867447853088,1.0
reid,4,123,0.7460878491401672,0.9999963641166687
reid,4,456,0.7344865798950195,0.9999933242797852
reid,4,786,0.703894853591919,0.9999947547912598
reid,6,123,0.7108955383300781,0.9999966621398926
reid,6,456,0.7669528126716614,0.9999895095825195
reid,6,786,0.704169511795044,0.9999910593032837
reid,8,123,0.7093127369880676,0.999996542930603
reid,8,456,0.7322409749031067,0.9999921917915344
reid,8,786,0.7721125483512878,0.9999794960021973
shared3,2,123,0.5800155997276306,1.0
shared3,2,456,0.567015528678894,1.0
shared3,2,786,0.6378520131111145,1.0
shared3,4,123,0.5949839353561401,0.998482346534729
shared3,4,456,0.7954419255256653,0.9982923269271851
shared3,4,786,0.7720526456832886,0.9828503131866455
shared3,6,123,0.6859719157218933,0.9992663860321045
shared3,6,456,0.8307288885116577,0.9977983236312866
shared3,6,786,0.6185351014137268,0.8290061354637146
shared3,8,123,0.6076834201812744,0.9984790086746216
shared3,8,456,0.5633511543273926,0.9952399730682373
shared3,8,786,0.651399552822113,0.9479051232337952
shared4,2,123,0.7292245626449585,1.0
shared4,2,456,0.7071992754936218,1.0
shared4,2,786,0.7721431851387024,1.0
shared4,4,123,0.6328124403953552,0.9546797275543213
shared4,4,456,0.6031864285469055,0.969007670879364
shared4,4,786,0.6019413471221924,0.9994629621505737
shared4,6,123,0.7325645685195923,0.9989026188850403
shared4,6,456,0.761349618434906,0.9941126704216003
shared4,6,786,0.6929120421409607,0.9970687627792358
shared4,8,123,0.5976873636245728,0.9165580868721008
shared4,8,456,0.6488040089607239,0.9370254874229431
shared4,8,786,0.5705016851425171,0.9979132413864136
