epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.0007414100696791042,0.0006321339765607129,0.0007414100696791042,1.2253962341567196e-06,0.0,0.0003527761007624102,0.0016285382102340232,0.0002429158980408792,0.0006321339765607129,1.0258855335602373e-06,0.0,0.0012459209168543183,0.0001587278686066671,0.0004917531442211535,,,,,,,,,,,,,,,1,1,1,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.0005985775083094075,0.0005092072317050958,0.0005985775083094075,1.0510134783918842e-06,0.0,0.0002604979576420126,0.0013588897155012733,0.00017634485178493663,0.0005092072317050958,8.799245942251824e-07,0.0,0.0009917788951411216,0.00014892770166982785,0.0003869150983043381,0.8769003165607733,0.9864212685798698,60.0,-0.5919574350134235,-3.55893569698772,-0.5919574350134235,-3.55893569698772,0.8544868023317651,0.9285765896156842,-3.55893569698772,0.8544868023317651,0.9285765896156842,-3.55893569698772,0.8769003165607733,1,1,2,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.0005112697149356372,0.00045278218006111894,0.0005112697149356372,9.419171647095936e-07,0.0,0.00023463298226281788,0.001134609586318204,0.00016456657622588983,0.00045278218006111894,8.141879324815212e-07,0.0,0.0008267478181928604,0.00017356927666891558,0.0003580294453215808,,,,,,,,,,,,,,,1,1,3,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0004891048939740545,0.0004462342239552578,0.0004891048939740545,9.195796070236932e-07,0.0,0.00023502389238073805,0.0010615333157520711,0.00017075747378935427,0.0004462342239552578,8.053545883512925e-07,0.0,0.0008194874333549283,0.0001596455318250596,0.00035956970668578575,0.9691260938481561,0.9858723312050368,60.0,0.7684894352722024,0.3992285411213832,0.7684894352722024,0.3992285411213832,0.9387305096197339,0.96750925507549,0.3992285411213832,0.9387305096197339,0.96750925507549,0.3992285411213832,0.9691260938481561,1,1,4,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.00048199840451681374,0.00044493833140294754,0.00048199840451681374,9.05805199422235e-07,0.0,0.00022881420034960193,0.001057581322836417,0.00015959969036442233,0.00044493833140294754,8.03822478208834e-07,0.0,0.000819526316286647,0.00014779602014970662,0.000367492657772489,,,,,,,,,,,,,,,1,1,5,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.00047996611635299345,0.0004406981807604413,0.00047996611635299345,9.090798417834295e-07,0.0,0.00022522816766364702,0.0010566892974863925,0.00015798088390894056,0.0004406981807604413,7.978078334266078e-07,0.0,0.0008174122339506266,0.00014743135191849888,0.0003572509564121985,0.9597982973250008,0.9822884789081384,60.0,0.7601893314754862,0.410843682679906,0.7601893314754862,0.410843682679906,0.919710934005634,0.9500133777409185,0.410843682679906,0.919710934005634,0.9500133777409185,0.410843682679906,0.9597982973250008,1,1,6,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.00047816767935105717,0.00043653999997467994,0.00047816767935105717,9.064368067115805e-07,0.0,0.0002212241907120353,0.001055720194736838,0.00015755865260429826,0.00043653999997467994,7.915309936379344e-07,0.0,0.0008146851882775919,0.00014717377312015032,0.0003477610385262976,,,,,,,,,,,,,,,1,1,7,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.0004767718191111339,0.00043227663590162096,0.0004767718191111339,8.988033675236426e-07,0.0,0.00021840868307635512,0.001055381724020567,0.00015652505023647963,0.00043227663590162096,7.853313519490257e-07,0.0,0.000812792809680556,0.00014806582008990618,0.0003359712779344006,0.9533936818211466,0.9825483537986031,60.0,0.7287995000293067,0.3427835996381027,0.7287995000293067,0.3427835996381027,0.9007660068764831,0.9428488935733341,0.3427835996381027,0.9007660068764831,0.9428488935733341,0.3427835996381027,0.9533936818211466,1,1,8,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.0004746496139191667,0.00043076292098287206,0.0004746496139191667,8.939144389414116e-07,0.0,0.000213448100080569,0.0010538160173360854,0.00015668472434084566,0.00043076292098287206,7.840003680333515e-07,0.0,0.0008130324977030618,0.00014509229165636316,0.0003341639735891913,,,,,,,,,,,,,,,1,1,9,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.0004721360976973406,0.00042592486935433835,0.0004721360976973406,8.997710966361731e-07,0.0,0.00021057895139714577,0.0010505277401699387,0.00015530160152493728,0.00042592486935433835,7.763500301886476e-07,0.0,0.0008097137415509979,0.00014677058501021633,0.0003212902815018007,0.9538781148528661,0.9820702542501919,60.0,0.729474311274052,0.3396307946187228,0.729474311274052,0.3396307946187228,0.906292030348373,0.9425001088550601,0.3396307946187228,0.906292030348373,0.9425001088550601,0.3396307946187228,0.9538781148528661,1,1,10,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,0.0004702221746891739,0.0004235233448146854,0.0004702221746891739,8.921035246470745e-07,0.0,0.0002072270859950745,0.0010486062502639215,0.00015483318780852573,0.0004235233448146854,7.725033981387242e-07,0.0,0.0008086265651842657,0.00014510492976058524,0.0003168385394992054,,,,,,,,,,,,,,,1,1,11,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,0.0004683796271032494,0.0004195909771748203,0.0004683796271032494,8.885318018602607e-07,0.0,0.00020468931202554703,0.0010465274583287118,0.00015392211095548945,0.0004195909771748203,7.663477579929653e-07,0.0,0.0008060439281240593,0.00014624441907015395,0.0003064845843302478,0.9481093488054699,0.9809495925847131,60.0,0.7099567153808443,0.29892553743139816,0.7099567153808443,0.29892553743139816,0.898519003358269,0.9324256053528654,0.29892553743139816,0.898519003358269,0.9324256053528654,0.29892553743139816,0.9481093488054699,1,1,12,shared4,2,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
