epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9977805859902326,1.2637345890204112,0.9977805859902326,0.0007820808986092315,0.9941400079166188,1.3624955065110151,0.636706250555375,1.2637345890204112,0.0009449322678847238,0.6675925850868225,1.2306919594605763,1.8929191927115123,,,,,,,,,,,,,,,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9833099877133089,1.2451687554518382,0.9833099877133089,0.0007712479256203069,0.9839144173790427,1.3394203606773825,0.6265951745650348,1.2451687554518382,0.0009310655392861614,0.6578891724348068,1.2164032061894734,1.8612139721711476,0.5005027154948886,0.763461997679847,60.0,-0.4304774902698587,-1.4683027137126778,-0.4304774902698587,-1.4683027137126778,-0.008597929365879109,0.18546817226898094,-1.4683027137126778,-0.008597929365879109,0.18546817226898094,-1.4683027137126778,0.5005027154948886,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.963463678079493,1.2127664784590404,0.963463678079493,0.0007552021587103167,0.9703223039122189,1.3026662784464218,0.6174024729167714,1.2127664784590404,0.000905924040125683,0.6434704711039861,1.1945615808169048,1.8002673486868541,,,,,,,,,,,,,,,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9261308066985187,1.1569263835748036,0.9261308066985187,0.0007241186651620356,0.9489863199346206,1.2274896397310144,0.6019165025037878,1.1569263835748036,0.0008612146727197493,0.6219046513239542,1.1611118266979854,1.6877627074718475,0.5122372601777943,0.7631401890097024,60.0,-0.3372249289319795,-1.2126283665026074,-0.3372249289319795,-1.2126283665026074,-0.0002283118651338345,0.20118189157180288,-1.2126283665026074,-0.0002283118651338345,0.20118189157180288,-1.2126283665026074,0.5122372601777943,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.8652837732258964,1.0686901062726974,0.8652837732258964,0.0006717720226494267,0.9147968222113216,1.1013672457021826,0.5796872079372406,1.0686901062726974,0.0007888494001235813,0.5925165737668673,1.1109823087851207,1.502571443716685,,,,,,,,,,,,,,,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.775516061221852,0.9467202921708425,0.775516061221852,0.0005936595775625285,0.8639864185277153,0.9120887307559743,0.5504730150980108,0.9467202921708425,0.0006898785941302776,0.5544600983460745,1.0361067553361256,1.249593993028005,0.5411464373703123,0.7584524749190852,60.0,-0.06389318193362088,-0.44501668296954544,-0.06389318193362088,-0.44501668296954544,0.0184452772954935,0.23489185987318928,-0.44501668296954544,0.0184452772954935,0.23489185987318928,-0.44501668296954544,0.5411464373703123,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.6658505692201502,0.811446617046992,0.6658505692201502,0.0005030402475420167,0.7899251545176786,0.6961184669943417,0.5115080756299636,0.811446617046992,0.0005886090560428178,0.5065580134590467,0.9291608035564423,0.9986210515101751,,,,,,,,,,,,,,,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.5576111130854663,0.6736445724964142,0.5576111130854663,0.00042192535029779026,0.6839533062542186,0.5239862659398247,0.46489378634621115,0.6736445724964142,0.0004924551637183564,0.4527311399579048,0.7888203908999761,0.7793822139501572,0.5696839906578042,0.7575812293364512,60.0,-0.02817302509587734,-0.43522127684663614,-0.02817302509587734,-0.43522127684663614,0.058762945840278746,0.29193925571872537,-0.43522127684663614,0.058762945840278746,0.29193925571872537,-0.43522127684663614,0.5696839906578042,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.4490308463573456,0.5399654656648636,0.4490308463573456,0.0003428752054734265,0.5575045610175413,0.37295730850275827,0.4166306642925038,0.5399654656648636,0.0003975746828170183,0.4014415343602498,0.6381183713674545,0.580336498717467,,,,,,,,,,,,,,,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.35599763603771434,0.4352159226934115,0.35599763603771434,0.00027550052447408875,0.4382837940664852,0.25678642444750843,0.37292269398184386,0.4352159226934115,0.0003260859860650574,0.35971957196791965,0.5190369859337807,0.4268912176291148,0.6050786701893038,0.7784866418595056,60.0,0.012449750179398719,-0.43504241276788647,0.012449750179398719,-0.43504241276788647,0.10940197412444475,0.3629896891816379,-0.43504241276788647,0.10940197412444475,0.3629896891816379,-0.43504241276788647,0.6050786701893038,shared4,6,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
