epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9966194559546078,1.0608178426822026,0.9966194559546078,0.0013803322867983405,1.1518342424841488,1.2904699129216812,0.5475541651248932,1.0608178426822026,0.0015823273570276797,1.1399363577365875,0.6119576344887415,1.4305595457553864,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9784932452089646,1.0386987775564194,0.9784932452089646,0.0013598896398702089,1.1377159006455366,1.2601571503807516,0.53760666531675,1.0386987775564194,0.001555142254801467,1.1029186050097148,0.6017782216270765,1.4113995432853699,0.4126146464074396,0.7142991401896913,60.0,-0.6673519809512681,-1.9666748904307072,-0.6673519809512681,-1.9666748904307072,-0.034758346921021754,-0.0006227055020751049,-1.9666748904307072,-0.034758346921021754,-0.0006227055020751049,-1.9666748904307072,0.4126146464074396,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9504346391733955,0.9985806196928024,0.9504346391733955,0.0013276673510999365,1.1185209540759815,1.207697009339052,0.525085961117464,0.9985806196928024,0.0015077297381746273,1.0289518435796101,0.5877260441581408,1.3790639738241832,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.8940312231288237,0.9304356724023819,0.8940312231288237,0.001266602289808147,1.0739898927071516,1.0973587281563704,0.5107450450167936,0.9304356724023819,0.0014278738817665726,0.8984576861063639,0.5693612520893415,1.3234881261984508,0.43092300493192903,0.7147507277348492,60.0,-0.4749427703155444,-1.4216388670353064,-0.4749427703155444,-1.4216388670353064,-0.020924708353006416,0.017735264441679832,-1.4216388670353064,-0.020924708353006416,0.017735264441679832,-1.4216388670353064,0.43092300493192903,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.807653875911937,0.8318111101786295,0.807653875911937,0.001174224033842192,1.0075645026038675,0.9239059581476099,0.4914911494535558,0.8318111101786295,0.0013088067741288494,0.7169943203528722,0.5456361720959345,1.232802818218867,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.6972782927400926,0.7231990148623785,0.6972782927400926,0.0010507555801750107,0.9023368604042951,0.7233477936071508,0.46615025576423197,0.7231990148623785,0.001164788748913755,0.5544269358118376,0.5166965276002884,1.0984735488891602,0.4809456941810172,0.7155237850670405,60.0,-0.03510675678579034,-0.20924931269508784,-0.03510675678579034,-0.20924931269508784,0.028211069363695218,0.07571797297402161,-0.20924931269508784,0.028211069363695218,0.07571797297402161,-0.20924931269508784,0.4809456941810172,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.5921899623730603,0.6327645232280096,0.5921899623730603,0.0009246092864914852,0.7563456822844112,0.58329076276106,0.43693342103677635,0.6327645232280096,0.0010257926818060998,0.4760521451632182,0.48272506644328433,0.9395163903633753,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.5107961559996885,0.5615799228350321,0.5107961559996885,0.000819270861992503,0.6147640417603886,0.513420152313569,0.40420427743126364,0.5615799228350321,0.0009114001732086763,0.41664261122544605,0.4464625095327695,0.8216346502304077,0.5173011532581875,0.7197682354752428,60.0,0.06877878115252307,-0.04763308575902636,0.06877878115252307,-0.04763308575902636,0.12535040737210468,0.12861902184449092,-0.04763308575902636,0.12535040737210468,0.12861902184449092,-0.04763308575902636,0.5173011532581875,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.45403478250784035,0.5042545472582182,0.45403478250784035,0.0007454981643925695,0.5372511271168204,0.4558534289107603,0.36899980902671814,0.5042545472582182,0.0008244695297131935,0.3537539566556613,0.406292458375295,0.7527172168095907,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.40960613769643445,0.4500764062007268,0.40960613769643445,0.0006803269052932806,0.49145427346229553,0.4008111462873571,0.3365529775619507,0.4500764062007268,0.0007448969505882511,0.2993476912379265,0.36798348774512607,0.6828980296850204,0.5247233097962656,0.727829520882477,60.0,0.07613939624137896,-0.040952369597215155,0.07613939624137896,-0.040952369597215155,0.12190449924073743,0.1474660590806146,-0.040952369597215155,0.12190449924073743,0.1474660590806146,-0.040952369597215155,0.5247233097962656,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
