epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.0009139171995248395,0.000854177018772485,0.0009139171995248395,1.4205761745495907e-06,0.0,0.00031349817222277174,0.002186497651348139,0.0002417557750036075,0.000854177018772485,1.304855478186558e-06,0.0,0.0001712577667848037,0.0004496771520481209,0.0019415961374845306,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.0008014804111263397,0.0007629169929875961,0.0008014804111263397,1.2911671761043288e-06,0.0,0.00025275370847235504,0.0019232183394339237,0.00022846918547274025,0.0007629169929875961,1.216044831645983e-06,0.0,0.00022725020642861923,0.0003798554077887897,0.0016816453647453798,0.9585873432002112,0.9879761089005017,60.0,0.7089416263708955,0.2573392027764192,0.7089416263708955,0.2573392027764192,0.9146928672883783,0.9547928090478893,0.2573392027764192,0.9146928672883783,0.9547928090478893,0.2573392027764192,0.9585873432002112,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.0007634171809174846,0.000736613484603152,0.0007634171809174846,1.2529863210254596e-06,0.0,0.0002451269992336261,0.001795822108117511,0.0002493024354013167,0.000736613484603152,1.1873730443312525e-06,0.0,0.0002055175549712299,0.00037947137439896565,0.0016248515244392605,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0007434041192207445,0.0007207658100980011,0.0007434041192207445,1.2358604789476565e-06,0.0,0.0002347835748137864,0.001778067865795548,0.000217360917052899,0.0007207658100980011,1.1663717600640666e-06,0.0,0.00017491427522288991,0.0003836300646788746,0.0016037530903922385,0.9747377781587584,0.9906383581459592,60.0,0.7525712503975917,0.3280112080556201,0.7525712503975917,0.3280112080556201,0.9485873967258391,0.9811151464113157,0.3280112080556201,0.9485873967258391,0.9811151464113157,0.3280112080556201,0.9747377781587584,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.0007317275156318056,0.000708499085977348,0.0007317275156318056,1.2120536158523891e-06,0.0,0.00022377258840619338,0.0017679015605139476,0.00020350839797527587,0.000708499085977348,1.150960817615972e-06,0.0,0.000164230585980288,0.00036564535175231364,0.0015956213201994422,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.0007225329413101285,0.0006952228792292603,0.0007225329413101285,1.2119029908235996e-06,0.0,0.00020904397938915502,0.0017603882006753473,0.0001981666438658829,0.0006952228792292603,1.1346843820092545e-06,0.0,0.00016193273412148145,0.0003371674899133986,0.0015865684136529006,0.9767175527937322,0.9903525172798435,60.0,0.7673971990861741,0.36293722889904123,0.7673971990861741,0.36293722889904123,0.9573632312119387,0.9818911371475425,0.36293722889904123,0.9573632312119387,0.9818911371475425,0.36293722889904123,0.9767175527937322,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.000713254135000389,0.0006833083167970444,0.000713254135000389,1.1959027554386172e-06,0.0,0.0001952418178042168,0.001752006061023438,0.00019251452617351206,0.0006833083167970444,1.1194138570166008e-06,0.0,0.00015731285096056747,0.00031751689229428105,0.0015750952071362846,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.0007033258120279578,0.0006743116739224743,0.0007033258120279578,1.1917781234040056e-06,0.0,0.00018354427673535,0.0017416238023189347,0.0001848093570295885,0.0006743116739224743,1.1074856871573502e-06,0.0,0.00015041785106893263,0.00030592259533694676,0.0015665945753615437,0.9736379897850855,0.9895517980758052,60.0,0.7657185730410068,0.37153694556082073,0.7657185730410068,0.37153694556082073,0.9491031884016748,0.976515585160525,0.37153694556082073,0.9491031884016748,0.976515585160525,0.37153694556082073,0.9736379897850855,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.0006947005082862454,0.000663922295517857,0.0006947005082862454,1.1713066181287371e-06,0.0,0.00017838957595080573,0.0017276193420534861,0.00017809260685444436,0.000663922295517857,1.0954282979961742e-06,0.0,0.00015220015373288513,0.0002879544829100292,0.0015516122499106564,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.0006852565161937873,0.0006574099913812734,0.0006852565161937873,1.1631197313523871e-06,0.0,0.00017249333933155715,0.0017115016409830256,0.00017177456826677947,0.0006574099913812734,1.0861925782516362e-06,0.0,0.00015201081659391117,0.00027951559655934347,0.0015407035609905657,0.974777242179346,0.9902248876810777,60.0,0.7811543387354162,0.41000566430613716,0.7811543387354162,0.41000566430613716,0.9585623502599361,0.9748950016401753,0.41000566430613716,0.9585623502599361,0.9748950016401753,0.41000566430613716,0.974777242179346,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
