epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,1.083362316384035,1.1905257006486256,1.083362316384035,0.001250097089830567,0.0,1.1905257006486256,0.0013643911030764382,0.0,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
2,1.0712955278508804,1.1706039508183796,1.0712955278508804,0.0012344969847403904,0.0,1.1706039508183796,0.0013402089825831354,0.0,0.9425004617526309,0.9872966355504736,60.0,0.3915458488933204,-0.65549240203352,0.3915458488933204,-0.65549240203352,0.8615919650029833,0.9685379837104979,-0.65549240203352,0.8615919650029833,0.9685379837104979,-0.65549240203352,0.9425004617526309,1,1,2,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
3,1.0409179715549244,1.127785712480545,1.0409179715549244,0.0011982846772298217,0.0,1.127785712480545,0.0012885242079695065,0.0,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
4,0.9803725270663991,1.0332906246185303,0.9803725270663991,0.001124694717445356,0.0,1.0332906246185303,0.0011755722516682,0.0,0.952990231186572,0.9875526036400102,60.0,0.554356791998829,-0.18287068975281762,0.554356791998829,-0.18287068975281762,0.8750448350556221,0.9708962306936826,-0.18287068975281762,0.8750448350556221,0.9708962306936826,-0.18287068975281762,0.952990231186572,1,1,4,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
5,0.8483199897934409,0.8532509058713913,0.8483199897934409,0.0009703399401212879,0.0,0.8532509058713913,0.0009653692007608091,0.0,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
6,0.651546860442442,0.6211908459663391,0.651546860442442,0.0007457511622787398,0.0,0.6211908459663391,0.0007102791617702072,0.0,0.9627050698783283,0.987906566944858,60.0,0.6960339070957996,0.2176223631249734,0.6960339070957996,0.2176223631249734,0.8994814363774729,0.9709979217849526,0.2176223631249734,0.8994814363774729,0.9709979217849526,0.2176223631249734,0.9627050698783283,1,1,6,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
7,0.44963853499468637,0.44727229326963425,0.44963853499468637,0.0005363037001670283,0.0,0.44727229326963425,0.0005377916071059493,0.0,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
8,0.33652277904398303,0.3477555339535077,0.33652277904398303,0.00042374054421944656,0.0,0.3477555339535077,0.00042952918010996655,0.0,0.9463341749007826,0.9831663419412405,60.0,0.6628407702912346,0.17309644646527855,0.6628407702912346,0.17309644646527855,0.8752433221482846,0.9401825422601408,0.17309644646527855,0.8752433221482846,0.9401825422601408,0.17309644646527855,0.9463341749007826,1,1,8,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
9,0.26548399995355043,0.2774399866660436,0.26548399995355043,0.00034594873432070017,0.0,0.2774399866660436,0.0003561585447945011,0.0,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
10,0.21685423921136296,0.23064415653546652,0.21685423921136296,0.0002942051848067957,0.0,0.23064415653546652,0.0003060157008197469,0.0,0.9410710778197926,0.9829863761035754,60.0,0.6680604451798781,0.19859823618963746,0.6680604451798781,0.19859823618963746,0.8809784552306479,0.924604644119349,0.19859823618963746,0.8809784552306479,0.924604644119349,0.19859823618963746,0.9410710778197926,1,1,10,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
11,0.19148952382452347,0.20334219932556152,0.19148952382452347,0.000266169205561335,0.0,0.20334219932556152,0.0002757579689690222,0.0,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
12,0.17838828265666962,0.18676085273424783,0.17838828265666962,0.00025132101248292365,0.0,0.18676085273424783,0.00025683203906131286,0.0,0.9449980144522471,0.9848375685024305,60.0,0.6815248219546586,0.2173228866415441,0.6815248219546586,0.2173228866415441,0.89934543689325,0.9279061423291816,0.2173228866415441,0.89934543689325,0.9279061423291816,0.2173228866415441,0.9449980144522471,1,1,12,shared4,8,normalized_delta,128,delta,fixed_history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,zero
