epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_source_lj_noisy_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_reid_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.9974947641877567,1.2003595133622487,0.9974947641877567,0.0007448641870937803,1.3168484323164995,1.1446165652836071,0.5310192353585187,1.2003595133622487,0.000898779466903458,1.173545350631078,1.8526728451251984,0.5748603170116743,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
2,0.9820919667973238,1.1788122256596882,0.9820919667973238,0.0007333475445835467,1.3002867628546322,1.120874681893517,0.5251145047300002,1.1788122256596882,0.0008822747331578285,1.1433195422093074,1.8260567982991536,0.5670603190859159,0.41069643496453845,0.7705432029620661,60.0,-0.7168548330888722,-2.0627852044280406,-0.7168548330888722,-2.0627852044280406,-0.10848893356456735,0.02070963872599152,-2.0627852044280406,-0.10848893356456735,0.02070963872599152,-2.0627852044280406,0.41069643496453845,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
3,0.9578639514306012,1.1395113269488018,0.9578639514306012,0.0007149106788668124,1.2804466906715841,1.0773195624351501,0.5158256152096916,1.1395113269488018,0.0008518209603304664,1.0826559364795685,1.7813329994678497,0.5545450672507286,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
4,0.9145380258560181,1.0718300094207127,0.9145380258560181,0.000681026783936164,1.2401952883776497,1.0015406152781319,0.5018781651468838,1.0718300094207127,0.0007988157934353998,0.9741858939329783,1.7067075769106548,0.5345965300997099,0.44312049798916475,0.768378129949956,60.0,-0.46001671038403513,-1.3700579991625346,-0.46001671038403513,-1.3700579991625346,-0.070101739182443,0.06010960719287206,-1.3700579991625346,-0.070101739182443,0.06010960719287206,-1.3700579991625346,0.44312049798916475,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
5,0.8418327815392438,0.9695377945899963,0.8418327815392438,0.0006248219767311478,1.1757124381906845,0.8681423979647019,0.48164351722773385,0.9695377945899963,0.0007182214758358896,0.8137518391013145,1.5901454091072083,0.5047161007920901,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
6,0.7465460545876447,0.846463014682134,0.7465460545876447,0.0005499069897375782,1.0791996472022112,0.7096627196844887,0.4507758196662454,0.846463014682134,0.0006208960160923501,0.6472659508387247,1.428467293580373,0.4636557300885518,0.5234293910674503,0.7604872839247774,60.0,0.047284616991679816,-0.06931348986662988,0.047284616991679816,-0.06931348986662988,0.04163445407198352,0.1695328867696858,-0.06931348986662988,0.04163445407198352,0.1695328867696858,-0.06931348986662988,0.5234293910674503,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
7,0.6516040002598482,0.7322759628295898,0.6516040002598482,0.0004756223454879706,0.9601221926072064,0.5838902364758884,0.410799585721072,0.7322759628295898,0.0005309803309501149,0.54514146844546,1.2388371527194977,0.4128492400050163,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
8,0.572286398971782,0.6331051041682562,0.572286398971782,0.00041508430149406195,0.8446610955631032,0.5062666289946612,0.365931477616815,0.6331051041682562,0.00045507938193622977,0.47206611682971317,1.0661534319321315,0.3610957885781924,0.5720668543943748,0.7565919364788204,60.0,0.09526005823702517,-0.17009222949296054,0.09526005823702517,-0.17009222949296054,0.21603953707445267,0.2398328671295834,-0.17009222949296054,0.21603953707445267,0.2398328671295834,-0.17009222949296054,0.5720668543943748,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
9,0.5002949167700375,0.5492542634407679,0.5002949167700375,0.0003624690511702176,0.747926280778997,0.4295802694909713,0.32337818250936623,0.5492542634407679,0.00039408095229494694,0.3941808802386125,0.9327414184808731,0.3208405325810115,,,,,,,,,,,,,,,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
10,0.4328281721648048,0.4730420062939326,0.4328281721648048,0.0003152873130816528,0.6596861025866341,0.34880498928182263,0.28999344390981335,0.4730420062939326,0.0003412715717180011,0.31038740153114003,0.8185859322547913,0.2901526739199956,0.5894436882046384,0.7708157138107387,60.0,0.13141390455035604,-0.1372615454798627,0.13141390455035604,-0.1372615454798627,0.2654895954347598,0.26601366369617097,-0.1372615454798627,0.2654895954347598,0.26601366369617097,-0.1372615454798627,0.5894436882046384,shared4,8,normalized_delta,128,delta,one_step,[1],final_horizon,1,zero
