dimension,variant,kind,source,rollout_steps,seeds,r2_mean,r2_std,mae_mean,valid_min,total_min
2,acceleration_transfer3,ae,depablo_low_temp,10,3,0.8118872155637428,0.10999786099742749,0.09771433965834303,20,20
2,acceleration_transfer3,ae,depablo_low_temp,25,3,0.9116651309691393,0.06296127521713119,0.0749319160931617,20,20
2,acceleration_transfer3,ae,depablo_low_temp,50,3,0.9546392622174241,0.02904617774851467,0.055146460499124306,20,20
2,acceleration_transfer3,ae,depablo_low_temp,75,3,0.97150837137151,0.016172771031037515,0.045589773605155565,20,20
2,acceleration_transfer3,ae,depablo_low_temp,100,3,0.9745210749250907,0.017985556404061742,0.0430869349034838,20,20
2,acceleration_transfer3,ae,depablo_mixed_temp,10,3,0.2508884871920294,0.12458470193456396,0.27631175859170604,20,20
2,acceleration_transfer3,ae,depablo_mixed_temp,25,3,0.40337575030701384,0.2033364296834362,0.2509503615529164,20,20
2,acceleration_transfer3,ae,depablo_mixed_temp,50,3,0.6319386051399195,0.09366515006609724,0.16143604590143437,20,20
2,acceleration_transfer3,ae,depablo_mixed_temp,75,3,0.8015893827014263,0.06845852907072913,0.12767540447597844,20,20
2,acceleration_transfer3,ae,depablo_mixed_temp,100,3,0.856187486374448,0.032177435349739755,0.09461763474777617,20,20
2,acceleration_transfer3,ae,lj_noisy,10,3,-1.1109165399720853,1.1804666257363627,0.05542791290693766,20,20
2,acceleration_transfer3,ae,lj_noisy,25,3,0.3145062058123776,0.1031694290661523,0.0446246007127384,20,20
2,acceleration_transfer3,ae,lj_noisy,50,3,0.4504167065674271,0.0829983855368844,0.043758907121355,20,20
2,acceleration_transfer3,ae,lj_noisy,75,3,0.5375129193539374,0.0779310075165362,0.0404813013380455,20,20
2,acceleration_transfer3,ae,lj_noisy,100,3,-0.022607098756399463,0.348934715491669,0.06450796896864576,20,20
2,acceleration_transfer3,ae,reid,10,3,0.05599268921291114,0.3671624812515158,0.13712884094648334,20,20
2,acceleration_transfer3,ae,reid,25,3,0.7532059315459438,0.08439922090160558,0.07360758933077534,20,20
2,acceleration_transfer3,ae,reid,50,3,0.940179522411538,0.022223298404038107,0.03486069972215094,20,20
2,acceleration_transfer3,ae,reid,75,3,0.9601053893511535,0.008915878186380571,0.0301309428140063,20,20
2,acceleration_transfer3,ae,reid,100,3,0.946794857859257,0.011510368010699537,0.03439378520413563,20,20
2,acceleration_transfer3,rollout,depablo_low_temp,10,3,0.8075894835038621,0.11375221142281973,0.09886412577386977,20,20
2,acceleration_transfer3,rollout,depablo_low_temp,25,3,0.9069715473300457,0.06552407941481435,0.07582340188973176,20,20
2,acceleration_transfer3,rollout,depablo_low_temp,50,3,0.9537014330939472,0.02273199784510011,0.0575881023702439,20,20
2,acceleration_transfer3,rollout,depablo_low_temp,75,3,0.9646505533328041,0.010251430230309956,0.05583773407429967,20,20
2,acceleration_transfer3,rollout,depablo_low_temp,100,3,0.9597788747544547,0.01996099010677077,0.05883008807067693,20,20
2,acceleration_transfer3,rollout,depablo_mixed_temp,10,3,-0.3071495731600387,0.18422355108212526,0.38961882169164114,20,20
2,acceleration_transfer3,rollout,depablo_mixed_temp,25,3,-0.8341622837475088,0.05281600937317038,0.4826004032308148,20,20
2,acceleration_transfer3,rollout,depablo_mixed_temp,50,3,-1.1089628925510604,0.7105734421732501,0.4219605502463675,20,20
2,acceleration_transfer3,rollout,depablo_mixed_temp,75,3,-0.6919078148223745,0.6431370795776983,0.4277126697439296,20,20
2,acceleration_transfer3,rollout,depablo_mixed_temp,100,3,-1.4855277603264803,1.025945764213274,0.44603735250502946,20,20
2,acceleration_transfer3,rollout,lj_noisy,10,3,-1.126253801174625,1.2296013530321228,0.05540894526517417,20,20
2,acceleration_transfer3,rollout,lj_noisy,25,3,0.15941987609159222,0.19451922582806688,0.04827697504233824,20,20
2,acceleration_transfer3,rollout,lj_noisy,50,3,0.17859928739359476,0.12850592823272716,0.050636061808830964,20,20
2,acceleration_transfer3,rollout,lj_noisy,75,3,0.21347423502645954,0.08598990509705062,0.05060801063775566,20,20
2,acceleration_transfer3,rollout,lj_noisy,100,3,0.4129617056446518,0.09575178599368153,0.045194816664253734,20,20
2,acceleration_transfer3,rollout,reid,10,3,0.04436963036264613,0.37030527520805934,0.13744747362828663,20,20
2,acceleration_transfer3,rollout,reid,25,3,0.7425193605432111,0.09034030733043247,0.0736252560054047,20,20
2,acceleration_transfer3,rollout,reid,50,3,0.9279957866733524,0.02261917961798619,0.03716328755591163,20,20
2,acceleration_transfer3,rollout,reid,75,3,0.9362883774940652,0.02579227141012735,0.038599110533658165,20,20
2,acceleration_transfer3,rollout,reid,100,3,0.9233912298513219,0.02403557302366067,0.0430102426960715,20,20
2,delta_transfer3,ae,depablo_low_temp,10,3,0.8118872155637428,0.10999786099742749,0.09771433965834303,20,20
2,delta_transfer3,ae,depablo_low_temp,25,3,0.9116651309691393,0.06296127521713119,0.0749319160931617,20,20
2,delta_transfer3,ae,depablo_low_temp,50,3,0.9546392622174241,0.02904617774851467,0.055146460499124306,20,20
2,delta_transfer3,ae,depablo_low_temp,75,3,0.97150837137151,0.016172771031037515,0.045589773605155565,20,20
2,delta_transfer3,ae,depablo_low_temp,100,3,0.9745210749250907,0.017985556404061742,0.0430869349034838,20,20
2,delta_transfer3,ae,depablo_mixed_temp,10,3,0.2508884871920294,0.12458470193456396,0.27631175859170604,20,20
2,delta_transfer3,ae,depablo_mixed_temp,25,3,0.40337575030701384,0.2033364296834362,0.2509503615529164,20,20
2,delta_transfer3,ae,depablo_mixed_temp,50,3,0.6319386051399195,0.09366515006609724,0.16143604590143437,20,20
2,delta_transfer3,ae,depablo_mixed_temp,75,3,0.8015893827014263,0.06845852907072913,0.12767540447597844,20,20
2,delta_transfer3,ae,depablo_mixed_temp,100,3,0.856187486374448,0.032177435349739755,0.09461763474777617,20,20
2,delta_transfer3,ae,lj_noisy,10,3,-1.1109165399720853,1.1804666257363627,0.05542791290693766,20,20
2,delta_transfer3,ae,lj_noisy,25,3,0.3145062058123776,0.1031694290661523,0.0446246007127384,20,20
2,delta_transfer3,ae,lj_noisy,50,3,0.4504167065674271,0.0829983855368844,0.043758907121355,20,20
2,delta_transfer3,ae,lj_noisy,75,3,0.5375129193539374,0.0779310075165362,0.0404813013380455,20,20
2,delta_transfer3,ae,lj_noisy,100,3,-0.022607098756399463,0.348934715491669,0.06450796896864576,20,20
2,delta_transfer3,ae,reid,10,3,0.05599268921291114,0.3671624812515158,0.13712884094648334,20,20
2,delta_transfer3,ae,reid,25,3,0.7532059315459438,0.08439922090160558,0.07360758933077534,20,20
2,delta_transfer3,ae,reid,50,3,0.940179522411538,0.022223298404038107,0.03486069972215094,20,20
2,delta_transfer3,ae,reid,75,3,0.9601053893511535,0.008915878186380571,0.0301309428140063,20,20
2,delta_transfer3,ae,reid,100,3,0.946794857859257,0.011510368010699537,0.03439378520413563,20,20
2,delta_transfer3,rollout,depablo_low_temp,10,3,0.6446510110407141,0.19590896163945382,0.14723618010753772,20,20
2,delta_transfer3,rollout,depablo_low_temp,25,3,0.42877659419786324,0.17390563234645026,0.22456865920641259,20,20
2,delta_transfer3,rollout,depablo_low_temp,50,3,0.2889591786191963,0.1290951200652415,0.26739914912200674,20,20
2,delta_transfer3,rollout,depablo_low_temp,75,3,0.22570876754697244,0.12799474473179975,0.28648841747050796,20,20
2,delta_transfer3,rollout,depablo_low_temp,100,3,0.19490196551133276,0.15357105951342126,0.29523614496585465,20,20
2,delta_transfer3,rollout,depablo_mixed_temp,10,3,0.0369036934700151,0.1536143946363334,0.29836109707201547,20,20
2,delta_transfer3,rollout,depablo_mixed_temp,25,3,0.0787088385302356,0.12143034857314658,0.33384822080050136,20,20
2,delta_transfer3,rollout,depablo_mixed_temp,50,3,0.014704427761549801,0.07521790357316627,0.3082006392961804,20,20
