source,rollout_steps,used,total,p_ratio_r2,p_ratio_mae,target_variance,dimension,seed,variant,kind
reid,10,20,20,-0.3810598333272417,0.1743127172719474,0.0283466184553629,2,123,acceleration_transfer3,rollout
reid,25,20,20,0.6452227914082493,0.0927838649952122,0.0340742914742546,2,123,acceleration_transfer3,rollout
reid,50,20,20,0.9051064785809412,0.0444225335136648,0.03674579830514,2,123,acceleration_transfer3,rollout
reid,75,20,20,0.9344510860234624,0.0374125153955288,0.0381454871288846,2,123,acceleration_transfer3,rollout
reid,100,20,20,0.919710934005634,0.0388475352462718,0.0392619338029476,2,123,acceleration_transfer3,rollout
depablo_low_temp,10,20,20,0.6900758273091611,0.1203178929758526,0.0890919672458267,2,123,acceleration_transfer3,rollout
depablo_low_temp,25,20,20,0.8313120296541869,0.0937182517407682,0.1113451632350467,2,123,acceleration_transfer3,rollout
depablo_low_temp,50,20,20,0.927775249877686,0.0641114739060544,0.121923909291221,2,123,acceleration_transfer3,rollout
depablo_low_temp,75,20,20,0.961597500443746,0.0570822195721456,0.1271388104990921,2,123,acceleration_transfer3,rollout
depablo_low_temp,100,20,20,0.9500133777409184,0.0623869859135744,0.1309363081666797,2,123,acceleration_transfer3,rollout
depablo_mixed_temp,10,20,20,-0.4921155492179812,0.4529969061826128,0.1792210970466572,2,123,acceleration_transfer3,rollout
depablo_mixed_temp,25,20,20,-0.8947698950160425,0.462537609905106,0.1814265265332104,2,123,acceleration_transfer3,rollout
depablo_mixed_temp,50,20,20,-0.7825522226655492,0.3689794145059614,0.1290510646927359,2,123,acceleration_transfer3,rollout
depablo_mixed_temp,75,20,20,-0.5539883438466797,0.3863336820705345,0.1721180025747532,2,123,acceleration_transfer3,rollout
depablo_mixed_temp,100,20,20,-1.6258558851888467,0.431903305254701,0.1264354805514444,2,123,acceleration_transfer3,rollout
lj_noisy,10,20,20,-0.364720230905704,0.0416471645268938,0.0021538442446725,2,123,acceleration_transfer3,rollout
