dimension,seed,variant,completed
2,123,acceleration_transfer3,True
2,123,velocity_transfer3,True
2,123,delta_transfer3,True
2,456,acceleration_transfer3,True
2,456,velocity_transfer3,True
2,456,delta_transfer3,True
2,786,acceleration_transfer3,True
2,786,velocity_transfer3,True
2,786,delta_transfer3,True
6,123,acceleration_transfer3,True
6,123,velocity_transfer3,True
6,123,delta_transfer3,True
6,456,acceleration_transfer3,True
6,456,velocity_transfer3,True
6,456,delta_transfer3,True
6,786,acceleration_transfer3,True
6,786,velocity_transfer3,True
6,786,delta_transfer3,True
8,123,acceleration_transfer3,True
8,123,velocity_transfer3,True
8,123,delta_transfer3,True
8,456,acceleration_transfer3,True
8,456,velocity_transfer3,True
8,456,delta_transfer3,True
8,786,acceleration_transfer3,True
8,786,velocity_transfer3,True
8,786,delta_transfer3,True
