epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,2.3628783811934584,1.7653382004799816,2.3628783811934584,0.2458451191584269,0.0,1.5045326599656137e-06,9.451507823719625,3.0607814624107905e-06,1.1357400846537499e-06,1.7653382004799816,0.18667711104665483,0.0,1.5607153053245134e-06,2.4889475065282726e-06,7.06134613358663,2.6186704843021084e-06,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,2.35886456669041,1.7592235391296258,2.35886456669041,0.24529020346346356,0.0,6.259312458056103e-06,9.435444304429103,5.021314743956826e-06,2.6817053341860078e-06,1.7592235391296258,0.1860106044581958,0.0,7.694530781518241e-06,2.509171697872923e-05,7.036853563333418,7.80693732532453e-06,-1.242229372272572,-0.08448127931949792,80.0,-3.2760236825290283,-5.721744325590886,-3.2760236825290283,-5.721744325590886,-2.6635816670110106,-2.1837111064316157,-2.5350576310826014,-5.721744325590886,-2.6635816670110106,-2.1837111064316157,-2.5350576310826014,-5.721744325590886,-1.242229372272572,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,2.3470637156062772,1.7411310342355952,2.3470637156062772,0.24601224526053384,0.0,7.946391323778252e-05,9.388130377711004,2.2916426772427933e-05,2.2104374095210596e-05,1.7411310342355952,0.1840363751564707,0.0,6.188523382248754e-05,0.0002905514764575608,6.964125075286607,4.662494549398327e-05,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,2.3139667461950246,1.6939935222744182,2.3139667461950246,0.2402245934520449,0.0,0.0007603014427351986,9.254844065895513,0.000104380264529406,0.00015823717732101422,1.6939935222744182,0.17889513980065072,0.0,0.00039216560572181503,0.002581075027277648,6.772852948579781,0.0001478998848922815,-1.187134444188326,-0.2963079936580065,80.0,-2.6435050314311415,-4.563440504022164,-2.6435050314311415,-4.563440504022164,-0.8722543126474052,-1.6944898378357398,-3.4438354712192556,-4.563440504022164,-0.8722543126474052,-1.6944898378357398,-3.4438354712192556,-4.563440504022164,-1.187134444188326,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,2.234721572893882,1.5960234880943458,2.234721572893882,0.2296318191857565,0.0,0.004874035620899724,8.932929923025707,0.00023529960440025333,0.0008470333245229342,1.5960234880943458,0.1681949496269226,0.0,0.0017350006908768605,0.015367098701119453,6.366777805597402,0.00021404738798470904,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,2.09868207973186,1.4555056004590856,2.09868207973186,0.2165513982375463,0.0,0.021131518129453387,8.3691225666681,0.00036378052633908757,0.004110453603548089,1.4555056004590856,0.15274240981255258,0.0,0.006983592277299748,0.05208429758727158,5.76273644091826,0.0002180710535111142,-0.550447778947212,0.08308666588469758,80.0,-0.9680027835735765,-2.281522423346021,-0.9680027835735765,-2.281522423346021,-0.2707806243094064,-0.9027161355789959,-2.281522423346021,-0.41699195105988274,-0.2707806243094064,-0.9027161355789959,-2.281522423346021,-0.41699195105988274,-0.550447778947212,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,1.9391401830529302,1.3487352974447273,1.9391401830529302,0.2019927945165407,0.0,0.04165990266964241,7.700967323961385,0.0002831964974182649,0.01365030908327579,1.3487352974447273,0.1407917147236211,0.0,0.014189004373799914,0.07614009419918503,5.30435061216277,0.0002614790431543022,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,1.829408771853629,1.2810758155708781,1.829408771853629,0.18679052697760717,0.0,0.0592082163062981,7.24693297164942,0.0003662622964630676,0.011127637162334262,1.2810758155708781,0.1331380850502423,0.0,0.005200829523159714,0.07840877643286241,5.0400904034544345,0.000603252873055802,-1.355526663894814,0.2391358621791409,80.0,-4.308171437485979,-10.126956334109801,-4.308171437485979,-10.126956334109801,-1.9587583492775598,-2.819178044617519,-2.327793021939036,-10.126956334109801,-1.9587583492775598,-2.819178044617519,-2.327793021939036,-10.126956334109801,-1.355526663894814,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,1.7586729016971794,1.2314306808530568,1.7586729016971794,0.17907304494153886,0.0,0.05333113822164715,6.97683590605108,0.0005018010465378934,0.004022761469452026,1.2314306808530568,0.12756057562572615,0.0,0.004285089122664135,0.05991314808276539,4.86089917943715,0.0006253067696471119,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,1.7048762740601167,1.1899342734293215,1.7048762740601167,0.17200410720847903,0.0,0.03649105639540301,6.778810573296505,0.0005398310886194095,0.0036636354599394955,1.1899342734293215,0.1229168911065374,0.0,0.002608547089229047,0.04502029517407829,4.711557874158891,0.0005503772950868679,0.013516416423511757,0.5663758779210148,80.0,-3.6881270799699797,-14.289384787276273,-3.6881270799699797,-14.289384787276273,0.25310799003185114,-0.1307718846853072,-0.5854596379501906,-14.289384787276273,0.25310799003185114,-0.1307718846853072,-0.5854596379501906,-14.289384787276273,0.013516416423511757,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
