epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_low_temp_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_source_reid_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,2.3629620537613722,1.7653427132783428,2.3629620537613722,0.24417710588091895,0.0,8.572205453027948e-07,9.451843190626052,3.3181636989849728e-06,8.490351916203976e-07,1.7653427132783428,0.18804623293025152,0.0,1.6946864006146938e-06,7.061363751998215,1.411592744657045e-06,3.994836010761722e-06,,,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,2.359041867419878,1.7590924782865782,2.359041867419878,0.2445321792647952,0.0,3.3451431172076997e-06,9.436152380135493,9.313098953899976e-06,2.4313019495162773e-06,1.7590924782865782,0.1873601440872465,0.0,1.2568326456415105e-05,7.036333673347524,5.140756830579462e-06,1.8530715501788562e-05,-1.0088716056520943,-0.1425269407693572,80.0,-14.212669623153168,-53.76005431857995,-14.212669623153168,-53.76005431857995,-0.5143717143477398,-0.31716093886094976,-2.2590915208240365,-53.76005431857995,-0.5143717143477398,-0.31716093886094976,-2.2590915208240365,-53.76005431857995,-1.0088716056520943,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,2.346727068885811,1.7402941771203138,2.346727068885811,0.24208061468033565,0.0,2.861795516864163e-05,9.386813606570781,5.326999342954357e-05,1.2781023863829861e-05,1.7402941771203138,0.18529664246099337,0.0,0.00011561242801408608,6.9609217775222945,2.856657167113626e-05,0.00011075195927529338,,,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,2.311386491907829,1.6876621971353925,2.311386491907829,0.23857862253983816,0.0,0.00023802494251134066,9.244942036595933,0.00028874488588213134,7.716120698835071e-05,1.6876621971353925,0.17952049736465728,0.0,0.0009204602294816637,6.749065940395667,0.00016456723294488995,0.0004978206834762618,-0.625802229676635,-0.06561837146555326,80.0,-9.654010606675424,-36.56927568516189,-9.654010606675424,-36.56927568516189,0.007277977136145308,-0.2152846351294193,-1.8387600835465299,-36.56927568516189,0.007277977136145308,-0.2152846351294193,-1.8387600835465299,-36.56927568516189,-0.625802229676635,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,2.2214719887312433,1.5694040330276127,2.2214719887312433,0.22949246494542985,0.0,0.001702201176074511,8.882803587205203,0.0009782437729551352,0.0004039227707403994,1.5694040330276127,0.1665005891450814,0.0,0.006264030742694228,6.269271478991074,0.0008025496594967763,0.0012780727171854199,,,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,2.045728809663007,1.4023674201012848,2.045728809663007,0.21193198150112516,0.0,0.009779116001487434,8.169993367924194,0.0015630054926792137,0.0015797492336667362,1.4023674201012848,0.14780544436403684,0.0,0.030080674475091097,5.575926343455607,0.002647317258827025,0.0008153452156142181,0.18364994926149425,0.5108514080261121,80.0,-1.042642348735274,-3.73126544753411,-1.042642348735274,-3.73126544753411,0.029999369776894103,0.011670327137447534,-0.4809736443213284,-3.73126544753411,0.029999369776894103,0.011670327137447534,-0.4809736443213284,-3.73126544753411,0.18364994926149425,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,1.8751843696124726,1.3177484906736177,1.8751843696124726,0.19161370112782433,0.0,0.031699499566248464,7.4649667554280095,0.0005739866450439314,0.003497236810588161,1.3177484906736177,0.13772610468523844,0.0,0.056310220806273556,5.2099329671923025,0.004189879273743328,0.0005608954221520403,,,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,1.7963389097783442,1.2689380522547724,1.7963389097783442,0.18599091009015128,0.0,0.03418587142546406,7.1469850022861054,0.0004539021519203332,0.0037308632498866848,1.2689380522547724,0.132219988320555,0.0,0.040614158580564205,5.031716590264494,0.003132861588765191,0.00028859858526582825,0.14860432059920226,0.4878116356852194,80.0,-0.6868862228753553,-1.725896182973246,-0.6868862228753553,-1.725896182973246,-0.4987487597590443,0.14055987724879349,-0.6634598260179243,-1.725896182973246,-0.4987487597590443,0.14055987724879349,-0.6634598260179243,-1.725896182973246,0.14860432059920226,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,1.7431024660549386,1.2218744179334946,1.7431024660549386,0.1770259691845803,0.0,0.02295385222043072,6.946576635290716,0.00045659737848358485,0.002422779330124077,1.2218744179334946,0.12702767604163714,0.0,0.032489190385213494,4.852030101040575,0.0025729788709053414,0.0004054014372852163,,,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,1.694317187796977,1.1797825790217649,1.694317187796977,0.17263324487776982,0.0,0.018652920905630956,6.75624864006753,0.00035980837894255494,0.002007381835804095,1.1797825790217649,0.12239287155015129,0.0,0.031019031718981502,4.685569937351333,0.0022875232289839625,0.0002538237877617694,-0.02585114620419815,0.5992659012407457,80.0,-8.44648356392735,-33.78478034613068,-8.44648356392735,-33.78478034613068,-0.038714504235405345,0.17031044170654874,-0.13274984704986292,-33.78478034613068,-0.038714504235405345,0.17031044170654874,-0.13274984704986292,-33.78478034613068,-0.02585114620419815,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,1.6482982196532039,1.142404099040127,1.6482982196532039,0.16677682811305636,0.0,0.018166848319015116,6.57256853286309,0.0003690888408070226,0.0020884085899034446,1.142404099040127,0.11824822745152883,0.0,0.023525062297535856,4.54352934425538,0.002257513517883002,0.0003044760897085103,,,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,1.608179536220763,1.107704075126201,1.608179536220763,0.1618338915563765,0.0,0.015059730391920201,6.415455898217051,0.0004072932275975679,0.001795223046482616,1.107704075126201,0.11438380447881562,0.0,0.020338666390191728,4.4082447609285405,0.0019964497415716404,0.00023642344450051795,-0.056422659606933045,0.6406363962209766,80.0,-8.576760432224617,-33.4334602858043,-8.576760432224617,-33.4334602858043,-1.1167254627914822,0.22379055243203627,0.019353467265279978,-33.4334602858043,-1.1167254627914822,0.22379055243203627,0.019353467265279978,-33.4334602858043,-0.056422659606933045,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,1.5732885729242847,1.0793212496530664,1.5732885729242847,0.15847799997954143,0.0,0.011740439177521529,6.279496420287262,0.0003705629962613053,0.0015468692360941256,1.0793212496530664,0.11127098436866488,0.0,0.01650046937225356,4.298632935002586,0.0018226335653397738,0.00032896067208670584,,,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
