epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_depablo_mixed_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_source_reid_loss_norm,val_source_depablo_mixed_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_depablo_mixed_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_depablo_mixed_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.4857346547548349,0.48489603204731113,0.4857346547548349,3.7840527239299955,0.0,0.002697279232302897,1.9314039212849103,0.0060747868829435685,0.0027626316191827122,0.48489603204731113,2.8566274557794844,0.0,0.0027141057277648623,0.00483461251941745,0.0029775778120851594,1.929057832129977,,,,,,,,,,,,,,,,,1,8,1,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.48502888312500253,0.4846015216472841,0.48502888312500253,3.773847568602789,0.0,0.0023443321115612916,1.929948175077637,0.005672121114979966,0.0021509041958317925,0.4846015216472841,2.846985791410719,0.0,0.0033291928296793312,0.004911180289206062,0.0032865785944440258,1.926879134875807,0.2385860485587611,0.632664484364414,80.0,0.09015259656489699,-1.7244578331082274,0.09015259656489699,-1.7244578331082274,0.9254648283812268,0.9805499631466561,-1.7244578331082274,0.1790534278399325,0.9254648283812268,0.9805499631466561,-1.7244578331082274,0.1790534278399325,0.2385860485587611,1,8,2,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.4846058854054264,0.4837763294804668,0.4846058854054264,3.7590601784842357,0.0,0.0032208089757825124,1.927061575876944,0.005889865633010535,0.0022512911359681862,0.4837763294804668,2.826625781399863,0.0,0.004324978700826291,0.005093005855830638,0.003413936715388776,1.9222733966498213,,,,,,,,,,,,,,,,,1,8,3,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.48352473762090814,0.4824261683191475,0.48352473762090814,3.6949761027381536,0.0,0.004458558860883524,1.9206190031473385,0.006275266044127475,0.002746122431283242,0.4824261683191475,2.7807882002421787,0.0,0.008302312618469511,0.005720570173298256,0.003868549224526677,1.9118132412602955,0.21786655893743,0.6476353722824613,80.0,0.02222677506709908,-1.758977193034779,0.02222677506709908,-1.758977193034779,0.8992163765097916,0.9556661859473197,-1.758977193034779,-0.0069982691539358655,0.8992163765097916,0.9556661859473197,-1.758977193034779,-0.0069982691539358655,0.21786655893743,1,8,4,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.4820403602595415,0.48104508355680037,0.4820403602595415,3.6426612309047153,0.0,0.008791432167167428,1.9070540629440185,0.007946950187899595,0.004368995739080426,0.48104508355680037,2.696077346801758,0.0,0.015846224275550082,0.007290506547296486,0.006240488136032499,1.8948031152683225,,,,,,,,,,,,,,,,,1,8,5,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.479608183837251,0.4801873428263362,0.479608183837251,3.534951062429519,0.0,0.016495038142588646,1.8849532603088655,0.010175432613794494,0.00680900428375563,0.4801873428263362,2.5691351890563965,0.0,0.026845048725983197,0.012571794257862414,0.01091802235481406,1.870414505966685,0.3919362469004464,0.7165002474402122,80.0,0.0740517857234263,-1.0521095654574704,0.0740517857234263,-1.0521095654574704,0.7982638889551633,0.9373984304654711,-1.0521095654574704,-0.38734561106945886,0.7982638889551633,0.9373984304654711,-1.0521095654574704,-0.38734561106945886,0.3919362469004464,1,8,6,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.4767450215954644,0.47430498644339425,0.4767450215954644,3.3630426270621165,0.0,0.027421489850808993,1.8541067705913024,0.014154378639466702,0.011297447300279545,0.47430498644339425,2.424446020807539,0.0,0.03941546388440326,0.012136537769790514,0.014904065920195948,1.8307638781991873,,,,,,,,,,,,,,,,,1,8,7,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.4734309920985672,0.4730293145191354,0.4734309920985672,3.208633604503813,0.0,0.0366646144808218,1.8228691554204983,0.01940259108004642,0.014787607412902368,0.4730293145191354,2.2561479466302052,0.0,0.05524839377678125,0.01690736229101772,0.025055635918872873,1.7949058660898696,0.46082973918027803,0.7431869588684159,80.0,0.10853174055498638,-0.778432600735913,0.10853174055498638,-0.778432600735913,0.7352762910123374,0.9399012057645236,-0.778432600735913,-0.4626179338210026,0.7352762910123374,0.9399012057645236,-0.778432600735913,-0.4626179338210026,0.46082973918027803,1,8,8,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.4672078873989819,0.46825079070717635,0.4672078873989819,2.9978139173416865,0.0,0.04650025556888012,1.7821876508042669,0.02185539412808022,0.018288249094700514,0.46825079070717635,2.036004262311118,0.0,0.06471418944147445,0.02269705966638288,0.03291962461216,1.752672289108688,,,,,,,,,,,,,,,,,1,8,9,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.46039530342722257,0.46915536246381073,0.46039530342722257,2.727651630129133,0.0,0.05708975199496777,1.731976221366362,0.028574487862007312,0.023940752485553028,0.46915536246381073,1.7830568977764674,0.0,0.08660047710320048,0.03575663970548455,0.0495332202094439,1.704731112837114,0.4818739034092552,0.7447527952670681,80.0,0.08212615230389014,-0.6688936246729447,0.08212615230389014,-0.6688936246729447,0.6744336756617746,0.9331421446704294,-0.6688936246729447,-0.6101775864436989,0.6744336756617746,0.9331421446704294,-0.6688936246729447,-0.6101775864436989,0.4818739034092552,1,8,10,shared4,8,normalized_delta,128,delta,history_one_step,"[1, 2, 3, 4, 5, 6, 7, 8]",all_steps_plus_optional_decoded_endpoint,1,three_frames
