epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_depablo_low_temp_loss_norm,val_source_lj_noisy_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.0004134792723768977,0.0003291319655332789,0.0004134792723768977,1.3292137346354593e-07,0.0,0.00019735083686369266,0.000861853888146284,0.00018123309212071627,0.0003291319655332789,1.0182871402652051e-07,0.0,0.0001673018259628572,0.00019031245614009796,0.0006297816144968816,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.00037338956485795887,0.00030885413974812774,0.00037338956485795887,1.2356561418513934e-07,0.0,0.00015663401944428215,0.0008262607627769243,0.00013727391235267023,0.00030885413974812774,9.703985881515109e-08,0.0,0.00014382783692503474,0.00016519618452296537,0.000617538397796383,0.9779632006532095,0.9899787299004863,60.0,0.7338413138588361,0.26642226940637104,0.7338413138588361,0.26642226940637104,0.9415065751379739,0.9935950970321633,0.26642226940637104,0.9415065751379739,0.9935950970321633,0.26642226940637104,0.9779632006532095,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.0003611140114074518,0.0003056912073655364,0.0003611140114074518,1.1878937478115859e-07,0.0,0.0001385977773395983,0.0008231939481481861,0.0001215503087345708,0.0003056912073655364,9.626087724903053e-08,0.0,0.00013962398553072253,0.0001581955543571212,0.0006192540822087655,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.0003592660099899178,0.00030380739008194587,0.0003592660099899178,1.202398252075909e-07,0.0,0.00013568342938495275,0.0008224237318766351,0.00011969086870816558,0.00030380739008194587,9.568919910985972e-08,0.0,0.00013839548750783334,0.00015693737827304362,0.0006160893044649607,0.9806593617584216,0.9904572974527318,60.0,0.7563125590536498,0.32421034673883575,0.7563125590536498,0.32421034673883575,0.9492190037838751,0.9955083266382385,0.32421034673883575,0.9492190037838751,0.9955083266382385,0.32421034673883575,0.9806593617584216,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.0003574708017395623,0.0003027021107761019,0.0003574708017395623,1.2120050962849405e-07,0.0,0.000134355625902499,0.0008193839009569984,0.00011867287835918956,0.0003027021107761019,9.546892246445085e-08,0.0,0.00013784906656911486,0.0001557726713138989,0.0006144845944452919,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.00035618238205224273,0.00030141586387769683,0.00035618238205224273,1.1805501110018213e-07,0.0,0.00013270671687087002,0.0008179155631664859,0.00011792486611937241,0.00030141586387769683,9.513401008379416e-08,0.0,0.00013655350777461514,0.00015441260556140176,0.0006132814782970735,0.9805845843650357,0.990582584104826,60.0,0.756187250350028,0.323762194876824,0.756187250350028,0.323762194876824,0.9495564374017545,0.9952431187715054,0.323762194876824,0.9495564374017545,0.9952431187715054,0.323762194876824,0.9805845843650357,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.0003548559836298528,0.0003005857423647804,0.0003548559836298528,1.17290536394421e-07,0.0,0.000130970684678784,0.000816553943020817,0.00011704332318995746,0.0003005857423647804,9.490410687621162e-08,0.0,0.00013525743016034849,0.0001536865074044481,0.0006128132895295447,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.00035408193076391604,0.000299896609841893,0.00035408193076391604,1.188475078350848e-07,0.0,0.00013027720535702147,0.0008159564936214281,0.00011601209331329852,0.000299896609841893,9.473058265091988e-08,0.0,0.00013366706728364425,0.0001533376902903298,0.0006126850719517049,0.9800303073515382,0.9907573347168317,60.0,0.7491031342900673,0.30165265122429596,0.7491031342900673,0.30165265122429596,0.9514290377711924,0.9942277138747134,0.30165265122429596,0.9514290377711924,0.9942277138747134,0.30165265122429596,0.9800303073515382,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.0003534089256495649,0.0002998685556085364,0.0003534089256495649,1.1786281195469428e-07,0.0,0.00012969982709742383,0.000815112623657676,0.00011541432619359491,0.0002998685556085364,9.475024853600189e-08,0.0,0.00013435588188043953,0.00015275751273904347,0.0006124922722061262,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.0003531856528676894,0.00029926451741559495,0.0003531856528676894,1.1642640718179109e-07,0.0,0.00012916314831403023,0.0008151410349755911,0.00011525277531344681,0.00029926451741559495,9.456803954063533e-08,0.0,0.00013313425517236444,0.00015247507646157484,0.0006121842206128456,0.9801479346275063,0.9908582137546506,60.0,0.7588480915903077,0.3310857667490469,0.7588480915903077,0.3310857667490469,0.9524413982035174,0.9930171098183589,0.3310857667490469,0.9524413982035174,0.9930171098183589,0.3310857667490469,0.9801479346275063,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,0.0003527489635748435,0.0002992744749300632,0.0003527489635748435,1.1675043998238266e-07,0.0,0.00012872158610228453,0.0008145746197113455,0.00011495068491090058,0.0002992744749300632,9.458694320714627e-08,0.0,0.00013325582711513174,0.0001523316226854764,0.0006122359749895814,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,0.00035255925410358676,0.0002988849170759888,0.00035255925410358676,1.1699582147528531e-07,0.0,0.00012847029248571313,0.0008143890513785512,0.00011481841844649601,0.0002988849170759888,9.445614973008726e-08,0.0,0.00013267078291847993,0.00015190347926681886,0.0006120804890426677,0.9804788861651894,0.9909950904260264,60.0,0.7678743555052266,0.3562357992225509,0.7678743555052266,0.3562357992225509,0.9555012230584741,0.9918860442346549,0.3562357992225509,0.9555012230584741,0.9918860442346549,0.3562357992225509,0.9804788861651894,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,0.0003522218377302679,0.00029878136464620903,0.0003522218377302679,1.1683971656850645e-07,0.0,0.0001282392224556455,0.0008139958471309382,0.00011443044360422006,0.00029878136464620903,9.443701481421324e-08,0.0,0.00013254873964757248,0.00015190076155056884,0.0006118945927404857,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
