epoch,train_loss,val_loss,train_dz_mse_norm,train_loss_raw,train_position_loss,train_source_depablo_low_temp_loss_norm,train_source_lj_noisy_loss_norm,train_source_reid_loss_norm,val_dz_mse_norm,val_dz_mse_raw,val_position_loss,val_source_reid_loss_norm,val_source_lj_noisy_loss_norm,val_source_depablo_low_temp_loss_norm,val_rollout_p_ratio_r2,val_rollout_p_ratio_pearson,val_rollout_used,val_rollout_macro_source_p_ratio_r2,val_rollout_min_source_p_ratio_r2,val_rollout_macro_source_endpoint_p_ratio_r2,val_rollout_min_source_endpoint_p_ratio_r2,val_rollout_source_reid_p_ratio_r2,val_rollout_source_depablo_low_temp_p_ratio_r2,val_rollout_source_lj_noisy_p_ratio_r2,val_rollout_source_reid_endpoint_p_ratio_r2,val_rollout_source_depablo_low_temp_endpoint_p_ratio_r2,val_rollout_source_lj_noisy_endpoint_p_ratio_r2,val_rollout_p_ratio_r2_step_100,stage,unroll_steps,stage_epoch,dataset,latent_dim,target_mode,hidden_size,propagator_loss,propagator_objective,propagator_multistep_horizons,propagator_multistep_loss,propagator_step_stride,initial_velocity
1,0.00042023525064359657,0.0003362691854019576,0.00042023525064359657,1.3688346633955462e-07,0.0,0.00020345311310682683,0.0008680955375769951,0.00018915710124696778,0.0003362691854019576,1.0428537419474279e-07,0.0,0.00017598344499121637,0.000636099899822346,0.00019672421139231038,,,,,,,,,,,,,,,1,1,1,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
2,0.00037882605039603643,0.00031117010638013196,0.00037882605039603643,1.2284220174407778e-07,0.0,0.00016281174811493573,0.0008295172226520677,0.0001441491804211058,0.00031117010638013196,9.82752936806719e-08,0.0,0.00014659282342173376,0.0006180990674122003,0.00016881842830646188,0.9772075634456838,0.9901427049810471,60.0,0.7255362446632699,0.2379202559202661,0.7255362446632699,0.2379202559202661,0.9476082957418586,0.9910801823276848,0.2379202559202661,0.9476082957418586,0.9910801823276848,0.2379202559202661,0.9772075634456838,1,1,2,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
3,0.00036193285410158414,0.0003053341156258058,0.00036193285410158414,1.2012869410327198e-07,0.0,0.00014026068321054585,0.0008222121971578109,0.00012332568193639562,0.0003053341156258058,9.67547696911259e-08,0.0,0.00013959148663002065,0.0006192727257765863,0.00015713813447081035,,,,,,,,,,,,,,,1,1,3,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
4,0.00035908882990694165,0.00030340608934617156,0.00035908882990694165,1.1912612407627421e-07,0.0,0.0001354294009850967,0.0008223933952101336,0.00011944369352559476,0.00030340608934617156,9.620632565346651e-08,0.0,0.0001377708773188082,0.00061647383685439,0.0001559735538653164,0.9808928248024245,0.9905876901325383,60.0,0.7543285372215763,0.3152030367209786,0.7543285372215763,0.3152030367209786,0.9522485253892713,0.995534049554479,0.3152030367209786,0.9522485253892713,0.995534049554479,0.3152030367209786,0.9808928248024245,1,1,4,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
5,0.00035746254271036305,0.00030235765254995743,0.00035746254271036305,1.2084719136495892e-07,0.0,0.00013443922227300909,0.0008190202107777948,0.00011892819508028522,0.00030235765254995743,9.598387991486974e-08,0.0,0.00013719642454484477,0.0006148603956401902,0.00015501613746483724,,,,,,,,,,,,,,,1,1,5,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
6,0.0003562478608966553,0.00030147404545620134,0.0003562478608966553,1.1928936505256615e-07,0.0,0.00013318043940839863,0.0008174038651374059,0.00011815927814416141,0.00030147404545620134,9.584788655688085e-08,0.0,0.0001363353694718486,0.0006141919772983587,0.00015389478959839664,0.9796973045948385,0.9906763549734022,60.0,0.7322725170094291,0.2531579364554314,0.7322725170094291,0.2531579364554314,0.9469264879627635,0.9967331266100924,0.2531579364554314,0.9469264879627635,0.9967331266100924,0.2531579364554314,0.9796973045948385,1,1,6,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
7,0.00035516410453658755,0.0003005176780048894,0.00035516410453658755,1.1937765354019803e-07,0.0,0.00013169507894857294,0.0008166857670872003,0.00011711146757398933,0.0003005176780048894,9.558582935266134e-08,0.0,0.00013557328633789274,0.0006133554809496773,0.00015262426672709817,,,,,,,,,,,,,,,1,1,7,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
8,0.00035411028470264154,0.0003000494167752381,0.00035411028470264154,1.1832978019654661e-07,0.0,0.0001304653409171946,0.0008157753825920194,0.00011609013059871065,0.0003000494167752381,9.548438322843306e-08,0.0,0.00013512138541019232,0.0006127051407358828,0.00015232172417963918,0.9798780174019694,0.9908225386057881,60.0,0.7429456507452809,0.28634211009428134,0.7429456507452809,0.28634211009428134,0.9465561074196881,0.9959387347218732,0.28634211009428134,0.9465561074196881,0.9959387347218732,0.28634211009428134,0.9798780174019694,1,1,8,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
9,0.000353451731517123,0.0002996789617244679,0.000353451731517123,1.1664521082366264e-07,0.0,0.00012961139004985322,0.0008152788228470148,0.00011546498165450092,0.0002996789617244679,9.540502529406777e-08,0.0,0.00013430193397632385,0.0006122709140129407,0.00015246403718413923,,,,,,,,,,,,,,,1,1,9,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
10,0.00035301676596862533,0.000298969414101313,0.00035301676596862533,1.16170907116242e-07,0.0,0.0001290215896376803,0.0008147873687504504,0.00011524133951774517,0.000298969414101313,9.515740890203067e-08,0.0,0.00013294602213840469,0.000611804402113091,0.0001521578180524432,0.980824295233328,0.9910020822816937,60.0,0.7640303217277745,0.34358205482825077,0.7640303217277745,0.34358205482825077,0.9551682298365495,0.9933406805185232,0.34358205482825077,0.9551682298365495,0.9933406805185232,0.34358205482825077,0.980824295233328,1,1,10,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
11,0.00035259363037785837,0.0002990869261651704,0.00035259363037785837,1.1773486319199833e-07,0.0,0.0001288459116107209,0.0008142109248906938,0.00011472405463216047,0.0002990869261651704,9.520285004782636e-08,0.0,0.0001334158307479072,0.0006118111245069487,0.00015203382324065535,,,,,,,,,,,,,,,1,1,11,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
12,0.0003524949846916817,0.0002987561488605475,0.0003524949846916817,1.1705401536943327e-07,0.0,0.00012869455420525398,0.0008139018107393892,0.0001148885891304019,0.0002987561488605475,9.506623335007382e-08,0.0,0.00013326332792216986,0.0006115909392060394,0.00015141417945343315,0.980805767657214,0.9909922485519038,60.0,0.7656591754325235,0.35016668138668516,0.7656591754325235,0.35016668138668516,0.9531888050814173,0.9936220398294681,0.35016668138668516,0.9531888050814173,0.9936220398294681,0.35016668138668516,0.980805767657214,1,1,12,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
13,0.0003521502085883863,0.00029845687301261625,0.0003521502085883863,1.1684832790237465e-07,0.0,0.0001283665241311038,0.0008136806543986657,0.00011440344723538942,0.00029845687301261625,9.499950628175859e-08,0.0,0.0001322129460016409,0.0006114696271993287,0.00015168804583687905,,,,,,,,,,,,,,,1,1,13,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
14,0.0003521855264906573,0.0002982848977840937,0.0003521855264906573,1.1667247878932585e-07,0.0,0.00012825180409801318,0.0008139867879209903,0.00011431798745296836,0.0002982848977840937,9.492737844270364e-08,0.0,0.00013208276626362127,0.0006114813120181785,0.0001512906150704813,0.9806939482072838,0.9910569148173365,60.0,0.7721619624778757,0.36851969255547246,0.7721619624778757,0.36851969255547246,0.9562911749630291,0.9916750199151255,0.36851969255547246,0.9562911749630291,0.9916750199151255,0.36851969255547246,0.9806939482072838,1,1,14,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
15,0.00035178528882466776,0.00029813294339090424,0.00035178528882466776,1.1790625187302339e-07,0.0,0.00012791417815391655,0.0008132336319311277,0.00011420805638895897,0.00029813294339090424,9.488642469725826e-08,0.0,0.00013184036304497615,0.0006114403815344813,0.0001511180855932553,,,,,,,,,,,,,,,1,1,15,shared4,8,normalized_delta,128,delta,history_one_step,[1],all_steps_plus_optional_decoded_endpoint,1,three_frames
