source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.7895966436891841,0.0929890189727177,0.0635535199374179,6.641302345400391e-07,0.0017733720393152907,0.000317755759897409
depablo_low_temp,10,20,20,20,0.8930754880488647,0.0806223853295373,0.08909196724582674,5.231824324880563e-07,0.001460449065780267,0.00026858022865781093
depablo_low_temp,25,20,20,20,0.9467764336988453,0.061249646442624164,0.1113451632350467,4.30623502545302e-07,0.0009920719894580543,0.00022546198815689422
depablo_low_temp,50,20,20,20,0.9659046962431409,0.05146446877029406,0.12192390929122102,7.465863681943574e-07,0.0008531041210517287,0.00030797643266851084
depablo_low_temp,75,20,20,20,0.9710970001396182,0.04581181854075903,0.1271388104990921,1.4841924517838834e-06,0.0007872003130614758,0.00047263173037208616
depablo_low_temp,100,20,20,20,0.9678905335282647,0.04542831416733755,0.1309363081666797,2.7441781227821595e-06,0.0009071149863302708,0.0006877635343698785
depablo_low_temp,125,20,20,20,0.9608235879910071,0.04905680211158486,0.1341610869454215,4.552541608404681e-06,0.0011234425008296966,0.000988037878414616
depablo_low_temp,149,20,20,20,0.9378226284727087,0.06128123070904494,0.13699498132137658,7.153082958666346e-06,0.0015845329500734806,0.0015041236125398426
depablo_low_temp,150,20,20,20,0.935875890083173,0.06225379007462861,0.13710567759410502,7.2940893176109965e-06,0.0016132814809679985,0.0015354277042206378
depablo_mixed_temp,5,20,20,20,0.3506220981232967,0.3116870234903818,0.22679945757564682,2.3951341362504763e-05,0.005286771708051674,0.0008893159290892072
depablo_mixed_temp,10,20,20,20,0.3198672546460908,0.2784946668675127,0.17922109704665723,3.047077818649768e-05,0.00597573951818049,0.0010246742829622235
depablo_mixed_temp,25,20,20,20,0.4685552953241473,0.2214151545675338,0.18142652653321048,3.16098664612241e-05,0.006285589246544987,0.0005336817179340869
depablo_mixed_temp,50,20,20,20,0.8262364302272843,0.11678983104704718,0.12905106469273595,2.7918601196574856e-05,0.00521512576378882,0.0009226699054124765
depablo_mixed_temp,75,20,20,20,0.7065599343411317,0.12997873927485376,0.1721180025747532,3.148324276764924e-05,0.005400993581861258,0.0010248296093777753
depablo_mixed_temp,100,20,20,20,0.8907778365948706,0.08803586131024713,0.12643548055144446,3.3780892999857314e-05,0.004983579693362117,0.0010795831185532734
depablo_mixed_temp,125,20,20,20,0.5875842306100016,0.11937367531389406,0.15482135978229525,3.544977512319747e-05,0.004113209154456854,0.0021571101737208665
depablo_mixed_temp,149,20,20,20,0.8020049278909467,0.1017324820552871,0.13202052126728464,3.327396551640049e-05,0.0036615336313843725,0.00197515026666224
depablo_mixed_temp,150,20,20,20,0.8174159868159185,0.10286497468704936,0.13788865110405393,2.960610586342227e-05,0.0028449795208871365,0.0017853379278676585
lj_noisy,5,20,20,20,-4.804818902004858,0.0696752206048276,0.0012192600578043978,8.344942132865185e-08,0.0005607724015135318,0.0001848676009103656
lj_noisy,10,20,20,20,-1.2142372098511238,0.05053067506652702,0.002153844244672589,8.021960962167896e-08,0.00044124931446276605,0.00011707891972037032
lj_noisy,25,20,20,20,-0.15840429468322204,0.05805751055448398,0.004116859972161529,3.0864404223507334e-07,0.00029903562972322106,0.0001519648591056466
lj_noisy,50,20,20,20,0.19461123191551677,0.05098053857757141,0.004765160046327359,1.543541057458242e-06,0.0004682521102949977,0.0002513049636036158
lj_noisy,75,20,20,20,0.28074878376294277,0.04528711403231534,0.005096114207392416,4.044135573622043e-06,0.0007302044425159693,0.0003541374346241355
lj_noisy,100,20,20,20,0.35526818555154116,0.04132833275211747,0.005310082358180217,7.883596049396147e-06,0.0009577670134603977,0.0004945973865687847
lj_noisy,125,20,20,20,0.402342375415519,0.04046393486221975,0.005569300277656472,1.3329431953934546e-05,0.0011520227883011103,0.0006016409024596214
lj_noisy,149,20,20,20,0.06154291785710708,0.0651568181800888,0.0058612530060078456,2.0751950614794623e-05,0.001947010587900877,0.000808168575167656
lj_noisy,150,20,20,20,0.032892142095619525,0.06671621313607459,0.005877561133984836,2.1128770094946957e-05,0.0020095924846827984,0.0008200825192034245
reid,5,20,20,20,-0.23380376587163432,0.1355114358935385,0.02154076783415691,9.521963502123754e-08,0.0007378318929113448,0.00011921534241992049
reid,10,20,20,20,0.2927039476746063,0.12406152014736851,0.028346618455362994,8.159829079090741e-08,0.0005016777955461294,0.00018442529308231314
reid,25,20,20,20,0.6523385489570377,0.09293570828463389,0.034074291474254684,3.299122512956387e-07,0.0003452343516983092,0.0003556347925041337
reid,50,20,20,20,0.8103615082923386,0.06804209505256995,0.03674579830514,1.5591434234352164e-06,0.0007744286442175508,0.0004924387947539798
reid,75,20,20,20,0.8855070311175837,0.050319309776482066,0.03814548712888468,3.7656476848724195e-06,0.0011338731739670039,0.0005235420045210049
reid,100,20,20,20,0.9330685860438354,0.03585441969918192,0.039261933802947645,6.901610871068442e-06,0.001378145581111312,0.0006106626446126029
reid,125,20,20,20,0.946588535638138,0.03657957706567684,0.040278386785974486,1.1430038051685188e-05,0.0015770992264151572,0.0008785143349086866
reid,149,20,20,20,0.9086447681753492,0.04580371360808898,0.04122426506644665,1.8844507303583667e-05,0.0022029255516827105,0.001328771619591862
reid,150,20,20,20,0.9059930288498855,0.046396176294525346,0.041262728129658005,1.9252686956861e-05,0.0022397901862859725,0.001352910217246972
