epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4348246705839096,0.3964519149835175,0.4348246705839096,0.4421453366972519,0.33431686730939586,0.4835715199660239,0.42001124132422385,0.4835715199660239,0.3964519149835175,0.32263622025741223,0.5012211057308473,0.35723091763885395,0.3936960812090378,0.5012211057308473,2D AE mixed-T exclusion,8,normalized_delta,192
2,0.31368788457467334,0.2638614681253791,0.31368788457467334,0.2771371960190007,0.24718047626197445,0.381765946216524,0.3020278728324997,0.381765946216524,0.2638614681253791,0.25622979716516714,0.18607791699959259,0.34906823664511505,0.2637919836032916,0.34906823664511505,2D AE mixed-T exclusion,8,normalized_delta,192
3,0.2223466412159308,0.22079061787965185,0.2223466412159308,0.1133793864571233,0.15494195004961525,0.3420541784188464,0.203458504975195,0.3420541784188464,0.22079061787965185,0.19606923829501574,0.13033008520785522,0.33191618069418166,0.21943850139901752,0.33191618069418166,2D AE mixed-T exclusion,8,normalized_delta,192
4,0.213616270022748,0.22790179948788136,0.213616270022748,0.1043568887097718,0.14353455399488949,0.3338939944947168,0.19392847906645935,0.3338939944947168,0.22790179948788136,0.20566314560400836,0.14236652049677154,0.33127785748802124,0.22643584119626703,0.33127785748802124,2D AE mixed-T exclusion,8,normalized_delta,192
5,0.21055784575363248,0.21947745545494787,0.21055784575363248,0.10224341845295357,0.1407025654404879,0.3305806642527267,0.19117554938205605,0.3305806642527267,0.21947745545494787,0.19791700229038822,0.12403261322332056,0.33235942853957806,0.21810301468442894,0.33235942853957806,2D AE mixed-T exclusion,8,normalized_delta,192
6,0.2084768603607139,0.21690949969033294,0.2084768603607139,0.1014597241636068,0.1379786303091536,0.3275494993288818,0.18899595126721405,0.3275494993288818,0.21690949969033294,0.19572240983116182,0.12040390984008187,0.3303923449552569,0.2155062215421669,0.3303923449552569,2D AE mixed-T exclusion,8,normalized_delta,192
7,0.20558986229223214,0.21755076359944248,0.20558986229223214,0.10028123531861108,0.13539453571394325,0.3231700098482796,0.18628192696027798,0.3231700098482796,0.21755076359944248,0.1958755956061105,0.12292533333805439,0.32929964696155173,0.21603352530190553,0.32929964696155173,2D AE mixed-T exclusion,8,normalized_delta,192
8,0.20367843764925087,0.21867034951363631,0.20367843764925087,0.09914438310037921,0.13382742006073625,0.32085145517627894,0.18460775277913147,0.32085145517627894,0.21867034951363631,0.19806430183668086,0.1233301918242911,0.3304918842684281,0.21729545930980002,0.3304918842684281,2D AE mixed-T exclusion,8,normalized_delta,192
9,0.20124944742788853,0.22064485323635188,0.20124944742788853,0.09874422647733883,0.13198099970043395,0.3165412587419708,0.18242216163991454,0.3165412587419708,0.22064485323635188,0.19966506635512601,0.12230377961440306,0.336362009037188,0.21944361833557235,0.336362009037188,2D AE mixed-T exclusion,8,normalized_delta,192
10,0.19923083218175183,0.2215339770922041,0.19923083218175183,0.09752988621433717,0.13002568220663452,0.3134243033733715,0.18032662393144774,0.3134243033733715,0.2215339770922041,0.20142539589111,0.12189200433020136,0.33714043471815164,0.22015261164648767,0.33714043471815164,2D AE mixed-T exclusion,8,normalized_delta,192
11,0.19666502307141018,0.22262059485189722,0.19666502307141018,0.09720079455571001,0.12832821626381594,0.3091638874044215,0.17823096607464917,0.3091638874044215,0.22262059485189722,0.19864154613002183,0.12465082565812688,0.34064191047739434,0.2213114274218477,0.34064191047739434,2D AE mixed-T exclusion,8,normalized_delta,192
12,0.19456652586297074,0.22542310907697002,0.19456652586297074,0.09595681197749414,0.12713690607131956,0.30570890405091256,0.17626754069990877,0.30570890405091256,0.22542310907697002,0.19676185746310634,0.12359469515075416,0.35228847672574615,0.22421500977986888,0.35228847672574615,2D AE mixed-T exclusion,8,normalized_delta,192
13,0.19231289605317275,0.22579411599217047,0.19231289605317275,0.09545544179431022,0.12536356578288238,0.302038764154297,0.1742859239104965,0.302038764154297,0.22579411599217047,0.19722838944289833,0.12499809797706181,0.3512452297206772,0.22449057238021242,0.3512452297206772,2D AE mixed-T exclusion,8,normalized_delta,192
14,0.1900341967732826,0.22929013732338574,0.1900341967732826,0.09428575982672177,0.12360445980717086,0.2986873630599696,0.17219252756462075,0.2986873630599696,0.22929013732338574,0.20277136377742552,0.1256932558834945,0.3558884719141612,0.22811769719169372,0.3558884719141612,2D AE mixed-T exclusion,8,normalized_delta,192
