epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.4640496453776523,0.3772765428121937,0.4640496453776523,0.5141857691050205,0.3336521273277366,0.48785474418728836,0.4452308802066818,0.5141857691050205,0.3772765428121937,0.29176815930986777,0.5260014207451604,0.33225273207062855,0.38334077070855227,0.5260014207451604,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.32604387728865986,0.3305517661238187,0.32604387728865986,0.35780061718499123,0.24156776875611347,0.34762641472992606,0.31566493355701025,0.35780061718499123,0.3305517661238187,0.28644159183022566,0.3998409760533832,0.324258818407543,0.3368471287637173,0.3998409760533832,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.24206403550497774,0.21645622276701032,0.24206403550497774,0.33571788550681364,0.1854801479392835,0.16382645368379464,0.22834149570996395,0.33571788550681364,0.21645622276701032,0.20541943567513954,0.1468675183641608,0.309225745513686,0.22050423318432877,0.309225745513686,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.20585862220827697,0.20817523423925435,0.20585862220827697,0.3170958024334153,0.13513192260210308,0.11049115978240338,0.18757296160597392,0.3170958024334153,0.20817523423925435,0.19681181816122262,0.13163468921993626,0.30666227654728573,0.2117029279761482,0.30666227654728573,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.20159101861683862,0.20787498533946314,0.20159101861683862,0.31297015302414,0.13126948665051,0.10459650705978864,0.18294538224481285,0.31297015302414,0.20787498533946314,0.19435206287744222,0.13445030704315286,0.3055822441529017,0.21146153802449894,0.3055822441529017,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.20034982800719606,0.20438034286918608,0.20034982800719606,0.3112670964018336,0.12933149488549434,0.10354635474520262,0.18138164867751017,0.3112670964018336,0.20438034286918608,0.19411358806974022,0.1237399140954949,0.30619461800233694,0.20801604005585736,0.30619461800233694,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.19922559059625566,0.20759004551770263,0.19922559059625566,0.3102122743793402,0.12793464614643585,0.10233740211712654,0.18016144088096753,0.3102122743793402,0.20759004551770263,0.19370725070257322,0.13084431513561867,0.3095341152729816,0.2113618937037245,0.3095341152729816,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.19769650184620655,0.20671409198303559,0.19769650184620655,0.3084539292001787,0.12727587030202858,0.10100237266123688,0.17891072405448138,0.3084539292001787,0.20671409198303559,0.1940699784536264,0.12915157301176805,0.3075587561907014,0.21026010255203195,0.3075587561907014,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.1965541772957213,0.20580276793947344,0.1965541772957213,0.30687901486782726,0.1261037712287659,0.09994955332384575,0.17764411314014628,0.30687901486782726,0.20580276793947344,0.1944884436452412,0.12340487775509246,0.3107613612955902,0.20955156089864127,0.3107613612955902,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.19594309134974014,0.20778301725727752,0.19594309134974014,0.3054568962953336,0.1253421368215007,0.09980844846609636,0.17686916052764357,0.3054568962953336,0.20778301725727752,0.19346069138555322,0.1297416066590813,0.3108231544320006,0.2113418174922117,0.3108231544320006,2D AE mixed-T exclusion,6,normalized_delta,192
11,0.1954376716215881,0.20728994190790936,0.1954376716215881,0.3051914423310977,0.12473511639835023,0.09957152852508433,0.17649936241817743,0.3051914423310977,0.20728994190790936,0.19499719814484706,0.12187271568836877,0.31600198602245655,0.2109572999518908,0.31600198602245655,2D AE mixed-T exclusion,6,normalized_delta,192
12,0.1940917676427748,0.20439593315026477,0.1940917676427748,0.30362709271561816,0.12446567716229323,0.0981032666320222,0.17539867883664453,0.30362709271561816,0.20439593315026477,0.19000758316542488,0.12444330846483354,0.30951620372070465,0.20798903178365435,0.30951620372070465,2D AE mixed-T exclusion,6,normalized_delta,192
13,0.1931154148992259,0.20868230101799495,0.1931154148992259,0.3019376081220393,0.12361917853119506,0.09764195429922959,0.174399580317488,0.3019376081220393,0.20868230101799495,0.19458301364647923,0.12339828017866239,0.31965189243783243,0.21254439542099135,0.31965189243783243,2D AE mixed-T exclusion,6,normalized_delta,192
14,0.1921753584945422,0.2056015619910077,0.1921753584945422,0.3008089095825885,0.1227251016940322,0.0968709660148479,0.17346832576382287,0.3008089095825885,0.2056015619910077,0.19259560108184814,0.1224942747503519,0.3121522945148172,0.20908072344900575,0.3121522945148172,2D AE mixed-T exclusion,6,normalized_delta,192
