epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.47201362578566913,0.3742512684217409,0.47201362578566913,0.5233241080215549,0.4919843924155651,0.3432810935720133,0.4528631980030444,0.5233241080215549,0.3742512684217409,0.28648709430126473,0.5263601976330392,0.33010409079724923,0.38098379424385104,0.5263601976330392,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.31309919102525335,0.27724236133508384,0.31309919102525335,0.3516627175040484,0.31598690570894833,0.244165611504958,0.30393841157265156,0.3516627175040484,0.27724236133508384,0.2911839284352027,0.23991389776347205,0.3212565707799513,0.2841181323262087,0.3212565707799513,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.22826187894495306,0.20942244675304544,0.22826187894495306,0.3308394518840596,0.13100337114991095,0.18109301956355728,0.21431194753250926,0.3308394518840596,0.20942244675304544,0.19930423095502192,0.13115618731535506,0.30886999404174276,0.21311013743737325,0.30886999404174276,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.20568631217866584,0.20830097876758755,0.20568631217866584,0.3191823439579211,0.10347667628393009,0.1371541865278124,0.18660440225655453,0.3191823439579211,0.20830097876758755,0.2013979498296976,0.12728553210035898,0.30786501881084405,0.2121828335803002,0.30786501881084405,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.2018395843952501,0.2054109805165545,0.2018395843952501,0.31513303697187856,0.1007837221114884,0.13273714627274422,0.18288463511870376,0.31513303697187856,0.2054109805165545,0.196732043310476,0.12668257782206638,0.3033576105663087,0.20892407723295037,0.3033576105663087,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.2004113993103712,0.20240581322608417,0.2004113993103712,0.31288032933558513,0.10024204994932721,0.13086227852959273,0.18132821927150167,0.31288032933558513,0.20240581322608417,0.19102270678558853,0.1253284155172878,0.30073500364960637,0.20569537531749424,0.30073500364960637,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.1987409159383862,0.20352482909189634,0.1987409159383862,0.31118259303723916,0.09912046598698109,0.12856125079911193,0.1796214366077774,0.31118259303723916,0.20352482909189634,0.1915874883561628,0.1270540377809084,0.30182363255880773,0.20682171956529297,0.30182363255880773,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.1975005703897149,0.20171095749706422,0.1975005703897149,0.3093910218857838,0.09899530698370808,0.1271379209396314,0.17850808326970777,0.3093910218857838,0.20171095749706422,0.1883021540052141,0.12434408418266685,0.3023654988792259,0.20500391235570228,0.3023654988792259,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.19673291542677893,0.20581140094926875,0.19673291542677893,0.30826307640541195,0.09890002294352628,0.1263438644634663,0.17783565460413486,0.30826307640541195,0.20581140094926875,0.19291333147702971,0.1329972782623372,0.3013675828842679,0.20909273087454494,0.3013675828842679,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.19600176724720755,0.2013951864436661,0.19600176724720755,0.3073187437016605,0.09821665622932851,0.12506944469684897,0.17686828154261267,0.3073187437016605,0.2013951864436661,0.18926174272564822,0.12345493254542816,0.3013143154530553,0.2046769969080439,0.3013143154530553,2D AE mixed-T exclusion,6,normalized_delta,192
11,0.19508587443183784,0.20087481905755245,0.19508587443183784,0.3064238668313756,0.09728637641163096,0.12450196946624636,0.176070737569751,0.3064238668313756,0.20087481905755245,0.1884343514830107,0.12250052308809245,0.3012291247578105,0.2040546664429712,0.3012291247578105,2D AE mixed-T exclusion,6,normalized_delta,192
12,0.19369964335005643,0.2002413130806465,0.19369964335005643,0.3045439341334051,0.09610183297172385,0.12284839064826437,0.17449805258446446,0.3045439341334051,0.2002413130806465,0.18593391950707883,0.12292395780968945,0.3018190092407167,0.20355896218582833,0.3018190092407167,2D AE mixed-T exclusion,6,normalized_delta,192
13,0.19275273146761437,0.19831635176057094,0.19275273146761437,0.3027048877447765,0.09567148455155713,0.12221714511444905,0.17353117247026087,0.3027048877447765,0.19831635176057094,0.1880817788769491,0.11956051365996245,0.29756968235597014,0.2017373249642939,0.29756968235597014,2D AE mixed-T exclusion,6,normalized_delta,192
14,0.1912741545283071,0.2001540475524962,0.1912741545283071,0.30092176462776743,0.09451748460953893,0.12058716826386612,0.17200880583372413,0.30092176462776743,0.2001540475524962,0.19038186976104043,0.12082057759835152,0.29934736754512414,0.20351660496817203,0.29934736754512414,2D AE mixed-T exclusion,6,normalized_delta,192
15,0.18978423515143056,0.20158528347352617,0.18978423515143056,0.2987546309592856,0.09371386567931769,0.1193436397925157,0.17060404547703967,0.2987546309592856,0.20158528347352617,0.18820672687434126,0.1271373579511419,0.29929747663845774,0.2048805204879803,0.29929747663845774,2D AE mixed-T exclusion,6,normalized_delta,192
16,0.18867614279479025,0.19810327631176303,0.18867614279479025,0.2971069959132369,0.09341511876865395,0.11843374475841668,0.16965195314676917,0.2971069959132369,0.19810327631176303,0.18565002306422684,0.11857924365176586,0.30048031600017566,0.20156986090538945,0.30048031600017566,2D AE mixed-T exclusion,6,normalized_delta,192
17,0.18774774157513416,0.198607647578281,0.18774774157513416,0.29587499600758965,0.09254984084349666,0.11733735684492186,0.1685873978986694,0.29587499600758965,0.198607647578281,0.18459457774588373,0.11941448464494897,0.30198253925482277,0.20199720054855183,0.30198253925482277,2D AE mixed-T exclusion,6,normalized_delta,192
