source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.522187470968281,0.15113568098087088,0.0635535199374179,2.0465258483426395e-07,0.0010348729527322575,0.00017285033281950747
depablo_low_temp,10,20,20,20,0.7218505790463013,0.13734931940580167,0.08909196724582674,1.4182967937870218e-07,0.0007448861957527697,0.0001921254657645477
depablo_low_temp,25,20,20,20,0.8993919583976475,0.09131725611199429,0.1113451632350467,2.2245129809306264e-07,0.0005093566607683897,0.0002992773792357184
depablo_low_temp,50,20,20,20,0.9606833713138374,0.059180413445260614,0.12192390929122102,7.03798329482197e-07,0.0005894782021641731,0.0004035800040583126
depablo_low_temp,75,20,20,20,0.9793904109262761,0.04383170925083736,0.1271388104990921,1.5106134917175495e-06,0.0006263315677642822,0.0004747465456603095
depablo_low_temp,100,20,20,20,0.9873386618326369,0.03428955411202951,0.1309363081666797,2.708475157930934e-06,0.0008533868473023176,0.0005473736760905013
depablo_low_temp,125,20,20,20,0.9932042404156938,0.025810673429884568,0.1341610869454215,4.295862382264204e-06,0.0011667787097394467,0.0006041947461199015
depablo_low_temp,149,20,20,20,0.9953950224095668,0.021281159104861294,0.13699498132137658,6.792518510678746e-06,0.0017791286110877991,0.0006522508396301418
depablo_low_temp,150,20,20,20,0.9954140887884917,0.021170397751017027,0.13710567759410502,6.931106440788426e-06,0.0018102100118994712,0.0006556012842338533
depablo_mixed_temp,5,20,20,20,-0.3672503385823418,0.38918001319036866,0.22679945757564682,1.689986228683438e-05,0.0013781055167783052,0.0008328198571689426
depablo_mixed_temp,10,20,20,20,-0.17728377033188303,0.3243374910611622,0.17922109704665723,2.4827406892313775e-05,0.0024993585422635077,0.001531876979424851
depablo_mixed_temp,25,20,20,20,-0.45188699541760924,0.3473603043082252,0.18142652653321048,2.3215683415855893e-05,0.0030567349283955993,0.0014419705898035319
depablo_mixed_temp,50,20,20,20,0.39828359344160125,0.19817000738266233,0.12905106469273595,2.7798318731697692e-05,0.0034365981351584195,0.001612334376841318
depablo_mixed_temp,75,20,20,20,0.6532354003171097,0.1689172378973665,0.1721180025747532,2.556776698838803e-05,0.003462691977620125,0.0009755522944033146
depablo_mixed_temp,100,20,20,20,0.26511933043883573,0.1836006612180488,0.12643548055144446,4.612403619148608e-05,0.004159687110222876,0.0018097468739142642
depablo_mixed_temp,125,20,20,20,0.7343235210388923,0.12823878533043623,0.15482135978229525,3.3773630610767215e-05,0.004007564764469862,0.00165494063985534
depablo_mixed_temp,149,20,20,20,0.3661963921903191,0.1397115046752351,0.13202052126728464,4.8594229917853225e-05,0.004434321913868189,0.0025388237787410616
depablo_mixed_temp,150,20,20,20,0.6253341445584657,0.11968893694358036,0.13788865110405393,3.270762284728335e-05,0.004054694343358279,0.001437603306840174
lj_noisy,5,20,20,20,-8.402469280316895,0.0855785399693706,0.0012192600578043978,6.084870047828872e-08,0.00031987447873689235,0.00014275777866714633
lj_noisy,10,20,20,20,-1.0307061173329735,0.05423891677782193,0.002153844244672589,7.074343795210325e-08,0.00021548254298977553,0.00010292240622220561
lj_noisy,25,20,20,20,0.45414091992699346,0.03809537224989402,0.004116859972161529,3.0844124196960367e-07,0.0002013028133660555,0.00011080630938522517
lj_noisy,50,20,20,20,0.606287073680136,0.03181378817473172,0.004765160046327359,1.5216039258802994e-06,0.0003402540925890207,0.00013346935156732798
lj_noisy,75,20,20,20,0.5513847633548008,0.028701265441979845,0.005096114207392416,4.0240154135062765e-06,0.0005810960195958614,0.00023068736772984265
lj_noisy,100,20,20,20,0.6188060559511065,0.030027199132429738,0.005310082358180217,7.933534197945846e-06,0.0008712777867913246,0.0003785647917538881
lj_noisy,125,20,20,20,0.6325526998067051,0.036673282344502886,0.005569300277656472,1.380679993872036e-05,0.0012463385704904796,0.0006312892539426685
lj_noisy,149,20,20,20,0.34842002478938816,0.046643554296316156,0.0058612530060078456,2.2570817645828355e-05,0.0025609273929148913,0.0009367967722937465
lj_noisy,150,20,20,20,0.3249819712913399,0.04746365013902898,0.005877561133984836,2.3028902296573507e-05,0.0026363297831267117,0.0009515827870927751
reid,5,20,20,20,-0.684967653741847,0.15651981948503715,0.02154076783415691,7.531647687741838e-08,0.0005728756135795265,0.0002235332998679951
reid,10,20,20,20,0.1191189145183914,0.13098114872625324,0.028346618455362994,6.816368776085824e-08,0.0003239797370042652,0.0002377096378040733
reid,25,20,20,20,0.7539333077204589,0.08015477382544373,0.034074291474254684,3.155140756661012e-07,0.0003591903834603727,0.0002948709603515454
reid,50,20,20,20,0.9227394776245309,0.04805219452489721,0.03674579830514,1.4339163925569664e-06,0.0006092258263379335,0.00033680708293104544
reid,75,20,20,20,0.9540479539394131,0.035793960325342856,0.03814548712888468,3.485378225320801e-06,0.0007533661089837551,0.0004307100374717265
reid,100,20,20,20,0.9608901115959001,0.03264948409711995,0.039261933802947645,6.528456231080781e-06,0.0009334493428468704,0.0005682462389813737
reid,125,20,20,20,0.9631897713120171,0.03143869924187731,0.040278386785974486,1.0746806728434421e-05,0.0012054803781211376,0.000713817257201299
reid,149,20,20,20,0.9606797148072447,0.03140547442153761,0.04122426506644665,1.6382204438514237e-05,0.001865808479487896,0.0008351289114216342
reid,150,20,20,20,0.9604715018402412,0.03142447470134142,0.041262728129658005,1.6659544166941485e-05,0.0019047021865844726,0.0008392995747271925
