epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.42586509711365506,0.38432869559206756,0.4473536795875319,0.31116896274881717,0.5138827165585428,0.4525436151038266,0.4258650981370622,0.5138827165585428,0.38735781954469306,0.2881332291389241,0.5051035752814067,0.362587398212207,0.38527473421084596,0.5051035752814067,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.30373471866810087,0.25845117582972593,0.31815382901771033,0.22729962378687377,0.37705664175230064,0.30684789380002403,0.3037347197797328,0.37705664175230064,0.26025262902695556,0.24913135717840904,0.18139703068392057,0.3479588749573419,0.25949575427322386,0.3479588749573419,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.2029666089937488,0.22591204231056708,0.22337593114397242,0.14852463047071418,0.34621640832079026,0.11415878859667858,0.20296660912939435,0.34621640832079026,0.22755900149585362,0.20095043822112393,0.13536429230711963,0.3426310564734434,0.22631526233389565,0.3426310564734434,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.1932326779563516,0.22087478178969405,0.2143148204864236,0.13946822801105294,0.337164700931173,0.10306510491194087,0.19323267795138896,0.337164700931173,0.22261527553283286,0.20098335902018355,0.12775375212444678,0.33501218449520437,0.22124976521327824,0.33501218449520437,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.1900209369630839,0.2192151692368962,0.211274973386452,0.13637722067230548,0.33343056101040985,0.1002550301775601,0.19002093728675848,0.33343056101040985,0.22091603768718635,0.1974304663909084,0.12653073204289142,0.3348040649691891,0.2195884211343296,0.3348040649691891,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.1880250018401002,0.21891390525526203,0.2097415368917992,0.13389481923858873,0.33109075022897755,0.09908943540428237,0.18802500162394956,0.33109075022897755,0.2205731805681469,0.2010716532389237,0.12186757247208764,0.3349722959052183,0.21930384053874322,0.3349722959052183,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.18570629769330763,0.2207860886507357,0.20747242142739136,0.1314608547604952,0.3277742871700341,0.09788375002287368,0.18570629731780097,0.3277742871700341,0.22237308485951962,0.1991206459834815,0.12625421277786555,0.3382610021281595,0.2212119536298355,0.3382610021281595,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.1834830278216416,0.22054253493977302,0.2051117840499268,0.1292973238839164,0.3250309331061362,0.09612082588597205,0.18348302762534155,0.3250309331061362,0.22215696364056636,0.19750493208560696,0.12852172273652335,0.33678863884292937,0.22093843122168658,0.33678863884292937,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.18057990431467974,0.2194957710085899,0.20251699165171458,0.1265624149389843,0.3206459542680168,0.09453134479821655,0.18057990466840587,0.3206459542680168,0.22084811174208363,0.19960101566059477,0.12086414977614032,0.3390668276795431,0.21984399770542606,0.3390668276795431,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.17766708053555835,0.22037062000529511,0.19960615865978848,0.12340123135411242,0.3167831899985327,0.09281681901998619,0.17766708012421042,0.3167831899985327,0.2220697608167068,0.20300188984355313,0.12305588994518314,0.3361173614026292,0.22072504706378848,0.3361173614026292,2D AE mixed-T exclusion,6,normalized_delta,192
11,0.17432161372280672,0.22467427002431178,0.1964405420671348,0.11958082531600343,0.31268620892009347,0.09069780696706174,0.17432161373438623,0.31268620892009347,0.22609956048970634,0.20385125624214082,0.13149372608351864,0.3395704605886222,0.22497181430476054,0.3395704605886222,2D AE mixed-T exclusion,6,normalized_delta,192
12,0.1717092967848583,0.2194894584785843,0.19418501717635625,0.11605070596378872,0.3098068774725785,0.08927030717461083,0.17170929687032602,0.3098068774725785,0.22111560645552866,0.2000672418743055,0.12071187976306598,0.33910064752899893,0.21995992305545684,0.33910064752899893,2D AE mixed-T exclusion,6,normalized_delta,192
13,0.16874779492193176,0.22305319728643522,0.19162097438296458,0.11179860648707377,0.30689265432090995,0.08755212355749169,0.16874779478849178,0.30689265432090995,0.2246408041769718,0.20340124283857802,0.12680870358783164,0.33988026928793835,0.22336340523811601,0.33988026928793835,2D AE mixed-T exclusion,6,normalized_delta,192
14,0.16672159043235,0.2247671762288132,0.18970104165335533,0.10918485079470155,0.30486310119897814,0.08611681856889919,0.1667215901875263,0.30486310119897814,0.22651597833366577,0.20453438628217244,0.13205568799258846,0.33890361256505314,0.225164562279938,0.33890361256505314,2D AE mixed-T exclusion,6,normalized_delta,192
