epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.41960948692439504,0.39181727554041446,0.44054448480186836,0.49831067578830684,0.4534592017875472,0.3070585817482395,0.4196094864413646,0.49831067578830684,0.3947946445864513,0.31641775526185617,0.5071938424518234,0.3553583549237565,0.39298998421247866,0.5071938424518234,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.31710102399860773,0.3391759825906723,0.3323986756600453,0.38423590999936974,0.33598160089306256,0.23108555993220734,0.31710102360821324,0.38423590999936974,0.3414418735980644,0.3007703661730394,0.36371997938932554,0.35517211328015513,0.33988748628084003,0.36371997938932554,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.22657770862005533,0.22279982508163476,0.24432912576103294,0.3560186655626204,0.1431491361603432,0.1805653238146306,0.22657770851253142,0.3560186655626204,0.22460572365737447,0.2030714362602126,0.1331444828722038,0.33408855863748804,0.22343482592330147,0.33408855863748804,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.19360243985644454,0.2167772580547496,0.21512529611269915,0.3382703879745561,0.1029355251643853,0.13960140607721747,0.19360243973871963,0.3382703879745561,0.2187161191299736,0.1946783338888905,0.12486794325155451,0.3322513839352484,0.21726588702523117,0.3322513839352484,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.19041723870468819,0.2177903850336645,0.21220291427090154,0.33413036560662895,0.10126878144169892,0.13585256945613117,0.19041723883481967,0.33413036560662895,0.21972270914871933,0.19701233495551934,0.12631485520028754,0.331597812644108,0.21830833426663832,0.331597812644108,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.18759461203805083,0.21720106161615632,0.20940299333465248,0.33108011520671166,0.09888860842024454,0.1328151111803671,0.1875946116024411,0.33108011520671166,0.21916390093314256,0.20100082543014766,0.12029745212118877,0.3320005216549984,0.2177662664021116,0.3320005216549984,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.18571602513428057,0.22153779457270412,0.20782120554951114,0.3290011012797669,0.09743577177217809,0.13071120221359692,0.18571602508851395,0.3290011012797669,0.22349823422974358,0.20741602486157987,0.12660797367264565,0.33231985750608145,0.22211461868010232,0.33231985750608145,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.18402760008723867,0.22098536038414596,0.2061568467776898,0.3268661180752632,0.09623759642713182,0.12897908525809407,0.18402759992016304,0.3268661180752632,0.22300204785552258,0.20812598709264732,0.12307076987957484,0.3335989509292535,0.2215985693004919,0.3335989509292535,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.18156754666175132,0.216924524586978,0.20329520347169194,0.3233067934826466,0.09449869985849353,0.12689714521652692,0.18156754618588902,0.3233067934826466,0.21877570735647323,0.19159750025124944,0.12366828353781449,0.33664234932021875,0.21730271103642754,0.33664234932021875,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.1794143432542867,0.21843410076999523,0.20119625319384343,0.32019232290252697,0.09327846707124428,0.12477223941192798,0.1794143431285664,0.32019232290252697,0.22028895378763397,0.19761050150214515,0.12261307654951356,0.33634706837566275,0.21885688214244048,0.33634706837566275,2D AE mixed-T exclusion,6,normalized_delta,192
