epoch,train_objective,val_objective,train_mse_norm,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.42694387927677874,0.3952689779532664,0.44608185031380154,0.5047609404549929,0.32426044513631885,0.45181024833507905,0.42694387797546357,0.5047609404549929,0.3980415209414477,0.29927881849691906,0.531139011857541,0.361322130145211,0.39724665349989036,0.531139011857541,2D AE mixed-T exclusion,6,normalized_delta,192
2,0.27178107900793136,0.22369310943944815,0.2903867199302355,0.37745763904036256,0.19197046841770993,0.24591512957895523,0.27178107901234255,0.37745763904036256,0.22531600530483886,0.19629508468441348,0.1422425317332933,0.3337916924177032,0.2241097696118033,0.3337916924177032,2D AE mixed-T exclusion,6,normalized_delta,192
3,0.1972366384037011,0.21983354967681967,0.21879234498442807,0.34038563695989327,0.1420744249868483,0.10924985274990118,0.19723663823221424,0.34038563695989327,0.2216861155784048,0.19411547421081427,0.13526640551801966,0.33125756841496024,0.2202131493812647,0.33125756841496024,2D AE mixed-T exclusion,6,normalized_delta,192
4,0.19297639354666427,0.21713954172962419,0.21438286599056336,0.33568729595223284,0.13742573748857154,0.10581614755649868,0.1929763936657677,0.33568729595223284,0.218916816161351,0.19070835988919072,0.13329892075914693,0.328638979223998,0.21754875329077852,0.328638979223998,2D AE mixed-T exclusion,6,normalized_delta,192
5,0.19073217610959262,0.218748286705801,0.21222056747541546,0.33333188350945975,0.13491084828284663,0.10395379557537301,0.1907321757892265,0.33333188350945975,0.22054682919715948,0.20009677051665617,0.1278579647456737,0.3300046821982649,0.21931980582019825,0.3300046821982649,2D AE mixed-T exclusion,6,normalized_delta,192
6,0.1883543972753081,0.21919715834586675,0.21008434178403598,0.3307369036159973,0.1319684011143753,0.1023578880731923,0.1883543976011883,0.3307369036159973,0.22095287229340682,0.1987839900526872,0.1271694429512871,0.3332646753393898,0.21973936944778805,0.3332646753393898,2D AE mixed-T exclusion,6,normalized_delta,192
7,0.18651813534659137,0.22289857226803714,0.20827979888257506,0.3286201170319774,0.12957579336173794,0.10135849652279227,0.18651813563883587,0.3286201170319774,0.2245224989911026,0.2011622855826182,0.12882858560861726,0.340088214286554,0.22335969515926316,0.340088214286554,2D AE mixed-T exclusion,6,normalized_delta,192
8,0.18418134309576417,0.2210036604079015,0.20622404108938908,0.32668310391913513,0.1265845992958064,0.09927632457694141,0.18418134259729432,0.32668310391913513,0.22286552506010213,0.20847591438003757,0.12285883219324445,0.33374747059945215,0.2216940723909114,0.33374747059945215,2D AE mixed-T exclusion,6,normalized_delta,192
9,0.18192570406420827,0.2254849300845295,0.2038848251236692,0.3240254856182881,0.12440768149011433,0.09734394310743649,0.1819257034052796,0.3240254856182881,0.22745462946250294,0.22213568094067593,0.1203286027376491,0.3366855772212148,0.2263832869665133,0.3366855772212148,2D AE mixed-T exclusion,6,normalized_delta,192
10,0.17912376691880066,0.2200403906345526,0.2011172991662847,0.3208187425088925,0.12142928650513371,0.09512327171756256,0.17912376691052956,0.3208187425088925,0.22168249850151467,0.20868656910619043,0.11845456308587209,0.334798000929387,0.22064637770714982,0.334798000929387,2D AE mixed-T exclusion,6,normalized_delta,192
11,0.17570511857792073,0.21951505064828888,0.1976673130614296,0.31558177597675185,0.11880019090434481,0.09273338753094841,0.17570511813734835,0.31558177597675185,0.22125423202334063,0.2140678682220862,0.11660665133110198,0.32955106297311815,0.22007519417543545,0.32955106297311815,2D AE mixed-T exclusion,6,normalized_delta,192
12,0.17181382874824225,0.21840834561884007,0.1933022226152369,0.30874397335689824,0.1165187390484776,0.0901787748533842,0.17181382908625334,0.30874397335689824,0.22010675641288652,0.21589859452920945,0.11162454120226596,0.3293582276514682,0.2189604544609812,0.3293582276514682,2D AE mixed-T exclusion,6,normalized_delta,192
