variant,seed,completed
near08,3456456,True
near08,123,True
near08,456,True
near08,786,True
near08,2026,True
dim2,3456456,True
dim2,123,True
dim2,456,True
dim2,786,True
dim2,2026,True
dim4,3456456,True
dim4,123,True
dim4,456,True
dim4,786,True
dim4,2026,True
dim8,3456456,True
dim8,123,True
dim8,456,True
dim8,786,True
dim8,2026,True
width128,3456456,True
width128,123,True
width128,456,True
width128,786,True
width128,2026,True
tokens32,3456456,True
tokens32,123,True
tokens32,456,True
tokens32,786,True
tokens32,2026,True
frames101,3456456,True
frames101,123,True
frames101,456,True
frames101,786,True
frames101,2026,True
source_mean,3456456,True
source_mean,123,True
source_mean,456,True
source_mean,786,True
source_mean,2026,True
