epoch,train_objective,val_objective,train_mse_norm,train_source_reid_reconstruction,train_source_lj_noisy_reconstruction,train_source_depablo_low_temp_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,dataset,latent_dim,target_mode,hidden_size
1,0.46173233124650814,0.40098067419933725,0.46173233124650814,0.3496977093019134,0.5123747067251383,0.4741822135093792,0.4454182098454769,0.5123747067251383,0.40098067419933725,0.2934162522012249,0.5465257910325338,0.358242601038594,0.39939488142411755,0.5465257910325338,2D AE mixed-T exclusion,6,normalized_delta,128
2,0.3376984318344462,0.3154664226602895,0.3376984318344462,0.2707791349273274,0.3639578136415295,0.355400855545464,0.33004593470477367,0.3639578136415295,0.3154664226602895,0.2653990929074427,0.3371523546937265,0.33738776462054565,0.31331307074057163,0.33738776462054565,2D AE mixed-T exclusion,6,normalized_delta,128
3,0.23186618739451226,0.22485091429903892,0.23186618739451226,0.15928019187537223,0.3441843829294716,0.13466147833617922,0.21270868438034105,0.3441843829294716,0.22485091429903892,0.1883730049829613,0.14887389792619568,0.3336817010648941,0.22364286799135036,0.3336817010648941,2D AE mixed-T exclusion,6,normalized_delta,128
4,0.21601835569469374,0.2233060618106223,0.21601835569469374,0.1436550696669924,0.335389404655244,0.10889952104426193,0.19598133178883279,0.335389404655244,0.2233060618106223,0.19068336576480974,0.1422150267141038,0.33363929699224076,0.2221792298237181,0.33363929699224076,2D AE mixed-T exclusion,6,normalized_delta,128
5,0.21331733466518074,0.22265225804265562,0.21331733466518074,0.14123828475881323,0.332460193767429,0.10684662065129615,0.19351503305917947,0.332460193767429,0.22265225804265562,0.1930114819242203,0.14153260147002966,0.32981740150992805,0.22145382830139268,0.32981740150992805,2D AE mixed-T exclusion,6,normalized_delta,128
6,0.21155357511704176,0.22019195013203996,0.21155357511704176,0.14005625764235563,0.33002522090188563,0.10576966595149485,0.1919503814985787,0.33002522090188563,0.22019195013203996,0.18949756191478687,0.1350925915139286,0.331873362241803,0.21882117189017283,0.331873362241803,2D AE mixed-T exclusion,6,normalized_delta,128
7,0.21030886795497492,0.22048951758002427,0.21030886795497492,0.13876301006680325,0.3281682828047559,0.10429288594624554,0.1904080596059349,0.3281682828047559,0.22048951758002427,0.18934799834560762,0.13762769670911917,0.3310527186375111,0.21934280456407929,0.3310527186375111,2D AE mixed-T exclusion,6,normalized_delta,128
8,0.20942025037472456,0.21911522090775193,0.20942025037472456,0.1384790041194451,0.3270437686470855,0.10352534642294181,0.18968270639649085,0.3270437686470855,0.21911522090775193,0.19041964721350751,0.1350943296608564,0.32811750193175515,0.21787715960203968,0.32811750193175515,2D AE mixed-T exclusion,6,normalized_delta,128
9,0.20813797341517404,0.2179018218703535,0.20813797341517404,0.13780433653819096,0.3256569725211518,0.1026572810277528,0.18870619669569852,0.3256569725211518,0.2179018218703535,0.19026291783047009,0.13286494829838996,0.32683626400600924,0.21665471004495643,0.32683626400600924,2D AE mixed-T exclusion,6,normalized_delta,128
10,0.20746914736701583,0.21942708565661986,0.20746914736701583,0.13759101328289478,0.324246180814494,0.10185685582445739,0.18789801664061537,0.324246180814494,0.21942708565661986,0.19381271330441566,0.13126128480622642,0.3291803314497596,0.21808477652013392,0.3291803314497596,2D AE mixed-T exclusion,6,normalized_delta,128
11,0.20654740807853414,0.22398700841895722,0.20654740807853414,0.13695229817062723,0.32305124699804755,0.10090444390504864,0.18696932969124114,0.32305124699804755,0.22398700841895722,0.19793378733138137,0.13725509523218007,0.3332601398793294,0.22281634081429694,0.3332601398793294,2D AE mixed-T exclusion,6,normalized_delta,128
12,0.20573100867163435,0.21954756274535353,0.20573100867163435,0.13685762400856344,0.3221549189932393,0.10009969945924214,0.18637074748701496,0.3221549189932393,0.21954756274535353,0.19836860668766212,0.12686089546860832,0.3297695969770614,0.21833303304444396,0.3297695969770614,2D AE mixed-T exclusion,6,normalized_delta,128
13,0.20452060255339471,0.2243030151362194,0.20452060255339471,0.13620470090873446,0.3204588504974626,0.09906816550366726,0.18524390563662144,0.3204588504974626,0.2243030151362194,0.19632576982629427,0.1411947382981644,0.33167689328425026,0.22306580046956967,0.33167689328425026,2D AE mixed-T exclusion,6,normalized_delta,128
14,0.2030731077913069,0.22124253638486663,0.2030731077913069,0.13519562431487053,0.3185525814709824,0.09760132623211105,0.18378317733932134,0.3185525814709824,0.22124253638486663,0.19769853155842013,0.12757415265996794,0.33475166265117495,0.22000811562318767,0.33475166265117495,2D AE mixed-T exclusion,6,normalized_delta,128
15,0.2018338018502266,0.2201521615398691,0.2018338018502266,0.13506353321132875,0.31675603394239454,0.09650382870679215,0.18277446528683847,0.31675603394239454,0.2201521615398691,0.195412973311056,0.12415191070544289,0.3373042506655972,0.21895637822736536,0.3373042506655972,2D AE mixed-T exclusion,6,normalized_delta,128
16,0.200027102323292,0.2174883369659404,0.200027102323292,0.13338792478238923,0.3138829107871064,0.09525369900422664,0.1808415115245741,0.3138829107871064,0.2174883369659404,0.19446631059783728,0.11977482718096948,0.3342986559054177,0.2161799312280748,0.3342986559054177,2D AE mixed-T exclusion,6,normalized_delta,128
17,0.19776964259084123,0.21953039161748655,0.19776964259084123,0.13119496084372537,0.31107046050193254,0.0931853587982339,0.17848359338129727,0.31107046050193254,0.21953039161748655,0.19561187185079573,0.12421047160843093,0.33459131606903514,0.2181378865094206,0.33459131606903514,2D AE mixed-T exclusion,6,normalized_delta,128
18,0.19584756056061858,0.22472098881646277,0.19584756056061858,0.12912572030934172,0.3084998252416165,0.0923583410633976,0.1766612955381186,0.3084998252416165,0.22472098881646277,0.2045548206710435,0.12539659886817006,0.3402951707009618,0.22341553008005846,0.3402951707009618,2D AE mixed-T exclusion,6,normalized_delta,128
19,0.19351771096723752,0.22301804469336908,0.19351771096723752,0.12588940024356066,0.3057330010151143,0.09079406427328689,0.1741388218439873,0.3057330010151143,0.22301804469336908,0.19653644191814548,0.12726658791989873,0.3414763294466722,0.2217597864282388,0.3414763294466722,2D AE mixed-T exclusion,6,normalized_delta,128
20,0.19095358816943203,0.2263184545994307,0.19095358816943203,0.12281917308194176,0.30226827275213086,0.08936043852050235,0.17148262811819168,0.30226827275213086,0.2263184545994307,0.20020790661169968,0.1282459166464641,0.34688676620196357,0.22511352982004243,0.34688676620196357,2D AE mixed-T exclusion,6,normalized_delta,128
21,0.18834342545503832,0.22325657436364918,0.18834342545503832,0.12076069840906621,0.29864777017179645,0.0878863119574836,0.16909826017944876,0.29864777017179645,0.22325657436364918,0.19788271434198906,0.12361747480708321,0.344794054366158,0.22209808117174346,0.344794054366158,2D AE mixed-T exclusion,6,normalized_delta,128
22,0.1863419977719788,0.2266787965893448,0.1863419977719788,0.11910872105145115,0.29543014545635476,0.08659994597406148,0.16704627082728915,0.29543014545635476,0.2266787965893448,0.19678363876734326,0.12440678972848936,0.3554481786994362,0.22554620239842293,0.3554481786994362,2D AE mixed-T exclusion,6,normalized_delta,128
