source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.6383441777474044,0.1376087521048184,0.0635535199374179,6.1338690908741e-07,0.0018154723686166108,0.00016906900164030957
depablo_low_temp,10,20,20,20,0.7456879743827074,0.13142651501070918,0.08909196724582674,3.872400947457777e-07,0.001395680831046775,0.00014454625707003289
depablo_low_temp,25,20,20,20,0.9225249637167635,0.07276616370672918,0.1113451632350467,3.090069927935701e-07,0.0009264625492505729,0.00019034482538700105
depablo_low_temp,50,20,20,20,0.9565923430425213,0.054142185034845004,0.12192390929122102,7.74706466444286e-07,0.0009762916946783662,0.0002924328437075019
depablo_low_temp,75,20,20,20,0.9597591720891915,0.05241269331530871,0.1271388104990921,1.5605145833319511e-06,0.001007269136607647,0.0004494511493248865
depablo_low_temp,100,20,20,20,0.9724267136984821,0.04378291489026483,0.1309363081666797,2.6633194067926524e-06,0.0009979447349905968,0.000547267371439375
depablo_low_temp,125,20,20,20,0.9838516460917325,0.032039163033822295,0.1341610869454215,4.2616832047315255e-06,0.0010007860139012337,0.0006373284966684877
depablo_low_temp,149,20,20,20,0.9878722108369506,0.028229431709719543,0.13699498132137658,6.735841603244808e-06,0.001641067024320364,0.0007567341439425945
depablo_low_temp,150,20,20,20,0.9878353293892169,0.028436489565964153,0.13710567759410502,6.8693174682721295e-06,0.0016909883357584476,0.0007625016558449715
depablo_mixed_temp,5,20,20,20,0.14628181289030096,0.3613237006486239,0.22679945757564682,4.2779115563007505e-05,0.010283187369350345,0.0014956342391087673
depablo_mixed_temp,10,20,20,20,0.27016019576367,0.27859463285468566,0.17922109704665723,4.497066403743588e-05,0.01034940981771797,0.001255448780284496
depablo_mixed_temp,25,20,20,20,0.37080448010581557,0.2713513667323167,0.18142652653321048,4.30272827053102e-05,0.00967609699582681,0.0013595875876490026
depablo_mixed_temp,50,20,20,20,0.7211733523778494,0.14397081178407747,0.12905106469273595,4.052070331965752e-05,0.00842094540130347,0.0016914426392759196
depablo_mixed_temp,75,20,20,20,0.8809517504379736,0.10407110079181092,0.1721180025747532,3.462729443128865e-05,0.006810761615633964,0.0014449919115577358
depablo_mixed_temp,100,20,20,20,0.8891659607640288,0.0947545831076267,0.12643548055144446,4.299805563050541e-05,0.006024200469255447,0.0023188135310192592
depablo_mixed_temp,125,20,20,20,0.9389935656189068,0.06884151761327692,0.15482135978229525,3.847523893227844e-05,0.004819132573902607,0.0019834359700325876
depablo_mixed_temp,149,20,20,20,0.9116638029090304,0.07071310962829655,0.13202052126728464,3.0973407467627113e-05,0.0027298263274133207,0.0018765741726383567
depablo_mixed_temp,150,20,20,20,0.9461350380953555,0.059550528223961806,0.13788865110405393,3.187060545997156e-05,0.0028535256162285803,0.001993970072362572
lj_noisy,5,20,20,20,-10.021160208839335,0.09915130408051434,0.0012192600578043978,4.2473863626213416e-08,0.000357519940007478,9.884070095722564e-05
lj_noisy,10,20,20,20,-1.0157060595793546,0.052016243861833775,0.002153844244672589,5.136337275502001e-08,0.0002568559313658625,0.00010601517715258524
lj_noisy,25,20,20,20,0.427940779419278,0.041830454918973636,0.004116859972161529,3.023520378064859e-07,0.0002964412560686469,0.00013343291939236224
lj_noisy,50,20,20,20,0.4035951830926102,0.04648504744385991,0.004765160046327359,1.5361086752818665e-06,0.0004488643957301974,0.00020637200213968754
lj_noisy,75,20,20,20,0.25937521044403244,0.049623600792045856,0.005096114207392416,4.035886502151698e-06,0.0006848169956356287,0.00035754903219640253
lj_noisy,100,20,20,20,0.18434973815172018,0.05020521866194101,0.005310082358180217,7.900158675511192e-06,0.0008776707574725151,0.0005033067660406232
lj_noisy,125,20,20,20,0.11094179577452312,0.05215457199852126,0.005569300277656472,1.345603368463344e-05,0.0014229487627744676,0.000726135796867311
lj_noisy,149,20,20,20,-0.408950928113347,0.07188251646772516,0.0058612530060078456,2.1662208064299192e-05,0.0027014173101633787,0.001067438442260027
lj_noisy,150,20,20,20,-0.45709735533719464,0.07353968747760183,0.005877561133984836,2.2088089417593436e-05,0.002772114146500826,0.0010848133824765682
reid,5,20,20,20,0.15274751715867185,0.11265150597127863,0.02154076783415691,1.1345892714231809e-07,0.0008342056127730757,0.0001454989162994025
reid,10,20,20,20,0.41042937167530646,0.10936171222365983,0.028346618455362994,7.824218508645231e-08,0.0005314442096278071,0.00018560482130851596
reid,25,20,20,20,0.7503381956624073,0.0780793142393778,0.034074291474254684,3.136246288448774e-07,0.0003581969882361591,0.0002860147717001382
reid,50,20,20,20,0.8763854217819758,0.05298835015146145,0.03674579830514,1.6987293339099096e-06,0.0010170141933485866,0.00033877181413117797
reid,75,20,20,20,0.9268713086183116,0.039233350415642035,0.03814548712888468,4.008797159826827e-06,0.0013908596709370613,0.0004029496281873435
reid,100,20,20,20,0.9607942391236002,0.02827152051004239,0.039261933802947645,6.7355510211086765e-06,0.001068437611684203,0.000440066478040535
reid,125,20,20,20,0.9651236121372988,0.026465165277458826,0.040278386785974486,1.0580247879943272e-05,0.001145194936543703,0.0005363668635254726
reid,149,20,20,20,0.9444229160463787,0.034976151721076175,0.04122426506644665,1.6457190781693498e-05,0.002332821860909462,0.0006900071137351915
reid,150,20,20,20,0.9428049857625712,0.035335361350215075,0.041262728129658005,1.676584338383691e-05,0.0024118048138916494,0.0006981113634537906
