variant,source,frame,seeds,r2_mean,r2_std,r2_min,position_mse,strain_x_mae,strain_y_mae,p_ratio_mae,valid_min,total_min
dimension6,depablo_low_temp,5,5,0.4500052053240333,0.17441264166734557,0.2505586851400266,5.031145446787733e-07,0.0013146051304647201,0.00018531664572942,0.16349104962661487,20,20
dimension6,depablo_low_temp,10,5,0.6955744778492535,0.1127070698305753,0.5116990194439248,3.3939775737401587e-07,0.0009994011127855,0.00018743281179917372,0.14808998860434178,20,20
dimension6,depablo_low_temp,25,5,0.9058393509623114,0.03537596403975453,0.8632087899313421,2.640555956112678e-07,0.0006134923920035,0.00027550050814166,0.08641941433741374,20,20
dimension6,depablo_low_temp,50,5,0.9567618779123134,0.024508590244335486,0.9275556710810664,7.659464641562863e-07,0.0008468965627252599,0.0004115830791124,0.052639588308140736,20,20
dimension6,depablo_low_temp,75,5,0.9624882109008027,0.014405426493320965,0.9410593491769932,1.6820789237215192e-06,0.0011068117991089401,0.00060630937514356,0.052792526713736576,20,20
dimension6,depablo_low_temp,100,5,0.9493646955608804,0.017249159963499332,0.9354245676782614,3.49203527264308e-06,0.0018557701911776799,0.0010194905748357398,0.064790441941994,20,20
dimension6,depablo_mixed_temp,5,5,0.05685926113891876,0.25872654829063463,-0.1366632474182956,8.136470209748634e-05,0.010482077894266641,0.002186448949651,0.37185267883958556,20,20
dimension6,depablo_mixed_temp,10,5,0.1761779722945456,0.2544072133028259,-0.172914249227021,7.892848464250132e-05,0.010453612190321959,0.0023596063761214597,0.2948537584337133,20,20
dimension6,depablo_mixed_temp,25,5,0.1809774811048262,0.2812904921671157,-0.1796430965123325,6.531038357535344e-05,0.00975552195915946,0.00198125110415272,0.2667693669259469,20,20
dimension6,depablo_mixed_temp,50,5,0.40480906204382183,0.19690158441009728,0.1537379909155464,5.228499669840403e-05,0.0078078953502699,0.00213579631177702,0.18795962403669414,20,20
dimension6,depablo_mixed_temp,75,5,0.331026395499881,0.318957910240736,-0.0984297465221273,5.075223190884513e-05,0.00653484501875932,0.00276487769209776,0.21194229911388432,20,20
dimension6,depablo_mixed_temp,100,5,0.40870742320806475,0.3676969193201602,-0.0240277031616187,5.5468140218391875e-05,0.00575472244992848,0.0031658831925596596,0.17799058469513562,20,20
dimension6,lj_noisy,5,5,-17.775730285409736,13.869340998660986,-36.70181910535661,2.460786615365862e-07,0.0008716115163405799,0.00020646717777704802,0.12292476417694782,20,20
dimension6,lj_noisy,10,5,-5.937275172267005,4.510718677138001,-12.12248585108079,1.6232430425588975e-07,0.0005407184304203399,0.00016322140421828,0.09536726316571897,20,20
dimension6,lj_noisy,25,5,-0.8048028331116781,0.9673706007575397,-2.461232972226986,3.8554019553771464e-07,0.00054346503922712,0.00025468855805224004,0.0677851015966083,20,20
dimension6,lj_noisy,50,5,0.05606293692515999,0.39653220006659334,-0.5982502430015952,1.8056040869396383e-06,0.00080912327859546,0.000369256575359,0.052567724450861976,20,20
dimension6,lj_noisy,75,5,0.14702454677912,0.37763101071174204,-0.447217500478775,4.561487578484958e-06,0.0009898669319226999,0.0005262268078513,0.052572617917704755,20,20
dimension6,lj_noisy,100,5,-0.08856476442507032,0.391250677246045,-0.5151353417706512,8.949229168138119e-06,0.00143559490796172,0.0007425501383840399,0.06058155119670268,20,20
dimension6,reid,5,5,-1.125805785008781,1.803619905058315,-4.010060189750975,6.862390979023304e-08,0.00042398204619525996,0.00017883344033173997,0.16955342474050203,20,20
dimension6,reid,10,5,-0.3311165011243541,0.9082914734407889,-1.5578179266910617,8.227534034066509e-08,0.00031583975593086,0.00026905235317822,0.15773701614466518,20,20
dimension6,reid,25,5,0.3808933375461283,0.4125324210187356,-0.2977741335619068,4.869284603969959e-07,0.00065659380983554,0.00047153730105488,0.1157275863713179,20,20
dimension6,reid,50,5,0.8374930682805957,0.09728893505146419,0.6800556360254062,1.64061369886781e-06,0.0008788532763718999,0.0004062299714132,0.05920719616541696,20,20
dimension6,reid,75,5,0.8811828561395023,0.1183832058888392,0.6749069865664674,3.913260787840045e-06,0.00096802084706718,0.00055683655460592,0.04986619031689614,20,20
dimension6,reid,100,5,0.7432324340507013,0.28886726280609604,0.2602995328571643,9.056258666078065e-06,0.0020684209652244803,0.00104084047430656,0.07480956811347304,20,20
dimension8,depablo_low_temp,5,5,0.26626382691387124,0.554994090094174,-0.6572920328508807,2.547871022962056e-07,0.00090234202187272,0.00023657867121068,0.16708871152903806,20,20
dimension8,depablo_low_temp,10,5,0.6856175296805269,0.1761002310025684,0.4046807367079656,1.928496618575082e-07,0.00068786635179998,0.00022779081184122002,0.13351880238154848,20,20
dimension8,depablo_low_temp,25,5,0.924383928340714,0.04032913828010344,0.8689607264407895,2.610266747993251e-07,0.0006056446977890601,0.00026570098903898,0.07217259940515086,20,20
dimension8,depablo_low_temp,50,5,0.9620817000666001,0.02073015694153345,0.9418841821101516,7.534082431703836e-07,0.00077594106551256,0.00041186300630209995,0.04856577896591372,20,20
