source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,seed
depablo_low_temp,5,20,20,20,0.5553546430078543,0.1527324878276489,0.0635535199374179,1.4356619146838056e-07,0.0006896204926306,0.0001043159452819,dimension6,3456456
depablo_low_temp,10,20,20,20,0.7403087443503316,0.1384373583019756,0.0890919672458267,8.755497482582086e-08,0.0003912370593752,0.0001596970680111,dimension6,3456456
depablo_low_temp,25,20,20,20,0.956933623365138,0.060926069051903,0.1113451632350467,1.6772918858265485e-07,0.0002582191373221,0.0002425074118946,dimension6,3456456
depablo_low_temp,50,20,20,20,0.9821436028620708,0.0360278953706496,0.121923909291221,6.80135210373578e-07,0.0005760076688602,0.0004140960314543,dimension6,3456456
depablo_low_temp,75,20,20,20,0.9673792367507597,0.0513150384712121,0.1271388104990921,1.5713890661572803e-06,0.0007523105945438,0.0007122031645849,dimension6,3456456
depablo_low_temp,100,20,20,20,0.9380052001002088,0.0723512413830936,0.1309363081666797,3.37978140123596e-06,0.001482953550294,0.0011993036430794,dimension6,3456456
depablo_mixed_temp,5,20,20,20,-0.1243912268384821,0.4092226406993036,0.2267994575756468,8.23382913694104e-05,0.0137929976015584,0.003065823460929,dimension6,3456456
depablo_mixed_temp,10,20,20,20,0.0215913016153072,0.3437913325884809,0.1792210970466572,8.697516389162274e-05,0.0137010361999273,0.003436654152756,dimension6,3456456
depablo_mixed_temp,25,20,20,20,-0.0197440679655203,0.304093677576216,0.1814265265332104,8.753037239728201e-05,0.0127418555552139,0.0029619871187605,dimension6,3456456
depablo_mixed_temp,50,20,20,20,0.3175977791951297,0.2027157156372322,0.1290510646927359,6.112620196176976e-05,0.0099302691873162,0.0027883951450348,dimension6,3456456
depablo_mixed_temp,75,20,20,20,0.1180334023777888,0.2503463361487031,0.1721180025747532,5.528712487432585e-05,0.0080437899101525,0.0032042692269897,dimension6,3456456
depablo_mixed_temp,100,20,20,20,0.3019130465392083,0.2066029515902912,0.1264354805514444,5.890231937542012e-05,0.006693934649229,0.0034500400914112,dimension6,3456456
lj_noisy,5,20,20,20,-10.684478628307668,0.101696331228666,0.0012192600578043,8.479024273810865e-08,0.0004566765972413,0.0001627998528419,dimension6,3456456
lj_noisy,10,20,20,20,-4.012102809784579,0.0846247968463706,0.0021538442446725,4.7891300880564816e-08,0.0001043508702423,0.0001214722338772,dimension6,3456456
lj_noisy,25,20,20,20,-0.4527829740353721,0.0650844263157582,0.0041168599721615,4.352287945152966e-07,0.0008099785889498,0.0002829163509886,dimension6,3456456
lj_noisy,50,20,20,20,0.448224102024866,0.0386372671037868,0.0047651600463273,1.741927886200756e-06,0.0007763479137793,0.0003026538179256,dimension6,3456456
lj_noisy,75,20,20,20,0.5720661280817385,0.0374339548726344,0.0050961142073924,4.332187552336109e-06,0.0007462985347956,0.0003868364961817,dimension6,3456456
lj_noisy,100,20,20,20,0.4887128574822456,0.0427294590940829,0.0053100823581802,8.550298025511438e-06,0.0012912414968013,0.0004513711552135,dimension6,3456456
reid,5,20,20,20,0.1720899842802071,0.1073721172474631,0.0215407678341569,4.0751337260225294e-08,0.0002703230391489,0.0001015249406918,dimension6,3456456
reid,10,20,20,20,0.4360668891290181,0.1048978237658956,0.0283466184553629,7.780197597284656e-08,0.0003519582009175,0.0001836698120314,dimension6,3456456
