source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.5108909151173855,0.1604104262771434,0.0635535199374179,3.6571476118574254e-07,0.001181117695523426,0.00018456680518283975
depablo_low_temp,10,20,20,20,0.6986458409265941,0.14021268094018122,0.08909196724582674,2.5104554346455643e-07,0.0009522346052108332,0.00020351705024950205
depablo_low_temp,25,20,20,20,0.8736055075446207,0.08399323129964856,0.1113451632350467,2.3083744213892032e-07,0.0005826744250953198,0.0002447753940941766
depablo_low_temp,50,20,20,20,0.9331846358703528,0.05853086492140156,0.12192390929122102,7.263934776347014e-07,0.0008053207071498037,0.00043752084384323097
depablo_low_temp,75,20,20,20,0.9627749699128638,0.04804820445319298,0.1271388104990921,1.5781888109245302e-06,0.0010948140639811753,0.0005889601947274059
depablo_low_temp,100,20,20,20,0.9632070938733865,0.05679173938383346,0.1309363081666797,3.313987895126047e-06,0.0017074837815016508,0.0006984881620155647
depablo_mixed_temp,5,20,20,20,0.29472059271297835,0.3144103171221752,0.22679945757564682,4.185090654686974e-05,0.0086354662256781,0.0008863519025908318
depablo_mixed_temp,10,20,20,20,0.39104113892232495,0.23629688486025127,0.17922109704665723,5.713587045121926e-05,0.009631270746467635,0.0008514551749613019
depablo_mixed_temp,25,20,20,20,0.4546663856051717,0.22722202188568805,0.18142652653321048,6.04228824670372e-05,0.010234641877468675,0.0010043481248430907
depablo_mixed_temp,50,20,20,20,0.7827961645168974,0.12309190787169008,0.12905106469273595,5.7006345733157106e-05,0.00848523892927915,0.0016914729720156174
depablo_mixed_temp,75,20,20,20,0.7399173474314811,0.11699123291520626,0.1721180025747532,5.6613538293959206e-05,0.008335025049746037,0.0019706560560734943
depablo_mixed_temp,100,20,20,20,0.8448812867043669,0.10052807675864092,0.12643548055144446,5.361380502222346e-05,0.007274907128885388,0.0015655823895940556
lj_noisy,5,20,20,20,-11.127526490577555,0.10294119605139977,0.0012192600578043978,5.7400123298911866e-08,0.00043861374142579735,0.00012575015134643763
lj_noisy,10,20,20,20,-2.651371126351824,0.07326025257302271,0.002153844244672589,5.407843612914576e-08,0.00031723206921014936,0.00014698553713969885
lj_noisy,25,20,20,20,0.04632620388308917,0.04747012914336231,0.004116859972161529,3.7158231691591936e-07,0.0005243000341579318,0.0002722569595789537
lj_noisy,50,20,20,20,0.19359131530187113,0.04991912509501718,0.004765160046327359,1.6924268805951215e-06,0.0006259140325710177,0.0002698223281186074
lj_noisy,75,20,20,20,0.11300158580483965,0.04961856275182437,0.005096114207392416,4.366786902210151e-06,0.0007829212583601475,0.00041198276448994875
lj_noisy,100,20,20,20,0.12243073550087369,0.055467557365947794,0.005310082358180217,8.553879479222814e-06,0.001170920394361019,0.0005797580000944435
reid,5,20,20,20,-1.6150000747910829,0.202711472069375,0.02154076783415691,4.234165985605998e-08,0.0003102498158114031,0.00023538050372735598
reid,10,20,20,20,-0.3759395692398142,0.16274403514077065,0.028346618455362994,6.882627752169413e-08,0.00027477965340949595,0.0002954182265966665
reid,25,20,20,20,0.6939860623273043,0.07380323527985624,0.034074291474254684,3.029405023724507e-07,0.00029553554486483335,0.00029920723263785474
reid,50,20,20,20,0.9099460058241927,0.03820425390424448,0.03674579830514,1.433168863229639e-06,0.0006175372051075101,0.0003053544132853858
reid,75,20,20,20,0.9584654877111136,0.027910134568403116,0.03814548712888468,3.5187681973525286e-06,0.0008729011751711369,0.0003667692450108007
reid,100,20,20,20,0.9397666206447879,0.039548056850421245,0.039261933802947645,7.399257651741209e-06,0.0017276852391660213,0.0005589545762632042
