epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,val_ae_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_position_mse_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_sum_100,val_ae_source_lj_noisy_p_ratio_r2_step_100,val_ae_source_lj_noisy_position_mse_step_100,val_ae_source_lj_noisy_p_ratio_r2_sum_100,val_ae_source_reid_p_ratio_r2_step_100,val_ae_source_reid_position_mse_step_100,val_ae_source_reid_p_ratio_r2_sum_100,val_ae_mean_source_p_ratio_r2_step_100,val_ae_min_source_p_ratio_r2_sum_100,dataset,latent_dim,target_mode,hidden_size
1,0.702061137713884,0.6056873480642312,0.713904404326489,0.6850331304888976,0.8911866865660015,0.5299636011060915,0.702061139386997,0.8911866865660015,0.6006625166751052,0.37752747363992967,0.7333671370288357,0.7106871836585924,0.6071939314424526,0.7333671370288357,0.010027470692171914,-0.327196734849313,1.2710175838037685e-05,-0.327196734849313,-18.514190504360588,1.7819738559410325e-05,-18.514190504360588,0.020990471270236344,1.0808225249547832e-05,0.020990471270236344,-6.273465589313222,-18.514190504360588,2D AE mixed-T exclusion,4,normalized_delta,96
2,0.5396789281776077,0.5709537218471891,0.5539537459611893,0.5529482181527112,0.6813589281157444,0.3847296394799885,0.5396789285828146,0.6813589281157444,0.5656533503267718,0.36606192955514416,0.6902924837486353,0.6615473930141889,0.5726339354393227,0.6902924837486353,0.0069054759869130455,-0.20362579341134945,9.449954598039767e-06,-0.20362579341134945,-21.834738728829382,1.5027838230707857e-05,-21.834738728829382,0.03261571140480779,1.0002510481399441e-05,0.03261571140480779,-7.335249603611974,-21.834738728829382,2D AE mixed-T exclusion,4,normalized_delta,96
3,0.5176894692998183,0.5545404329944991,0.5323912559371246,0.5235428890899608,0.6669437107286955,0.36258180302224663,0.5176894676136343,0.6669437107286955,0.549834008029613,0.34861914279463235,0.6641053907806054,0.6541437623091042,0.5556227652947806,0.6641053907806054,0.053775632867673506,-0.07718594166963233,8.990614549020393e-06,-0.07718594166963233,-23.51879837629649,1.4355991561387782e-05,-23.51879837629649,0.21957158014771816,9.528627492727537e-06,0.21957158014771816,-7.792137579272802,-23.51879837629649,2D AE mixed-T exclusion,4,normalized_delta,96
4,0.4547404990384453,0.42013529411664136,0.456241333170941,0.39610566598804375,0.6302637376283344,0.33785208785220194,0.4547404971561934,0.6302637376283344,0.4148407680227568,0.34729011834133416,0.30885958613362163,0.6117534688091837,0.4226343910947132,0.6117534688091837,0.34010616897191503,0.7314099174389971,9.222997459801262e-06,0.7314099174389971,-21.874745720043062,1.8017861430053016e-05,-21.874745720043062,-0.3727205804780822,1.2509247153502655e-05,-0.3727205804780822,-7.1720187943607145,-21.874745720043062,2D AE mixed-T exclusion,4,normalized_delta,96
5,0.36932925487819473,0.36485881672093745,0.359051493594521,0.2710449974003591,0.5197704545761409,0.31717230732503693,0.36932925310051234,0.5197704545761409,0.36069766523218466,0.33114670164650306,0.2612467137223575,0.5062164177070372,0.3662032776919659,0.5062164177070372,0.6135828474161973,0.8463670015738174,7.267887144735141e-06,0.8463670015738174,-12.202393622583344,1.499468653491931e-05,-12.202393622583344,0.15797603915395508,1.0730903818512161e-05,0.15797603915395508,-3.732683527285191,-12.202393622583344,2D AE mixed-T exclusion,4,normalized_delta,96
6,0.33623575772109787,0.3300033338416956,0.3268837719371444,0.2559354552705037,0.44856848116768033,0.3042033316273438,0.3362357560218426,0.44856848116768033,0.3267684815206418,0.3313401809427887,0.2176161320094252,0.44292585033690557,0.33062738776303985,0.44292585033690557,0.8130922864298786,0.9362936558773141,6.04715432359626e-06,0.9362936558773141,-6.131217568749307,1.2368706234155979e-05,-6.131217568749307,0.6581503914316015,1.0734985141880316e-05,0.6581503914316015,-1.5122578404801301,-6.131217568749307,2D AE mixed-T exclusion,4,normalized_delta,96
7,0.27054000857629273,0.2628044494893402,0.2614131681228939,0.18973119082419496,0.37501889106474423,0.24686994350662356,0.2705400084651876,0.37501889106474423,0.25985106815780074,0.24675530607783003,0.17849762449623086,0.36682690924499184,0.2640266132730176,0.36682690924499184,0.9446253666249064,0.9633184480334395,5.535411881396613e-06,0.9633184480334395,-0.4513114980828268,9.360116200696211e-06,-0.4513114980828268,0.8686505295522604,9.836770118454297e-06,0.8686505295522604,0.46021915983429107,-0.4513114980828268,2D AE mixed-T exclusion,4,normalized_delta,96
8,0.20933565242510094,0.23769355391666883,0.198747206479311,0.127060199019156,0.32381164572740856,0.17713511303851479,0.20933565259502643,0.32381164572740856,0.23442812446553848,0.23435567637716304,0.14114770648666308,0.3443431682535447,0.23994885037245695,0.3443431682535447,0.9361707359749201,0.9378482711180836,3.904375165575402e-06,0.9378482711180836,-0.8114076846738827,1.0053388291453302e-05,-0.8114076846738827,0.9335930805808943,9.96483240953694e-06,0.9335930805808943,0.3533445556750317,-0.8114076846738827,2D AE mixed-T exclusion,4,normalized_delta,96
9,0.1962695681735089,0.22719031653219932,0.18465404314430137,0.10851484866518724,0.31428108932940585,0.16601276537893633,0.19626956779117646,0.31428108932940585,0.22456817916888547,0.22096332367800642,0.13347073554905364,0.3320662660407834,0.2288334417559478,0.3320662660407834,0.9546130063996677,0.9473567082125862,3.714848102731594e-06,0.9473567082125862,-0.033233591355449565,8.63215905155812e-06,-0.033233591355449565,0.9464961913241299,8.253709259520292e-06,0.9464961913241299,0.6202064360604221,-0.033233591355449565,2D AE mixed-T exclusion,4,normalized_delta,96
10,0.19124231632602842,0.22660641282441488,0.17931161962057415,0.10221212537665116,0.3096128822941529,0.16190194177784417,0.19124231648288273,0.3096128822941529,0.22374753576923945,0.22181120064306015,0.13195384107530117,0.3308960526046576,0.22822036477433963,0.3308960526046576,0.9544515734413079,0.9433117486987632,3.7293532727744606e-06,0.9433117486987632,0.10199704525932596,8.680356631884934e-06,0.10199704525932596,0.9403844989336445,8.190226424176217e-06,0.9403844989336445,0.6618977642972446,0.10199704525932596,2D AE mixed-T exclusion,4,normalized_delta,96
11,0.18915707010187602,0.2231041203743141,0.17689994667705736,0.10001561864230193,0.3081779946622096,0.1592775929131006,0.18915706873920404,0.3081779946622096,0.22032504491998176,0.21859625840443186,0.12479596640332602,0.33083594337222166,0.22474272272665985,0.33083594337222166,0.9590001597240483,0.9572076232589826,3.687468637281199e-06,0.9572076232589826,0.07763658583030009,8.555312297175987e-06,0.07763658583030009,0.9342984385824687,7.86499703053778e-06,0.9342984385824687,0.6563808825572505,0.07763658583030009,2D AE mixed-T exclusion,4,normalized_delta,96
12,0.18708498344609611,0.22052020869757,0.17478200189377133,0.09675433490621416,0.30729709742100614,0.15720351708954886,0.18708498313892305,0.30729709742100614,0.2179683956035756,0.21347548645280767,0.12429741754749557,0.32802385023387615,0.22193225141139314,0.32802385023387615,0.9589040580947861,0.9592506041901869,3.471571878321811e-06,0.9592506041901869,0.038250403693102175,8.520088726982067e-06,0.038250403693102175,0.9320311916485389,7.5088049158011925e-06,0.9320311916485389,0.6431773998439426,0.038250403693102175,2D AE mixed-T exclusion,4,normalized_delta,96
13,0.1860535536941729,0.21984182844477657,0.17335877289113247,0.09456127251645452,0.3067215157182593,0.15687787146552612,0.18605355323341333,0.3067215157182593,0.2170727993116567,0.20930186217447044,0.12493139675643761,0.3292360427585663,0.22115643389649145,0.3292360427585663,0.9637734750452016,0.9628496313649932,3.4458841255968764e-06,0.9628496313649932,0.11468329462724358,8.491339258398511e-06,0.11468329462724358,0.9492594971864732,7.258379994823372e-06,0.9492594971864732,0.6755974743929034,0.11468329462724358,2D AE mixed-T exclusion,4,normalized_delta,96
14,0.1847886507840533,0.219721678648095,0.1719932466353241,0.0938317443783346,0.30546974147620953,0.15506446852691863,0.1847886514604876,0.30546974147620953,0.21716014007228965,0.2120359725486196,0.12294206468504854,0.3282613552000839,0.22107979747791737,0.3282613552000839,0.9628811264606302,0.9632073643528213,3.313988290187808e-06,0.9632073643528213,0.12243602665522102,8.553878751627053e-06,0.12243602665522102,0.9397668362661252,7.399256634244011e-06,0.9397668362661252,0.6751367424247224,0.12243602665522102,2D AE mixed-T exclusion,4,normalized_delta,96
15,0.18369621340381473,0.2197341662696808,0.17150218400516007,0.0929524405516292,0.30444396506798893,0.15369223340561516,0.1836962130084111,0.30444396506798893,0.2170361512977826,0.21365611355940928,0.12134388760023285,0.32903750010882504,0.2213458337561557,0.32903750010882504,0.9621848413067647,0.9624908305975214,3.2200662843706595e-06,0.9624908305975214,0.046759718071291756,8.583589237787238e-06,0.046759718071291756,0.9467335560255808,7.379409476016008e-06,0.9467335560255808,0.651994701564798,0.046759718071291756,2D AE mixed-T exclusion,4,normalized_delta,96
16,0.18237915415512887,0.22202517372359962,0.17016562078344194,0.09140566791358747,0.3032525745269499,0.15247922169142647,0.1823791547106546,0.3032525745269499,0.21922358001925443,0.21983879015169805,0.12484381436661351,0.3259242564527085,0.22353562032367336,0.3259242564527085,0.9505900624720633,0.956081940306981,3.3907479917161254e-06,0.956081940306981,-0.16796095706634628,8.484196200697625e-06,-0.16796095706634628,0.9029296972889336,7.6206819016988446e-06,0.9029296972889336,0.5636835601765228,-0.16796095706634628,2D AE mixed-T exclusion,4,normalized_delta,96
17,0.18180850030560242,0.22450099581068284,0.16928347866786153,0.09109636214806845,0.3027466683403442,0.15158247066367614,0.1818085003840296,0.3027466683403442,0.22130421108664258,0.22766555529960897,0.12425912337494083,0.327183171742945,0.22636928347249827,0.327183171742945,0.9608838969815272,0.9603204061797499,3.3145295645908845e-06,0.9603204061797499,0.12208352249651788,8.542871478312009e-06,0.12208352249651788,0.9332131368047607,7.702363501493891e-06,0.9332131368047607,0.6718723551603428,0.12208352249651788,2D AE mixed-T exclusion,4,normalized_delta,96
18,0.18120850912834469,0.22097346545442154,0.1688708444959239,0.09024776005627293,0.30257426739523285,0.150803500521732,0.1812085093244126,0.30257426739523285,0.21791367366003167,0.21811792341759428,0.12216542940586805,0.327515103854239,0.22259948555923378,0.327515103854239,0.9596344543234057,0.960172119189837,3.216382327764222e-06,0.960172119189837,0.08360908233379305,8.508065457135672e-06,0.08360908233379305,0.9287584398190195,7.448204533488933e-06,0.9287584398190195,0.6575132137808831,0.08360908233379305,2D AE mixed-T exclusion,4,normalized_delta,96
