source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.30514535654328456,0.18874826825698343,0.0635535199374179,3.3399068248840537e-07,0.0011375713715096936,0.00021509690486709587
depablo_low_temp,10,20,20,20,0.6428684017019255,0.15493388460426677,0.08909196724582674,2.326511939543252e-07,0.0009296166972490028,0.00022540161007782443
depablo_low_temp,25,20,20,20,0.8670244287755223,0.09120764553474847,0.1113451632350467,2.2973887032762262e-07,0.0006111269001848995,0.0002623546257382259
depablo_low_temp,50,20,20,20,0.9323585377615426,0.06419887135779916,0.12192390929122102,7.12409437753081e-07,0.0007991878781467676,0.000449570624914486
depablo_low_temp,75,20,20,20,0.9605152607290341,0.05359561141320239,0.1271388104990921,1.5606166485326867e-06,0.0010974243283271789,0.0006046110793249682
depablo_low_temp,100,20,20,20,0.956081940306981,0.06629743313145224,0.1309363081666797,3.3907479917161254e-06,0.0018748600501567124,0.0007551644812338054
depablo_mixed_temp,5,20,20,20,0.30050205972838107,0.30950204530910047,0.22679945757564682,4.110104063101971e-05,0.008592687037889846,0.0009063464276550803
depablo_mixed_temp,10,20,20,20,0.41522658944966506,0.23576588277635507,0.17922109704665723,5.431424183228728e-05,0.009479359484976158,0.001042914740537526
depablo_mixed_temp,25,20,20,20,0.46196414154532517,0.22234612090837422,0.18142652653321048,5.5648648111628066e-05,0.009755329939071088,0.0009920740296365694
depablo_mixed_temp,50,20,20,20,0.7876638206018954,0.12086657107417124,0.12905106469273595,5.4841333215449596e-05,0.008082046895287931,0.0017825726194132586
depablo_mixed_temp,75,20,20,20,0.7422813281773888,0.12298384462055086,0.1721180025747532,5.350081379731364e-05,0.007697289995849133,0.0019948391811340114
depablo_mixed_temp,100,20,20,20,0.8400348080747584,0.10233335261370395,0.12643548055144446,4.966430414015122e-05,0.00664351498708129,0.001639323798008263
lj_noisy,5,20,20,20,-8.134802271225452,0.08856820364620288,0.0012192600578043978,8.046930699556754e-08,0.000530606071697548,0.00015389201798825524
lj_noisy,10,20,20,20,-2.0521451718619055,0.06470514028264787,0.002153844244672589,6.54369314290193e-08,0.0003749338327907026,0.00014545710146194324
lj_noisy,25,20,20,20,0.07002480964532831,0.0483473118149387,0.004116859972161529,3.39465677257067e-07,0.00038905186811462046,0.0002058174810372293
lj_noisy,50,20,20,20,0.24617456421242134,0.05081593491588192,0.004765160046327359,1.6651143624812902e-06,0.0005360606126487255,0.0002504430594854057
lj_noisy,75,20,20,20,0.19855136272741603,0.053206659752077966,0.005096114207392416,4.297114969631366e-06,0.0007037133444100618,0.0004336364101618528
lj_noisy,100,20,20,20,-0.16796095706634628,0.06679434055488606,0.005310082358180217,8.484196200697625e-06,0.0012112021911889314,0.0006691784365102649
reid,5,20,20,20,-1.8025474044203889,0.21286871891723624,0.02154076783415691,6.70709497829769e-08,0.00042031570628751067,0.0002810933416185435
reid,10,20,20,20,-0.4067765001720076,0.16573734541125437,0.028346618455362994,8.524395709308407e-08,0.00036466741585172713,0.00032449929822178094
reid,25,20,20,20,0.7000073426694086,0.07231340780140305,0.034074291474254684,3.0382944817830546e-07,0.00029600750422105194,0.0002948602750620921
reid,50,20,20,20,0.905089513287001,0.0402670016583697,0.03674579830514,1.4070139414457116e-06,0.0005423882743343711,0.00032282553293043746
reid,75,20,20,20,0.9439374324896338,0.036164106316854155,0.03814548712888468,3.5065306093429172e-06,0.0008140330202877522,0.00040672621325938963
reid,100,20,20,20,0.9029296972889336,0.0503037714363066,0.039261933802947645,7.6206819016988446e-06,0.0016999282874166966,0.0006258226741920226
