source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.319873157695891,0.17558246004293498,0.0635535199374179,1.8460653947727223e-07,0.0008959861006587744,0.0001407713833032176
depablo_low_temp,10,20,20,20,0.6420325901008033,0.15464786562747795,0.08909196724582674,1.3205939142224565e-07,0.0006701837875880301,0.00019186702120350675
depablo_low_temp,25,20,20,20,0.8842079750329713,0.09656124866627332,0.1113451632350467,2.0800391506980986e-07,0.0004932409152388573,0.00032617134565953164
depablo_low_temp,50,20,20,20,0.93433049287309,0.07746712602092821,0.12192390929122102,6.979609054269531e-07,0.0006013787118718028,0.00048649910604581237
depablo_low_temp,75,20,20,20,0.9510486176947398,0.068539848474672,0.1271388104990921,1.5869569125470662e-06,0.0006343534681946039,0.0006169333937577903
depablo_low_temp,100,20,20,20,0.9481086369101546,0.06344905493131851,0.1309363081666797,3.617472864902993e-06,0.0011378956958651542,0.0008138868288369849
depablo_mixed_temp,5,20,20,20,-0.7225585126926344,0.493665930766143,0.22679945757564682,1.505599004261171e-05,0.00180984448234085,0.0005497038284374867
depablo_mixed_temp,10,20,20,20,-1.2461755423636642,0.41519223027220953,0.17922109704665723,1.7593088664824563e-05,0.002353311242768541,0.0008423338105785661
depablo_mixed_temp,25,20,20,20,-0.3590683561789587,0.3220528387413813,0.18142652653321048,1.652540834697902e-05,0.002243079408071935,0.0007958773945574649
depablo_mixed_temp,50,20,20,20,0.24326749933465552,0.24313290353522068,0.12905106469273595,2.281978607925339e-05,0.0035251589957624673,0.0014722295818501152
depablo_mixed_temp,75,20,20,20,0.22200336148449085,0.22849968571335869,0.1721180025747532,2.5535784641306235e-05,0.004526865133084357,0.0017833738209446892
depablo_mixed_temp,100,20,20,20,0.10505338670218756,0.18261992192778181,0.12643548055144446,3.0114796322777694e-05,0.004564128443598747,0.0021240666188532486
lj_noisy,5,20,20,20,-0.34761413081501336,0.03384854621367513,0.0012192600578043978,9.329960795056991e-08,0.000626556744100526,0.00021806799923069776
lj_noisy,10,20,20,20,-0.02006341053623517,0.03912512101787291,0.002153844244672589,5.300186849410693e-08,0.00030102648306638,0.00012029446079395712
lj_noisy,25,20,20,20,0.10094527478496573,0.05217344568442657,0.004116859972161529,3.2458772523114023e-07,0.00042229099199175835,0.0001999282045289874
lj_noisy,50,20,20,20,0.009346872559239383,0.05921982110754408,0.004765160046327359,1.6305715831776978e-06,0.0006492740008980036,0.0002534687635488808
lj_noisy,75,20,20,20,0.17490724498911314,0.057953765219725104,0.005096114207392416,4.329185674123437e-06,0.0009362328797578812,0.00042806961573660374
lj_noisy,100,20,20,20,-0.4217315121108185,0.07517938866154625,0.005310082358180217,8.935941059462493e-06,0.0016635057050734758,0.0007276734686456621
reid,5,20,20,20,0.03955392990125073,0.12384197874906536,0.02154076783415691,4.270165496755851e-08,0.0003581456927349791,0.00010379642262705601
reid,10,20,20,20,0.49607017082212057,0.10574708494824173,0.028346618455362994,5.780778993269564e-08,0.00027901784633286295,0.00015630580710421783
reid,25,20,20,20,0.8308647363840255,0.06811594955517086,0.034074291474254684,3.247446873189119e-07,0.0004407288273796439,0.00024798117228783665
reid,50,20,20,20,0.9347492376206622,0.04204098669259091,0.03674579830514,1.4035310009319347e-06,0.0004867356736212969,0.0002967790060210973
reid,75,20,20,20,0.9634882910690586,0.02954133575423128,0.03814548712888468,3.4081207303415796e-06,0.0006635088473558425,0.0003706645773490891
reid,100,20,20,20,0.95959611548548,0.03086409479648027,0.039261933802947645,6.679758399741331e-06,0.001257880637422204,0.0005075272027170285
