epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,val_ae_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_position_mse_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_sum_100,val_ae_source_lj_noisy_p_ratio_r2_step_100,val_ae_source_lj_noisy_position_mse_step_100,val_ae_source_lj_noisy_p_ratio_r2_sum_100,val_ae_source_reid_p_ratio_r2_step_100,val_ae_source_reid_position_mse_step_100,val_ae_source_reid_p_ratio_r2_sum_100,val_ae_mean_source_p_ratio_r2_step_100,val_ae_min_source_p_ratio_r2_sum_100,dataset,latent_dim,target_mode,hidden_size
1,0.6774323336387935,0.5011511633270666,0.6916332295066432,0.6906456076785138,0.813705792787828,0.5279455931563126,0.6774323312075513,0.813705792787828,0.49553492833909235,0.3665784806362353,0.7014322908362374,0.4465540108503774,0.5048549274409501,0.7014322908362374,0.36613650418753996,-0.18783222073069927,1.3228849229562912e-05,-0.18783222073069927,-0.8701914992100288,1.1002330234077818e-05,-0.8701914992100288,0.06360288031133776,1.0962376563838916e-05,0.06360288031133776,-0.3314736132097968,-0.8701914992100288,2D AE mixed-T exclusion,2,normalized_delta,96
2,0.4168629064371711,0.44048782683124665,0.4326816212189825,0.5095066138788273,0.3888222606950685,0.3522598416397446,0.4168629054045468,0.5095066138788273,0.43489651100612,0.31627685931744054,0.6576295589911751,0.35877700487617403,0.44422780772826326,0.6576295589911751,0.4345650964044637,-0.07867643657787537,1.2181366412278293e-05,-0.07867643657787537,-0.23322761695204663,8.74785507676279e-06,-0.23322761695204663,0.16946818149230658,9.313679549904919e-06,0.16946818149230658,-0.047478624012538474,-0.23322761695204663,2D AE mixed-T exclusion,2,normalized_delta,96
3,0.3887584246302906,0.42114911566635493,0.40335322712597094,0.4792817167153484,0.3631849702251585,0.3238085842446277,0.38875842372837816,0.4792817167153484,0.4155841840627162,0.3094213933509309,0.6158551812986843,0.3495231695706025,0.4249332480734059,0.6158551812986843,0.4542960322330475,-0.0646619317636834,9.258917953047784e-06,-0.0646619317636834,-0.5140478900697347,9.071889121514686e-06,-0.5140478900697347,0.321041781218961,8.874745185494249e-06,0.321041781218961,-0.08588934687148571,-0.5140478900697347,2D AE mixed-T exclusion,2,normalized_delta,96
4,0.36684415058085795,0.409169265093576,0.38091376533633786,0.45098723208433705,0.3544805006173096,0.2950647187076117,0.36684415046975277,0.45098723208433705,0.40337376298971084,0.2943184431787813,0.591446153470315,0.3542871502577327,0.41335058230227634,0.591446153470315,0.4914143644953157,-0.04852778146744985,8.787308269120331e-06,-0.04852778146744985,-0.2356421171895975,1.0428120094729821e-05,-0.2356421171895975,0.5312001253134864,9.008251515751908e-06,0.5312001253134864,0.08234340888547968,-0.2356421171895975,2D AE mixed-T exclusion,2,normalized_delta,96
5,0.344459348211163,0.3771087395934094,0.3551130652427673,0.4162094973027706,0.35252243468635963,0.26464611246789754,0.3444593481523426,0.4162094973027706,0.3708281352870951,0.28165198813803727,0.5012419283157215,0.3623815508035477,0.3817584890857688,0.5012419283157215,0.5656790680740788,0.13010815560270494,8.3558661231109e-06,0.13010815560270494,-0.321384151849345,1.1039721357519738e-05,-0.321384151849345,0.5505207723197206,8.771030127263658e-06,0.5505207723197206,0.11974825869102686,-0.321384151849345,2D AE mixed-T exclusion,2,normalized_delta,96
6,0.3128627875917836,0.33255588790695917,0.31100049709018907,0.3155171542575485,0.3582197725380722,0.2648514334308474,0.312862786742156,0.3582197725380722,0.326373886684642,0.27985233697108924,0.3754586449940689,0.35515064242645167,0.3368205414638699,0.3754586449940689,0.7034156279890142,0.47509610675783576,8.21094738512329e-06,0.47509610675783576,-0.14884948990095426,9.557071348353929e-06,-0.14884948990095426,0.4958993291905006,8.762906111314805e-06,0.4958993291905006,0.2740486486824607,-0.14884948990095426,2D AE mixed-T exclusion,2,normalized_delta,96
7,0.29304375515172354,0.32043627134867403,0.2858959927370674,0.27088709928487475,0.34685695006659156,0.26138722116225643,0.29304375683790757,0.34685695006659156,0.31495497364942965,0.28085617325268686,0.33544142681057565,0.35626275022514164,0.32418678342946805,0.35626275022514164,0.7873302049708247,0.6005288660505874,7.102155780103203e-06,0.6005288660505874,-0.0616594089010678,8.963365871750284e-06,-0.0616594089010678,0.7476744442909589,7.78223845827597e-06,0.7476744442909589,0.42884796714682616,-0.0616594089010678,2D AE mixed-T exclusion,2,normalized_delta,96
8,0.2654774139586248,0.26358734636420483,0.2555187854719789,0.21620735447657735,0.34090576858112687,0.23931911795547134,0.26547741367105854,0.34090576858112687,0.25968055681472546,0.24852062125864904,0.2053520409099292,0.34371863734850194,0.2658637665056934,0.34371863734850194,0.9126574560151527,0.8669834185109481,4.6191228705083635e-06,0.8669834185109481,-0.01181691998177814,8.872815214999719e-06,-0.01181691998177814,0.8707148665015424,7.447947791661136e-06,0.8707148665015424,0.5752937883435708,-0.01181691998177814,2D AE mixed-T exclusion,2,normalized_delta,96
9,0.2258700577052016,0.2361411518637875,0.21397015848442127,0.14600488065104736,0.33146599139037886,0.20013929954484888,0.22587005719542505,0.33146599139037886,0.23348190388152082,0.21873197870445438,0.15544499392126454,0.33799203833041247,0.23738967031871047,0.33799203833041247,0.9528891132388503,0.9551164640076741,4.00151193957754e-06,0.9551164640076741,0.13555083808361001,8.521277982254105e-06,0.13555083808361001,0.8837820377826483,7.304736666924328e-06,0.8837820377826483,0.6581497799579775,0.13555083808361001,2D AE mixed-T exclusion,2,normalized_delta,96
10,0.21044194353254217,0.23259411319894227,0.19850127265641565,0.1296039342880249,0.3209765669546629,0.18074532777659202,0.2104419430064266,0.3209765669546629,0.23025079096765502,0.21964067996304948,0.14498241570981918,0.33628702243731823,0.23363670603672895,0.33628702243731823,0.9431052541797494,0.9569793029264744,3.900230569797713e-06,0.9569793029264744,0.03574832889134827,8.349632867066249e-06,0.03574832889134827,0.8115653161979712,7.099043779135173e-06,0.8115653161979712,0.6014309826719313,0.03574832889134827,2D AE mixed-T exclusion,2,normalized_delta,96
