source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.6014921035681786,0.12652957106353904,0.0635535199374179,1.863753767761267e-07,0.0007769546326017007,0.00015407032224175056
depablo_low_temp,10,20,20,20,0.7955937048336894,0.10206419358324967,0.08909196724582674,1.4457574517567907e-07,0.0006332865916192532,0.00011629236923909048
depablo_low_temp,25,20,20,20,0.8954888722935304,0.07049503613894252,0.1113451632350467,2.7152892565496247e-07,0.0006696165772154927,0.00020767467067344113
depablo_low_temp,50,20,20,20,0.9261070372144552,0.062175127480714874,0.12192390929122102,7.940149210128311e-07,0.0009075344540178775,0.0004058363367221318
depablo_low_temp,75,20,20,20,0.9523605645248445,0.0583342748841323,0.1271388104990921,1.7182033253959617e-06,0.001116500236093998,0.0005343164346413686
depablo_low_temp,100,20,20,20,0.9479865188058894,0.06806871379525654,0.1309363081666797,3.4240207412494782e-06,0.0017861205153167248,0.0006908707931870594
depablo_mixed_temp,5,20,20,20,0.04839185417101999,0.38038374251915286,0.22679945757564682,5.317644527167431e-05,0.010215170844458044,0.001892325216977042
depablo_mixed_temp,10,20,20,20,0.25748214175698136,0.2850739896869929,0.17922109704665723,5.0911219881299984e-05,0.009796499414369464,0.001899496585247107
depablo_mixed_temp,25,20,20,20,0.14131376845239385,0.2741892837447232,0.18142652653321048,4.644480191018374e-05,0.008745962881948798,0.002334607551165391
depablo_mixed_temp,50,20,20,20,0.5192549545185875,0.18739172187554265,0.12905106469273595,4.9198683200302185e-05,0.007797212712466717,0.0023406425447319635
depablo_mixed_temp,75,20,20,20,0.48900494791933224,0.17592479215794593,0.1721180025747532,4.878107563968115e-05,0.006864820467308163,0.0018643818533746527
depablo_mixed_temp,100,20,20,20,0.5106643341436445,0.1589087642112394,0.12643548055144446,6.355050783781734e-05,0.006316282041370869,0.0026955724286381157
lj_noisy,5,20,20,20,-9.667141219019786,0.08110638940386286,0.0012192600578043978,8.457954185914218e-08,0.000524638473871164,0.00021498439236893318
lj_noisy,10,20,20,20,-0.9052483154779374,0.051838498265304386,0.002153844244672589,8.015992474241784e-08,0.00043910678359679876,0.0001807285618269816
lj_noisy,25,20,20,20,0.24097759597782975,0.044909058830796364,0.004116859972161529,3.513326831239283e-07,0.0005129855475388467,0.00017177743720822036
lj_noisy,50,20,20,20,0.2611542849851606,0.05016070933481933,0.004765160046327359,1.686652350940676e-06,0.0006601474480703474,0.00023993735667318105
lj_noisy,75,20,20,20,0.5182812217316424,0.042616456163490024,0.005096114207392416,4.351535994828737e-06,0.000742923840880394,0.00040337529499083756
lj_noisy,100,20,20,20,0.6677397998927679,0.03384028031375848,0.005310082358180217,8.44321627937461e-06,0.0009620653465390206,0.0004985273350030184
reid,5,20,20,20,-1.8198393641050288,0.20897496181634412,0.02154076783415691,5.076762157329995e-08,0.00042568577773636205,0.0002340041446586838
reid,10,20,20,20,-0.044140544968345186,0.1485512178470426,0.028346618455362994,6.502712746048189e-08,0.0003459490486420691,0.00024668746773386373
reid,25,20,20,20,0.8598084422101082,0.060271293533873935,0.034074291474254684,3.148358086235703e-07,0.00046318243257701395,0.0002111442168825306
reid,50,20,20,20,0.9055125508044815,0.05089397693463645,0.03674579830514,1.4569419136023498e-06,0.0007271323818713426,0.00035192737414035946
reid,75,20,20,20,0.9481813478520242,0.03983003520456981,0.03814548712888468,3.54291832564968e-06,0.0009799598716199397,0.00043744808208430187
reid,100,20,20,20,0.950202250307987,0.03635697077086759,0.039261933802947645,6.838826527655328e-06,0.0014355089981108904,0.0005614888272248208
