variant,source,frame,seeds,r2_mean,r2_std,r2_min,position_mse,strain_x_mae,strain_y_mae,p_ratio_mae,valid_min,total_min
dimension4,depablo_low_temp,5,5,0.599623214843005,0.24897115302356104,0.3051453565432845,1.6322694040948882e-07,0.00068655418872362,0.00015244002199318,0.1307323828566812,20,20
dimension4,depablo_low_temp,10,5,0.7636705313058191,0.09822901896397895,0.6428684017019255,1.3822099394822374e-07,0.00063803080411158,0.0001532261955071,0.11679031311010166,20,20
dimension4,depablo_low_temp,25,5,0.9169260045702601,0.03492331489654097,0.8670244287755223,2.2907511292302733e-07,0.00063833108637476,0.00021660448488542003,0.07474560244996452,20,20
dimension4,depablo_low_temp,50,5,0.9523557643677997,0.023632211604557894,0.925859984296438,6.927126542777273e-07,0.0007700788229703401,0.00033787450054656,0.057242261006490214,20,20
dimension4,depablo_low_temp,75,5,0.9689198470205616,0.014006935141165067,0.9515602106753572,1.5614173435096745e-06,0.00098756743595,0.00045664831588506,0.048157282678952376,20,20
dimension4,depablo_low_temp,100,5,0.9667395268805749,0.011356189927188202,0.956081940306981,3.1577005668737005e-06,0.0015136985108255801,0.00061251397710288,0.05425573742885108,20,20
dimension4,depablo_mixed_temp,5,5,0.27754362771044755,0.07752932302326956,0.1854764856729315,3.679614521232111e-05,0.007790129669592661,0.00094762761284066,0.3182246239677404,20,20
dimension4,depablo_mixed_temp,10,5,0.43750977305060335,0.12621149631872638,0.2626312423262439,4.023886784295883e-05,0.007773293557111099,0.0009096295236667599,0.2390483487214589,20,20
dimension4,depablo_mixed_temp,25,5,0.4779234403317886,0.07815152073961909,0.3580011161077072,3.966558530393627e-05,0.00747615346917878,0.00107675336548702,0.22139635423131915,20,20
dimension4,depablo_mixed_temp,50,5,0.7467794691758204,0.06467885102933614,0.6480569667542633,3.903642157041532e-05,0.00649291361682112,0.0012751570770342,0.1335714605852662,20,20
dimension4,depablo_mixed_temp,75,5,0.7337923287886259,0.04744244271826301,0.659034522956484,3.752396256857082e-05,0.0056236805208027,0.0012893525525578,0.12951909431033784,20,20
dimension4,depablo_mixed_temp,100,5,0.8503285779103245,0.07569023605224845,0.7244975075925697,4.6499458170501386e-05,0.0053740508295595,0.0015099035817547,0.09329583484661058,20,20
dimension4,lj_noisy,5,5,-14.349275151978992,9.426152380188785,-24.50330474988267,8.77787090569626e-08,0.00053546952665778,0.00018444241548418,0.10473235807636219,20,20
dimension4,lj_noisy,10,5,-2.381989509946115,0.9538580637285682,-3.427134195638989,8.369889931358899e-08,0.00040802526345936,0.00016639337132794,0.06877608215600058,20,20
dimension4,lj_noisy,25,5,0.25609071576964093,0.1466020648972887,0.0700248096453283,3.545626880452346e-07,0.00045579656492911993,0.00018771182221822,0.04418561748571572,20,20
dimension4,lj_noisy,50,5,0.33230684953006534,0.11552105338873164,0.2166382244657744,1.69324945545668e-06,0.000625095013529,0.00026500382577064,0.0453138193990138,20,20
dimension4,lj_noisy,75,5,0.2994729994838421,0.2643251263805157,-0.1059357555963635,4.345272366208519e-06,0.00077437187544998,0.00046285344287746,0.04583199678398826,20,20
dimension4,lj_noisy,100,5,0.09164970959278504,0.2353154312465522,-0.1679609570663462,8.49364167152089e-06,0.00113498355261976,0.00067528582178052,0.05399693655221864,20,20
dimension4,reid,5,5,-1.3541586985570717,1.0150252274332292,-2.870939049439285,5.08756310568792e-08,0.00038163629360492003,0.00023085833410728,0.1938314970158063,20,20
dimension4,reid,10,5,-0.1110012622446435,0.6285323969091665,-0.9797608336738954,6.987646036904493e-08,0.00030875571828796,0.00026722038095606,0.14946297631721434,20,20
dimension4,reid,25,5,0.7996431551072274,0.1464569370550523,0.6092009390989889,3.112575863895017e-07,0.00040556765627112,0.00025091623410838,0.06497226920778056,20,20
dimension4,reid,50,5,0.9099056546672062,0.05324436619508998,0.8495218027750764,1.4346414508281668e-06,0.0006595764122902801,0.0003086922017246,0.042555737039223926,20,20
dimension4,reid,75,5,0.941163588540535,0.02316902021341412,0.9124816950403616,3.512900061082291e-06,0.00081322258338326,0.00041135330044194,0.0365927802919338,20,20
dimension4,reid,100,5,0.9409907840419057,0.021340572530875044,0.9029296972889336,7.079289151761259e-06,0.0013412283640354401,0.0005373574524128001,0.037992511069893896,20,20
dimension4_response,depablo_low_temp,5,5,0.5884157300100451,0.14730200710007302,0.3968467069194741,3.380071720848754e-07,0.00097598437394478,0.00023406502812572,0.1317121704520668,20,20
dimension4_response,depablo_low_temp,10,5,0.7599953113452194,0.053282440177866076,0.6986458409265941,2.770265269091965e-07,0.00087652555725068,0.00022498255086244,0.11968958036810695,20,20
dimension4_response,depablo_low_temp,25,5,0.8969087055117638,0.052478542285876166,0.8164099704950147,3.5587537414727424e-07,0.0008906782476696601,0.00027301465524938,0.08334396332009304,20,20
dimension4_response,depablo_low_temp,50,5,0.9439058871042498,0.02535529204422111,0.9196923494322436,8.045793023114812e-07,0.0009492566157131999,0.00037769837756056,0.06222464683106947,20,20
dimension4_response,depablo_low_temp,75,5,0.9652690026477148,0.014053965356528938,0.9521998655625772,1.6893247286020596e-06,0.0011101890634744999,0.00051463231386146,0.05099605944236278,20,20
dimension4_response,depablo_low_temp,100,5,0.9675200450966968,0.010735755805305659,0.9570577388317316,3.320246220823719e-06,0.0015273624192922801,0.0007279369019669799,0.054299490635143076,20,20
dimension4_response,depablo_mixed_temp,5,5,0.29090871701829996,0.043206281993855046,0.2374835769405618,3.330207194082391e-05,0.007030378972995061,0.00093406011757904,0.31799015732796904,20,20
dimension4_response,depablo_mixed_temp,10,5,0.4577297628118198,0.0859197382639696,0.3789685557395208,3.833221378158668e-05,0.00714222786016758,0.00076810020891566,0.23401213046755726,20,20
dimension4_response,depablo_mixed_temp,25,5,0.47348385310290614,0.03768120476617549,0.4344200499625336,3.7491025498894714e-05,0.00697419715346762,0.0009205668573849201,0.2227818760881674,20,20
dimension4_response,depablo_mixed_temp,50,5,0.7534889859670145,0.045736567297638586,0.707137683265517,3.7588249174689284e-05,0.006214145501144181,0.00116061586988502,0.13688930214586909,20,20
dimension4_response,depablo_mixed_temp,75,5,0.7124729072310173,0.06880141315743604,0.5942010359977965,3.82699715015633e-05,0.005845775441266561,0.00130196631420398,0.13021002052818326,20,20
dimension4_response,depablo_mixed_temp,100,5,0.8610136732665292,0.05559439014939334,0.7812829134560089,4.656536539982881e-05,0.005729780960828,0.00138617929478638,0.09353506631761047,20,20
dimension4_response,lj_noisy,5,5,-17.254528363472183,6.537714585646083,-25.780598071373216,1.7047923272617286e-07,0.00077530704875238,0.00021965176012596002,0.12064111671467222,20,20
dimension4_response,lj_noisy,10,5,-4.9905276076916705,2.0202713213459553,-7.932855596536342,1.27112796821649e-07,0.00057062166684766,0.00021024385961932002,0.09227068705506089,20,20
dimension4_response,lj_noisy,25,5,-0.4502387720749862,0.8102122010060582,-1.8528913016218187,3.859913759640677e-07,0.00054756978526708,0.00027718962286594,0.05984659077513939,20,20
dimension4_response,lj_noisy,50,5,0.1172030081699815,0.42549427842461357,-0.6108687299495912,1.7598186428813278e-06,0.00075518114957954,0.00037134820478964,0.051347926401130714,20,20
dimension4_response,lj_noisy,75,5,0.23074503818702757,0.34038648116571024,-0.3078846078293027,4.385871641261474e-06,0.0008457053871825,0.00046672647586086004,0.04760533472173882,20,20
dimension4_response,lj_noisy,100,5,0.21009383048275918,0.28509321187112074,-0.2461505318408703,8.58667701777449e-06,0.00124854613095516,0.00068281340645622,0.050559230856340065,20,20
dimension4_response,reid,5,5,-1.4454982165911694,0.8423212204805394,-2.774488796406641,8.346866465336334e-08,0.00052258236537452,0.00025303994043492,0.1961055391345862,20,20
dimension4_response,reid,10,5,-0.5463230565219654,0.8152432865916169,-1.536469707351983,9.541615314301312e-08,0.00037161363812621996,0.00032902540915524,0.1758271853065093,20,20
dimension4_response,reid,25,5,0.27135092544960876,0.9711864559954805,-1.4137204476060328,4.0598780302048e-07,0.00048274076078083997,0.00045972886808152,0.11113757958196153,20,20
dimension4_response,reid,50,5,0.8023082751692368,0.19025990469475726,0.4776748601010705,1.539440946061177e-06,0.00070810167118902,0.00050647462558112,0.06632744761558704,20,20
dimension4_response,reid,75,5,0.934803523912751,0.021128870082814125,0.9003911011794732,3.609840257468022e-06,0.00092616275884208,0.00047499937878454,0.040966485811598195,20,20
dimension4_response,reid,100,5,0.8695635419250207,0.1678885840877038,0.5694926357322195,7.590501285790197e-06,0.00173505282960828,0.0008390930833411199,0.05417617015863356,20,20
equal_source,depablo_low_temp,5,5,0.45158614846605855,0.1316097973129768,0.3208272181169438,3.920448040339863e-07,0.00107657972577722,0.00023103744044416,0.1470244779532873,20,20
equal_source,depablo_low_temp,10,5,0.7623242965226333,0.0490585312244708,0.6895438139014012,2.771182766814206e-07,0.0008331444731447399,0.00021309645184369998,0.11761029176630826,20,20
equal_source,depablo_low_temp,25,5,0.9307269939996271,0.0314854870412874,0.8912430809824903,2.3333604710629173e-07,0.0005786253116092999,0.00022423773494659999,0.06448234820579478,20,20
equal_source,depablo_low_temp,50,5,0.9663139192100838,0.020269700982799836,0.9324351779246672,6.623667031391278e-07,0.00063136820215726,0.00032167820550962,0.047269920486871744,20,20
equal_source,depablo_low_temp,75,5,0.9650031275964185,0.020988241254384626,0.9372735625969832,1.5821597575893519e-06,0.00086765774525698,0.0005505286372499199,0.04910648157295466,20,20
equal_source,depablo_low_temp,100,5,0.9500651340499575,0.040030997108820826,0.8852665845484077,3.465847725863114e-06,0.00161372867412862,0.00092412132013118,0.06044588489297398,20,20
equal_source,depablo_mixed_temp,5,5,0.21358126409337758,0.1620047096967885,0.0603074814922095,4.453653226264009e-05,0.00933249744004562,0.00163955799522222,0.34036688931296516,20,20
equal_source,depablo_mixed_temp,10,5,0.37001651652084083,0.10400755213657178,0.2244495257028139,4.4069712203480545e-05,0.009015653408132419,0.00141308461956208,0.2586570519080606,20,20
equal_source,depablo_mixed_temp,25,5,0.30185308553325424,0.13423958366326597,0.1716408853603013,4.142641582603801e-05,0.00821299717761572,0.00154522999800972,0.259046038781229,20,20
equal_source,depablo_mixed_temp,50,5,0.6381411262419817,0.08861667614593084,0.5224777206444005,3.901140235456069e-05,0.00680702910292888,0.00173694931378118,0.16226986966360876,20,20
equal_source,depablo_mixed_temp,75,5,0.6070974812819602,0.08849634875303189,0.5091947628590054,3.791070052670875e-05,0.00558898365125054,0.00172828137699974,0.1550318878579955,20,20
equal_source,depablo_mixed_temp,100,5,0.6819797846043334,0.1449553989691672,0.5477479465616633,4.904358163344113e-05,0.004926431216299499,0.0022940559487324,0.1324247222401021,20,20
equal_source,lj_noisy,5,5,-42.91304054467283,57.88211269237372,-140.41449112243097,1.7640834168553002e-07,0.00077927635837108,0.00022712902689812003,0.16200286205053344,20,20
equal_source,lj_noisy,10,5,-14.150960232442278,21.37229616925708,-50.76130437933952,1.1791768299573846e-07,0.0005089525174115999,0.00021276474639304,0.12604839915871266,20,20
equal_source,lj_noisy,25,5,-1.1037678088973355,1.6553927295270745,-3.848344612096024,3.688425388759242e-07,0.00042955400887874,0.00026400498114522,0.06968000302702751,20,20
equal_source,lj_noisy,50,5,0.13254174884746864,0.27842430161147874,-0.3509388161137377,1.8180724595140418e-06,0.0008617167826741399,0.00032235297374422006,0.053496801912919126,20,20
equal_source,lj_noisy,75,5,0.32952168242379865,0.40652589182548876,-0.3666175258747921,4.5147549190005514e-06,0.0010367114003747,0.00045534429838874,0.044608591799177574,20,20
equal_source,lj_noisy,100,5,-0.2021067014667537,1.4352004112771952,-2.767239353973877,8.73436389156268e-06,0.00126148900017138,0.00070637377444648,0.04915197639823554,20,20
equal_source,reid,5,5,-1.1857607899629268,1.4422463842327164,-3.067526060792156,6.724343500685848e-08,0.00044036008359396003,0.0001735856101549725,0.16744086943072695,20,20
equal_source,reid,10,5,0.11787682696028257,0.6821840888818077,-0.8577342025650823,6.649043246653718e-08,0.00029340906185092,0.0002075762869116886,0.12425038112567785,20,20
equal_source,reid,25,5,0.7817925871317509,0.1336523308099799,0.5715984524007005,3.518491035947591e-07,0.00050702214706684,0.0002433015786482,0.06972323826792644,20,20
equal_source,reid,50,5,0.8916983439073158,0.06496330010453093,0.7883267146919217,1.7653844940923591e-06,0.0011112209083511998,0.00030768914119102,0.04850646753794408,20,20
equal_source,reid,75,5,0.9448855087665008,0.02379320973125375,0.9121502709929964,3.6264388614881688e-06,0.00089680076576764,0.00042031466247860005,0.03648500267360206,20,20
equal_source,reid,100,5,0.88432186571511,0.13045887194318453,0.6573040901654571,7.543325655774424e-06,0.00171769796870642,0.00071302342257688,0.04960904626328396,20,20
lj_edges,depablo_low_temp,5,5,0.13367333269756262,0.36292628888438366,-0.5095203921705072,1.96389450772827e-07,0.00090827322972468,0.00016513182163178,0.1916192727222404,20,20
lj_edges,depablo_low_temp,10,5,0.62274769221997,0.11305235730046338,0.4535612947505913,1.295435621173624e-07,0.0006490278092678001,0.0002086983378103,0.16051429102558018,20,20
lj_edges,depablo_low_temp,25,5,0.8649486091303327,0.044322425976980946,0.7986094287743264,2.083707158462289e-07,0.00046951945871107997,0.00036344519146944,0.10328863917953321,20,20
lj_edges,depablo_low_temp,50,5,0.9340486423590205,0.011668721186799612,0.9145707898542266,7.110238375673817e-07,0.00062974704429504,0.00049249743751712,0.0771713240526738,20,20
lj_edges,depablo_low_temp,75,5,0.9537089886979142,0.010988640828577038,0.9407158583495716,1.6355399947087792e-06,0.00083907935768364,0.0006580404692794599,0.06678902419676094,20,20
lj_edges,depablo_low_temp,100,5,0.9486788022346179,0.025107566559843607,0.9080679399547358,3.562336161166968e-06,0.00145754694938654,0.0008717064943629799,0.06377957703719522,20,20
lj_edges,depablo_mixed_temp,5,5,-0.6135645896089421,0.5283309805651827,-1.358446693520082,1.4670028994530072e-05,0.0014793316245777202,0.00066930097433208,0.4888102491720665,20,20
lj_edges,depablo_mixed_temp,10,5,-0.4684070281701387,0.5485393629034174,-1.2461755423636642,1.7604866671661056e-05,0.0021835302520775797,0.00092970463112572,0.36986559249768886,20,20
lj_edges,depablo_mixed_temp,25,5,-0.21933827472444595,0.5185242553681763,-0.9687852163772904,1.691355582792653e-05,0.0022754050244111,0.00098438419532608,0.30549651513468173,20,20
lj_edges,depablo_mixed_temp,50,5,0.06154462662837064,0.47550067589321054,-0.6493480501671383,2.1949102624034822e-05,0.00328388568479562,0.0014331571552611,0.23462861024701956,20,20
lj_edges,depablo_mixed_temp,75,5,0.4617153563277433,0.15806498066437022,0.2220033614844908,2.337766641574035e-05,0.00362135021481658,0.00182029636765942,0.19558688397656523,20,20
lj_edges,depablo_mixed_temp,100,5,0.28748515559720417,0.36080926067659475,-0.1085201382489795,3.165692214111004e-05,0.00439658021088684,0.0022659812448546,0.18235069797745035,20,20
lj_edges,lj_noisy,5,5,-2.4380481880688527,2.3886810700354704,-5.945541222672715,8.574366485269992e-08,0.00055506595817854,0.00017982431178092045,0.05033468003126158,20,20
lj_edges,lj_noisy,10,5,-0.5361395090417487,0.746309829369355,-1.8446918319333272,5.679184486240275e-08,0.00030372350709508,0.00011393271182891999,0.04660820099062592,20,20
lj_edges,lj_noisy,25,5,0.06932585472722344,0.18756075311261533,-0.2114993753535299,3.258975010567156e-07,0.00041366513352836004,0.00021814408013592,0.050785054765441394,20,20
lj_edges,lj_noisy,50,5,0.019027462095011237,0.18408828806590727,-0.2281587205539865,1.6131930181018106e-06,0.00064778857398774,0.00027499923948192,0.055970080932728136,20,20
lj_edges,lj_noisy,75,5,0.20097700508645633,0.09264857483258446,0.0951173423968115,4.262763777660439e-06,0.0009408603003248,0.0004326091147959,0.05291882385910311,20,20
lj_edges,lj_noisy,100,5,-0.16504085866975096,0.2289184731869794,-0.4217315121108185,8.619603404440566e-06,0.0014938741270452201,0.00065972866490478,0.06555319127501755,20,20
