source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error,variant,seed
depablo_low_temp,5,20,20,20,0.6639882618002457,0.0840392222164984,0.0635535199374179,6.01188049342838e-08,0.0004760565265314,0.0001226142510859,longer,3456456
depablo_low_temp,10,20,20,20,0.8945409122266276,0.0621605594315068,0.0890919672458267,4.9503179777588e-08,0.0003399733279366,9.428247649339028e-05,longer,3456456
depablo_low_temp,25,20,20,20,0.9786482276581696,0.0359530218885645,0.1113451632350467,1.487882212991565e-07,0.0003560560755431,9.546126893837936e-05,longer,3456456
depablo_low_temp,50,20,20,20,0.9919290000188272,0.0251753969816578,0.121923909291221,5.934653657391209e-07,0.0005356464767828,0.0001675750638241,longer,3456456
depablo_low_temp,75,20,20,20,0.9926217814479316,0.0237277881948687,0.1271388104990921,1.374627748162993e-06,0.0005631612148135,0.0002646553068188,longer,3456456
depablo_low_temp,100,20,20,20,0.9880419804426248,0.0318674725108054,0.1309363081666797,2.6629348312212643e-06,0.0007445194758474,0.0004398832534207,longer,3456456
depablo_mixed_temp,5,20,20,20,0.2604069513624029,0.3258133062523798,0.2267994575756468,4.086250477541853e-05,0.0091855262639001,0.0005857991956872,longer,3456456
depablo_mixed_temp,10,20,20,20,0.4165668660275947,0.2553757935044736,0.1792210970466572,4.539368943099475e-05,0.0091731629217974,0.000530820199674,longer,3456456
depablo_mixed_temp,25,20,20,20,0.3884831806887665,0.2335969706227039,0.1814265265332104,4.284130367793182e-05,0.008702716731932,0.0004464811863726,longer,3456456
depablo_mixed_temp,50,20,20,20,0.7464668886969943,0.1348408992480674,0.1290510646927359,3.844542832922571e-05,0.0076732121640816,0.0007319144438952,longer,3456456
depablo_mixed_temp,75,20,20,20,0.5997628409192821,0.1549195324100269,0.1721180025747532,4.0906307003751866e-05,0.0074129754677414,0.0009204412752296,longer,3456456
depablo_mixed_temp,100,20,20,20,0.7786348097673272,0.114893387164363,0.1264354805514444,5.539577689432918e-05,0.0076686627697199,0.0009572073526214,longer,3456456
lj_noisy,5,20,20,20,-2.738892361861525,0.0545747141085464,0.0012192600578043,6.690502329931293e-08,0.0004848041658988,0.0001451098294637,longer,3456456
lj_noisy,10,20,20,20,-0.293701940499439,0.0435155907810726,0.0021538442446725,6.476483545014844e-08,0.0003447890863753,0.0001260245771845,longer,3456456
lj_noisy,25,20,20,20,0.1326234755974902,0.0484579858856163,0.0041168599721615,3.315241450252415e-07,0.0004330636467784,0.0001509828376583,longer,3456456
lj_noisy,50,20,20,20,0.3737418292789821,0.0450385281963037,0.0047651600463273,1.6548378908964878e-06,0.0005890796193853,0.0002830826095305,longer,3456456
lj_noisy,75,20,20,20,0.2848646926316235,0.0528582896212072,0.0050961142073924,4.326698444856447e-06,0.0007033979520201,0.0004608233924955,longer,3456456
lj_noisy,100,20,20,20,0.0451406589032034,0.0623826863796313,0.0053100823581802,8.562949733459391e-06,0.0010460470803081,0.0007066156365908,longer,3456456
reid,5,20,20,20,-0.6793743701755315,0.162742648494425,0.0215407678341569,3.2571088914856724e-08,0.0002531247664592,0.0001773277115717,longer,3456456
reid,10,20,20,20,0.3565368333378974,0.1186826727456428,0.0283466184553629,5.1699423542217465e-08,0.0001988301752135,0.0002090898764436,longer,3456456
reid,25,20,20,20,0.92012327166182,0.0458564837028788,0.0340742914742546,2.870175450198076e-07,0.0002993793110363,0.0001717026920232,longer,3456456
