variant,seed,completed
longer,3456456,True
longer,123,True
longer,456,True
longer,786,True
longer,2026,True
equal_source,3456456,True
equal_source,123,True
equal_source,456,True
equal_source,786,True
equal_source,2026,True
response_selection,3456456,True
response_selection,123,True
response_selection,456,True
response_selection,786,True
response_selection,2026,True
wider,3456456,True
wider,123,True
wider,456,True
wider,786,True
wider,2026,True
dimension4,3456456,True
dimension4,123,True
dimension4,456,True
dimension4,786,True
dimension4,2026,True
dimension4_response,3456456,True
dimension4_response,123,True
dimension4_response,456,True
dimension4_response,786,True
dimension4_response,2026,True
lj_edges,3456456,True
lj_edges,123,True
lj_edges,456,True
lj_edges,786,True
lj_edges,2026,True
lj_edges_response,3456456,True
lj_edges_response,123,True
lj_edges_response,456,True
lj_edges_response,786,True
lj_edges_response,2026,True
