variant,seed,source,selected_epoch,epochs,train_mse,val_mse,val_train_ratio,criterion
dimension4,2026,reid,24,32,0.1533018058754111,0.2002407454929198,1.306186475426494,val_max_source_reconstruction
dimension4,2026,depablo_low_temp,24,32,0.0888196665597589,0.1257374116248684,1.4156483186105053,val_max_source_reconstruction
dimension4,2026,lj_noisy,24,32,0.3047494133052073,0.326291978082736,1.0706894380661327,val_max_source_reconstruction
dimension4,3456456,reid,38,40,0.1460030195744414,0.2109629154074355,1.4449215915008766,val_max_source_reconstruction
dimension4,3456456,depablo_low_temp,38,40,0.0802908432228784,0.1110250130659551,1.3827854909651662,val_max_source_reconstruction
dimension4,3456456,lj_noisy,38,40,0.2909718885233527,0.3265791128796991,1.1223734173670479,val_max_source_reconstruction
dimension4,456,reid,34,40,0.1473359011505779,0.2009695531596662,1.3640229678595068,val_max_source_reconstruction
dimension4,456,depablo_low_temp,34,40,0.0841513519420435,0.1174053566428483,1.395168989367009,val_max_source_reconstruction
dimension4,456,lj_noisy,34,40,0.3020896616734956,0.3311388361180434,1.0961607698973317,val_max_source_reconstruction
dimension4,786,reid,16,24,0.1524792216914264,0.219838790151698,1.4417622789063536,val_max_source_reconstruction
dimension4,786,depablo_low_temp,16,24,0.0914056679135874,0.1248438143666135,1.3658213677147206,val_max_source_reconstruction
dimension4,786,lj_noisy,16,24,0.3032525745269499,0.3259242564527085,1.0747617129421725,val_max_source_reconstruction
equal_source,2026,reid,23,31,0.1576130900728075,0.2101547930506058,1.3333587518240224,val_max_source_reconstruction
equal_source,2026,depablo_low_temp,23,31,0.0948563897590104,0.1326141874233144,1.3980522320133673,val_max_source_reconstruction
equal_source,2026,lj_noisy,23,31,0.3048163957893848,0.3252330884861294,1.066980296922255,val_max_source_reconstruction
equal_source,3456456,reid,40,40,0.1456644539378191,0.209448105233605,1.4378806879200172,val_max_source_reconstruction
equal_source,3456456,depablo_low_temp,40,40,0.0844025719126588,0.121912596419861,1.4444180272849767,val_max_source_reconstruction
equal_source,3456456,lj_noisy,40,40,0.2934428732450071,0.3314756843465147,1.1296089105212397,val_max_source_reconstruction
equal_source,456,reid,17,25,0.1516011673172838,0.2202401271497365,1.4527601010406421,val_max_source_reconstruction
equal_source,456,depablo_low_temp,17,25,0.0871799548205576,0.1093776023117243,1.2546187083585452,val_max_source_reconstruction
equal_source,456,lj_noisy,17,25,0.2978507944627812,0.3302262088836869,1.1086967536188705,val_max_source_reconstruction
equal_source,786,reid,5,13,0.2120178013647857,0.2458944844693178,1.1597822583125736,val_max_source_reconstruction
equal_source,786,depablo_low_temp,5,13,0.1943966762015694,0.1600745762116275,0.8234429689818697,val_max_source_reconstruction
