epoch,train_objective,val_objective,train_mse_norm,train_source_depablo_low_temp_reconstruction,train_source_lj_noisy_reconstruction,train_source_reid_reconstruction,train_macro_source_reconstruction,train_max_source_reconstruction,val_mse_norm,val_source_reid_reconstruction,val_source_depablo_low_temp_reconstruction,val_source_lj_noisy_reconstruction,val_macro_source_reconstruction,val_max_source_reconstruction,val_ae_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_step_100,val_ae_source_depablo_low_temp_position_mse_step_100,val_ae_source_depablo_low_temp_p_ratio_r2_sum_100,val_ae_source_lj_noisy_p_ratio_r2_step_100,val_ae_source_lj_noisy_position_mse_step_100,val_ae_source_lj_noisy_p_ratio_r2_sum_100,val_ae_source_reid_p_ratio_r2_step_100,val_ae_source_reid_position_mse_step_100,val_ae_source_reid_p_ratio_r2_sum_100,val_ae_mean_source_p_ratio_r2_step_100,val_ae_min_source_p_ratio_r2_sum_100,dataset,latent_dim,target_mode,hidden_size
1,0.6517666206548088,0.590042766114991,0.6622785505495573,0.6365475812632787,0.8315141837063589,0.48723809236758636,0.651766619112408,0.8315141837063589,0.5845443992826499,0.38095713561051525,0.7136666472069919,0.6813440028345212,0.5919892618840095,0.7136666472069919,0.01462347846555423,-0.23787460018722406,1.083322988506552e-05,-0.23787460018722406,-20.805779750405527,1.4828458097326802e-05,-20.805779750405527,0.07038473374268173,1.237935915696653e-05,0.07038473374268173,-6.991089872283357,-20.805779750405527,2D AE mixed-T exclusion,2,normalized_delta,128
2,0.5256968308436243,0.5491735675029065,0.5407664925644272,0.5342179697203009,0.6793455634462205,0.3635269604231182,0.5256968311965465,0.6793455634462205,0.5442855358319847,0.3445838511688635,0.6480527671519667,0.6593639031052589,0.5506668404753631,0.6593639031052589,0.1343735321213292,0.014416034181294779,8.763556979829446e-06,0.014416034181294779,-22.303555821349036,1.5488095732507647e-05,-22.303555821349036,0.40465316323221234,9.809602681798424e-06,0.40465316323221234,-7.294828874645177,-22.303555821349036,2D AE mixed-T exclusion,2,normalized_delta,128
3,0.433450138490451,0.3978545666035069,0.4282084088576467,0.3467008605599403,0.613933596250258,0.3397159604649795,0.43345013909172597,0.613933596250258,0.39267323554346434,0.337878583552083,0.29708273979485966,0.5650362425949425,0.39999918864729506,0.5650362425949425,0.5269563817023322,0.7383019669939019,8.596777752245543e-06,0.7383019669939019,-13.287162697632084,1.7058514094969725e-05,-13.287162697632084,-0.03883572030698623,1.0136943785710173e-05,-0.03883572030698623,-4.195898816981723,-13.287162697632084,2D AE mixed-T exclusion,2,normalized_delta,128
4,0.36589615203832326,0.36058366016827914,0.3557977587768906,0.2771710146414606,0.49872494685022456,0.32179249576047847,0.3658961524173879,0.49872494685022456,0.35613808141237024,0.33485638719866984,0.2803425688180141,0.4704901854856871,0.36189638050079037,0.4704901854856871,0.6589537566197451,0.8276572573828547,9.566956600792765e-06,0.8276572573828547,-7.358211794394265,1.528261755083804e-05,-7.358211794394265,-0.06611415626436346,1.067781147412461e-05,-0.06611415626436346,-2.198889564425258,-7.358211794394265,2D AE mixed-T exclusion,2,normalized_delta,128
5,0.3476696960235897,0.348340732462116,0.33951318930638463,0.27695422611738507,0.45077688888107476,0.31527797030775173,0.3476696951020705,0.45077688888107476,0.3436322620432628,0.3215272256784374,0.2663339051505318,0.46106206078547984,0.349641063871483,0.46106206078547984,0.689060977234733,0.8253357687788772,7.901090998529981e-06,0.8253357687788772,-7.390783437725,1.5010513789093238e-05,-7.390783437725,0.19068029849426038,9.786430268832191e-06,0.19068029849426038,-2.1249224568172878,-7.390783437725,2D AE mixed-T exclusion,2,normalized_delta,128
6,0.3397060657802381,0.33971649616417526,0.3322855035725393,0.2714413696998044,0.4383454247132728,0.3093313996336962,0.33970606468225784,0.4383454247132728,0.33543568268957497,0.3306802978986525,0.24886398363742046,0.44267244660295546,0.34073890937967616,0.44267244660295546,0.7103342212598489,0.8537675424967298,8.069642638020013e-06,0.8537675424967298,-6.646973611909332,1.458973888475157e-05,-6.646973611909332,0.16812695351075746,1.0216481007319089e-05,0.16812695351075746,-1.8750263719672817,-6.646973611909332,2D AE mixed-T exclusion,2,normalized_delta,128
7,0.3277479770544328,0.31963832051444213,0.31906737653832684,0.252353905572703,0.42825433009941327,0.30263569547157537,0.3277479770478972,0.42825433009941327,0.31580358976498246,0.3207558432332007,0.21522411076148273,0.4245643347676378,0.3201814295874404,0.4245643347676378,0.8047468539655599,0.9105380996287948,5.248288965731263e-06,0.9105380996287948,-6.056793555533715,1.2701131140602229e-05,-6.056793555533715,0.6661641812567709,1.0049281968349533e-05,0.6661641812567709,-1.4933637582160497,-6.056793555533715,2D AE mixed-T exclusion,2,normalized_delta,128
8,0.2594438688535439,0.25766011052519866,0.2465687606679766,0.1629647906673582,0.3594338475873596,0.25593296948232147,0.25944386924567975,0.3594338475873596,0.2544377028844074,0.2643934838124551,0.1682355026860023,0.34555216068110894,0.2593937157265221,0.34555216068110894,0.9268595108337571,0.9411464841657392,3.923889926227275e-06,0.9411464841657392,-1.4760257018468184,9.40879854169907e-06,-1.4760257018468184,0.9368199697130782,1.1610619759494512e-05,0.9368199697130782,0.13398025067733302,-1.4760257018468184,2D AE mixed-T exclusion,2,normalized_delta,128
9,0.20588560986675714,0.23497370370957804,0.19419595093319292,0.11852740868926048,0.3193431554264144,0.1797862653865626,0.20588560983407914,0.3193431554264144,0.2321072235580926,0.2254761342992424,0.14022950136859436,0.34344066279300023,0.23638209948694566,0.34344066279300023,0.9535787069395508,0.9618363898155394,3.614157944298313e-06,0.9618363898155394,-0.5374557831392317,9.272281909034064e-06,-0.5374557831392317,0.957997544540588,8.749806340802024e-06,0.957997544540588,0.4607927170722986,-0.5374557831392317,2D AE mixed-T exclusion,2,normalized_delta,128
10,0.19695577135211542,0.23126926436824233,0.18487780709799967,0.10558663653699975,0.31580667656503225,0.16947399717020362,0.1969557700907452,0.31580667656503225,0.22844773353518624,0.22578393621370196,0.1374207804328762,0.3358611358999042,0.23302195084882746,0.3358611358999042,0.9489475873045371,0.950362819012044,3.5371531112105004e-06,0.950362819012044,-0.2833908851849123,9.151134304374863e-06,-0.2833908851849123,0.9242677310615883,8.116268921298797e-06,0.9242677310615883,0.5304132216295733,-0.2833908851849123,2D AE mixed-T exclusion,2,normalized_delta,128
