source,frame,total,valid,true_valid,p_ratio_r2,p_ratio_mae,target_variance,position_mse,strain_x_error,strain_y_error
depablo_low_temp,5,20,20,20,0.4740111041910229,0.1626735657438784,0.0635535199374179,1.8500655030173618e-07,0.0009291372494772077,0.00014652281970484182
depablo_low_temp,10,20,20,20,0.7235182444764998,0.1412893083547581,0.08909196724582674,1.0911109287192744e-07,0.0006507085519842804,0.00016362914684577844
depablo_low_temp,25,20,20,20,0.9137332741521762,0.08672846828129871,0.1113451632350467,1.593979756187025e-07,0.00041157524101436137,0.00025642330583650617
depablo_low_temp,50,20,20,20,0.9667599740825747,0.05534372771388004,0.12192390929122102,5.924027249193386e-07,0.0005343548022210598,0.00027996751596219837
depablo_low_temp,75,20,20,20,0.9747776304987261,0.04099896106190338,0.1271388104990921,1.4435874597040766e-06,0.0006240290123969317,0.00041166884184349326
depablo_low_temp,100,20,20,20,0.910897417474668,0.0850197161823085,0.1309363081666797,3.2875663833920045e-06,0.001396410074084997,0.0009274142503272742
depablo_mixed_temp,5,20,20,20,-0.15170734961264842,0.4269950369971788,0.22679945757564682,4.8080246664028436e-05,0.010053554610931315,0.0026650860672816634
depablo_mixed_temp,10,20,20,20,0.013919298344181597,0.32512198999120745,0.17922109704665723,4.985242608839258e-05,0.009725245682056993,0.0029735209314821986
depablo_mixed_temp,25,20,20,20,0.07644493257036356,0.2830794728125426,0.18142652653321048,4.259144379332724e-05,0.00859232833608985,0.0024244773128884846
depablo_mixed_temp,50,20,20,20,0.2997279952151284,0.21416164536668272,0.12905106469273595,4.1017624886308114e-05,0.007432232680730522,0.002748091201647185
depablo_mixed_temp,75,20,20,20,0.02019389599963095,0.25149414246734414,0.1721180025747532,3.6828876764616326e-05,0.005583788175135851,0.003509845197550021
depablo_mixed_temp,100,20,20,20,-0.03828064266177433,0.24238842770861252,0.12643548055144446,5.089738884294093e-05,0.005003994610160589,0.00442707548791077
lj_noisy,5,20,20,20,-9.945621324054203,0.09263512679433364,0.0012192600578043978,7.097877556816456e-08,0.0005748782394221052,0.00019835309140034952
lj_noisy,10,20,20,20,-3.708373569743988,0.08136385700058545,0.002153844244672589,4.781695892575044e-08,0.0002599898143671453,0.00013364268816076219
lj_noisy,25,20,20,20,-0.362810346017457,0.06314508653101485,0.004116859972161529,3.4585802097808484e-07,0.0004415407427586615,0.0001343737094430253
lj_noisy,50,20,20,20,0.2607220191914227,0.046785097045003096,0.004765160046327359,1.7754446218987142e-06,0.000807055039331317,0.00023484243429265915
lj_noisy,75,20,20,20,0.4930897757006485,0.04248350424886118,0.005096114207392416,4.503844263581414e-06,0.0009269159752875566,0.0003561235847882926
lj_noisy,100,20,20,20,0.5221317914136878,0.03870730936703165,0.005310082358180217,8.772718024374626e-06,0.0011652485001832247,0.00039456066442653535
reid,5,20,20,20,-0.6291095881445701,0.1630108762904309,0.02154076783415691,2.3826031347873312e-08,0.00022091529390309007,0.0001222733346367022
reid,10,20,20,20,0.46803121311399287,0.10893361078322121,0.028346618455362994,5.9314304845514696e-08,0.00031555037712678314,0.00016831331449793652
reid,25,20,20,20,0.8015406363904809,0.07041978849058268,0.034074291474254684,3.8759431539858726e-07,0.000633867597207427,0.0002416138944681734
reid,50,20,20,20,0.9123136208856035,0.044177846546255076,0.03674579830514,1.6388883381068809e-06,0.0009838330093771218,0.00025847645083558745
reid,75,20,20,20,0.9520165910412106,0.03365814853121065,0.03814548712888468,3.7785656772371112e-06,0.0012311698403209448,0.0003577398507331964
reid,100,20,20,20,0.9555314112715885,0.0362475439934115,0.039261933802947645,7.3251005630936564e-06,0.0014359951950609685,0.0005817247612867505
