comparison,source,latent_dim,reference_dim,seed,new_context,old_reference_dim,old_context,new_valid,old_valid,new_total,old_total,delta_position_mse,delta_response_mae,delta_response_r2
remove_context_same_ae,depablo_low_temp,2,96,3456456,0,96,16,20,20,20,20,1.804311071396114e-05,0.21072068577579028,-0.7435592457911294
remove_context_same_ae,depablo_mixed_temp,2,96,3456456,0,96,16,20,20,20,20,2.664400603862305e-05,0.2613926802271376,-0.9642360539356102
remove_context_same_ae,reid,2,96,3456456,0,96,16,20,20,20,20,1.464329276359422e-05,0.18246393773595285,-2.5440836999914755
remove_context_same_ae,depablo_low_temp,2,96,123,0,96,16,20,20,20,20,1.0180176093399496e-05,0.1263205699897435,-0.4476522218180998
remove_context_same_ae,depablo_mixed_temp,2,96,123,0,96,16,20,20,20,20,1.3828122223458199e-05,0.16273222021410683,-0.5209426569015398
remove_context_same_ae,reid,2,96,123,0,96,16,20,20,20,20,2.4460913937218717e-05,0.2869220129007697,-4.602756248622078
remove_context_same_ae,depablo_low_temp,2,96,456,0,96,16,20,20,20,20,1.3268647808217793e-05,0.17684628048002293,-0.6513617420724547
remove_context_same_ae,depablo_mixed_temp,2,96,456,0,96,16,20,20,20,20,2.1252845226626962e-05,0.23275461186603164,-0.8900889637916146
remove_context_same_ae,reid,2,96,456,0,96,16,20,20,20,20,1.4666418974229603e-05,0.21927053551523978,-2.799994707625581
remove_context_same_ae,depablo_low_temp,2,96,786,0,96,16,20,20,20,20,1.2929755598634074e-05,0.15928641082099718,-0.5185325490814526
remove_context_same_ae,depablo_mixed_temp,2,96,786,0,96,16,20,20,20,20,2.2680425922771973e-05,0.22494161262254728,-0.7660155457051109
remove_context_same_ae,reid,2,96,786,0,96,16,20,20,20,20,1.3126640737937123e-05,0.2119946594692477,-2.348130650572556
remove_context_same_ae,depablo_low_temp,2,96,2026,0,96,16,20,20,20,20,7.048991380997905e-06,0.09779187997361175,-0.2352998392372634
remove_context_same_ae,depablo_mixed_temp,2,96,2026,0,96,16,20,20,20,20,1.6921371457101483e-05,0.1681306509794024,-0.49399540482265025
remove_context_same_ae,reid,2,96,2026,0,96,16,20,20,20,20,2.2030630225344795e-05,0.27155723073099913,-4.298825427373076
remove_context_same_ae,depablo_low_temp,4,96,3456456,0,96,16,20,20,20,20,1.2750082441925768e-05,0.14322778889833773,-0.5360811799477148
remove_context_same_ae,depablo_mixed_temp,4,96,3456456,0,96,16,20,20,20,20,1.7197587249029317e-05,0.17676694422945982,-0.6749270163151718
remove_context_same_ae,reid,4,96,3456456,0,96,16,20,20,20,20,2.1827375076099993e-05,0.25428537240821786,-3.7466679696824343
remove_context_same_ae,depablo_low_temp,4,96,123,0,96,16,20,20,20,20,7.19031737617115e-06,0.09290930755139157,-0.26759972373642715
remove_context_same_ae,depablo_mixed_temp,4,96,123,0,96,16,20,20,20,20,9.0201779698873e-06,0.11891759060671504,-0.3184988949016987
remove_context_same_ae,reid,4,96,123,0,96,16,20,20,20,20,2.050208950095112e-05,0.255121259064083,-3.766002634482795
remove_context_same_ae,depablo_low_temp,4,96,456,0,96,16,20,20,20,20,2.5445292521908414e-05,0.21928469571975406,-0.852053035813788
remove_context_same_ae,depablo_mixed_temp,4,96,456,0,96,16,20,20,20,20,3.98488810105846e-05,0.27874600497916413,-1.136921789142065
remove_context_same_ae,reid,4,96,456,0,96,16,20,20,20,20,2.3169739438344554e-05,0.2653786097259913,-4.107161560583597
remove_context_same_ae,depablo_low_temp,4,96,786,0,96,16,20,20,20,20,6.524212187741794e-06,0.07583769704885299,-0.2029579714683728
remove_context_same_ae,depablo_mixed_temp,4,96,786,0,96,16,20,20,20,20,1.1742699666683616e-05,0.09291231578869504,-0.26106126639620597
remove_context_same_ae,reid,4,96,786,0,96,16,20,20,20,20,2.7246513172940465e-05,0.28696025309594325,-3.9396633712613642
remove_context_same_ae,depablo_low_temp,4,96,2026,0,96,16,20,20,20,20,1.7889788830416366e-05,0.17759862820961414,-0.628382790872089
remove_context_same_ae,depablo_mixed_temp,4,96,2026,0,96,16,20,20,20,20,3.320555398431679e-05,0.2539549382351509,-0.9444017442957233
remove_context_same_ae,reid,4,96,2026,0,96,16,20,20,20,20,1.0783206494124901e-05,0.178517420926524,-1.9357299670530375
remove_context_same_ae,depablo_low_temp,2,16,3456456,0,16,16,20,20,20,20,2.2501031480715055e-06,0.07860901597851906,-0.2010142179941221
combine,depablo_low_temp,2,16,3456456,0,96,16,20,20,20,20,7.240829182819654e-06,0.09829575810939731,-0.2397054181640631
remove_context_same_ae,depablo_mixed_temp,2,16,3456456,0,16,16,20,20,20,20,6.490580540230438e-06,0.11626363113589519,-0.29812587851445305
combine,depablo_mixed_temp,2,16,3456456,0,96,16,20,20,20,20,1.112726115479745e-05,0.13032940855749187,-0.32458382280119114
remove_context_same_ae,reid,2,16,3456456,0,16,16,20,20,20,20,1.656945905779139e-05,0.2315317199572534,-2.758598705287245
combine,reid,2,16,3456456,0,96,16,20,20,20,20,1.9050641208195883e-05,0.2317819832965842,-2.746092516375355
reduce_reference,depablo_low_temp,2,16,3456456,16,96,16,20,20,20,20,4.990726034748148e-06,0.019686742130878246,-0.03869120016994099
reduce_reference,depablo_mixed_temp,2,16,3456456,16,96,16,20,20,20,20,4.6366806145670125e-06,0.014065777421596662,-0.02645794428673809
reduce_reference,reid,2,16,3456456,16,96,16,20,20,20,20,2.481182150404493e-06,0.00025026333933078626,0.01250618891189026
remove_context_same_ae,depablo_low_temp,2,16,123,0,16,16,20,20,20,20,2.761185544386536e-06,0.06890277619871724,-0.10234148059638248
combine,depablo_low_temp,2,16,123,0,96,16,20,20,20,20,2.305012446868205e-06,0.02948351487429865,-0.05712410859197137
remove_context_same_ae,depablo_mixed_temp,2,16,123,0,16,16,20,20,20,20,6.426008815196839e-06,0.09175695734470657,-0.1911406761844895
combine,depablo_mixed_temp,2,16,123,0,96,16,20,20,20,20,6.844574772912897e-06,0.06915878286092061,-0.16046129685424948
remove_context_same_ae,reid,2,16,123,0,16,16,20,20,20,20,1.529105788904417e-05,0.23580386374305268,-2.9140622141763304
combine,reid,2,16,123,0,96,16,20,20,20,20,1.4698088261866363e-05,0.22633768942731758,-2.9105632884704087
reduce_reference,depablo_low_temp,2,16,123,16,96,16,20,20,20,20,-4.561730975183309e-07,-0.039419261324418586,0.045217372004411116
reduce_reference,depablo_mixed_temp,2,16,123,16,96,16,20,20,20,20,4.185659577160577e-07,-0.022598174483785954,0.03067937933024001
reduce_reference,reid,2,16,123,16,96,16,20,20,20,20,-5.929696271778084e-07,-0.009466174315735099,0.003498925705922029
remove_context_same_ae,depablo_low_temp,2,16,456,0,16,16,20,20,20,20,1.0954913807381673e-05,0.14622425880880596,-0.5180703483187598
combine,depablo_low_temp,2,16,456,0,96,16,20,20,20,20,1.0517354041894578e-05,0.16007213606458354,-0.5409418338410844
remove_context_same_ae,depablo_mixed_temp,2,16,456,0,16,16,20,20,20,20,1.8100201623383326e-05,0.206534736123163,-0.7962131041064473
combine,depablo_mixed_temp,2,16,456,0,96,16,20,20,20,20,1.8120744016414392e-05,0.21854750168668247,-0.8178279708569837
remove_context_same_ae,reid,2,16,456,0,16,16,20,20,20,20,1.3590560774900952e-05,0.18121630843218292,-2.4289466678314646
combine,reid,2,16,456,0,96,16,20,20,20,20,1.3590304956778712e-05,0.1853161864181797,-2.384244463706928
reduce_reference,depablo_low_temp,2,16,456,16,96,16,20,20,20,20,-4.375597654870951e-07,0.013847877255777588,-0.022871485522324653
reduce_reference,depablo_mixed_temp,2,16,456,16,96,16,20,20,20,20,2.0542393031065776e-08,0.012012765563519476,-0.021614866750536366
reduce_reference,reid,2,16,456,16,96,16,20,20,20,20,-2.5581812223982514e-10,0.004099877985996772,0.044702204124536515
remove_context_same_ae,depablo_low_temp,2,16,786,0,16,16,20,20,20,20,1.250331253004333e-05,0.16609571710629928,-0.4902032548699111
combine,depablo_low_temp,2,16,786,0,96,16,20,20,20,20,1.3544171451940201e-05,0.16740985765155011,-0.4883443141718229
remove_context_same_ae,depablo_mixed_temp,2,16,786,0,16,16,20,20,20,20,2.1819681819579273e-05,0.22333423917930298,-0.7533863510377471
combine,depablo_mixed_temp,2,16,786,0,96,16,20,20,20,20,2.4249092712125274e-05,0.23514750721269886,-0.7743206574417366
remove_context_same_ae,reid,2,16,786,0,16,16,20,20,20,20,1.3326634098120847e-05,0.19066601213951345,-2.1785232380192765
combine,reid,2,16,786,0,96,16,20,20,20,20,1.2085735693290187e-05,0.19793972624988823,-2.17780345987779
reduce_reference,depablo_low_temp,2,16,786,16,96,16,20,20,20,20,1.0408589218968707e-06,0.0013141405452508498,0.0018589406980882295
reduce_reference,depablo_mixed_temp,2,16,786,16,96,16,20,20,20,20,2.429410892546001e-06,0.011813268033395885,-0.020934306403989522
reduce_reference,reid,2,16,786,16,96,16,20,20,20,20,-1.2408984048306606e-06,0.0072737141103747585,0.0007197781414869375
remove_context_same_ae,depablo_low_temp,2,16,2026,0,16,16,20,20,20,20,2.253269083212217e-05,0.2814959346020992,-1.2790995393468088
combine,depablo_low_temp,2,16,2026,0,96,16,20,20,20,20,2.796843809846905e-05,0.2958019881357534,-1.3043242045366061
remove_context_same_ae,depablo_mixed_temp,2,16,2026,0,16,16,20,20,20,20,3.0874825267801494e-05,0.3146431949121391,-1.54408487865427
combine,depablo_mixed_temp,2,16,2026,0,96,16,20,20,20,20,3.2423812149318104e-05,0.30450652962691904,-1.5187000859080286
remove_context_same_ae,reid,2,16,2026,0,16,16,20,20,20,20,1.3260339301268687e-05,0.19602009924878855,-2.380775953371885
combine,reid,2,16,2026,0,96,16,20,20,20,20,1.41255838343568e-05,0.19122173554305893,-2.341580859877495
reduce_reference,depablo_low_temp,2,16,2026,16,96,16,20,20,20,20,5.435747266346879e-06,0.014306053533654217,-0.02522466518979727
reduce_reference,depablo_mixed_temp,2,16,2026,16,96,16,20,20,20,20,1.5489868815166105e-06,-0.010136665285220059,0.025384792746241502
reduce_reference,reid,2,16,2026,16,96,16,20,20,20,20,8.652445330881137e-07,-0.0047983637057296274,0.039195093494389766
remove_context_same_ae,depablo_low_temp,4,16,3456456,0,16,16,20,20,20,20,9.826378436628147e-06,0.13120338695856115,-0.45158275084483346
combine,depablo_low_temp,4,16,3456456,0,96,16,20,20,20,20,9.643344594678637e-06,0.15424013206401668,-0.4846648407962637
remove_context_same_ae,depablo_mixed_temp,4,16,3456456,0,16,16,20,20,20,20,1.604789878228985e-05,0.18739744037017456,-0.6850063676883165
combine,depablo_mixed_temp,4,16,3456456,0,96,16,20,20,20,20,1.543702946946724e-05,0.21446272723489107,-0.7283449575675042
remove_context_same_ae,reid,4,16,3456456,0,16,16,20,20,20,20,9.99195858639723e-06,0.17958921886378304,-1.9251248889916064
combine,reid,4,16,3456456,0,96,16,20,20,20,20,9.973933185847268e-06,0.1826754503224517,-1.9077654860408335
reduce_reference,depablo_low_temp,4,16,3456456,16,96,16,20,20,20,20,-1.8303384194950956e-07,0.02303674510545553,-0.03308208995143025
reduce_reference,depablo_mixed_temp,4,16,3456456,16,96,16,20,20,20,20,-6.108693128226096e-07,0.0270652868647165,-0.043338589879187706
reduce_reference,reid,4,16,3456456,16,96,16,20,20,20,20,-1.802540054996187e-08,0.0030862314586686534,0.017359402950772762
remove_context_same_ae,depablo_low_temp,4,16,123,0,16,16,20,20,20,20,1.0831803831479191e-05,0.17929360581881632,-0.49719929312260713
combine,depablo_low_temp,4,16,123,0,96,16,20,20,20,20,1.1079649004841485e-05,0.16024921598461755,-0.4778536295027038
remove_context_same_ae,depablo_mixed_temp,4,16,123,0,16,16,20,20,20,20,1.7350367693325096e-05,0.21929518101927709,-0.6881359116483936
combine,depablo_mixed_temp,4,16,123,0,96,16,20,20,20,20,1.6295353918849284e-05,0.21599765703144275,-0.6764043893347685
remove_context_same_ae,reid,4,16,123,0,16,16,20,20,20,20,1.561163981023128e-05,0.2173598926015936,-2.996197512588899
combine,reid,4,16,123,0,96,16,20,20,20,20,1.8474660328138272e-05,0.2276341871906629,-3.0274731722410997
reduce_reference,depablo_low_temp,4,16,123,16,96,16,20,20,20,20,2.478451733622936e-07,-0.019044389834198774,0.01934566361990331
reduce_reference,depablo_mixed_temp,4,16,123,16,96,16,20,20,20,20,-1.0550137744758117e-06,-0.003297523987834311,0.011731522313625065
reduce_reference,reid,4,16,123,16,96,16,20,20,20,20,2.8630205179069903e-06,0.010274294589069283,-0.031275659652200805
remove_context_same_ae,depablo_low_temp,4,16,456,0,16,16,20,20,20,20,1.1087693303579729e-05,0.1370557566891386,-0.4806913911533701
combine,depablo_low_temp,4,16,456,0,96,16,20,20,20,20,1.2008909789074097e-05,0.1620053611583555,-0.5329310819517022
remove_context_same_ae,depablo_mixed_temp,4,16,456,0,16,16,20,20,20,20,1.457889052289829e-05,0.1707409165254425,-0.607612216899373
combine,depablo_mixed_temp,4,16,456,0,96,16,20,20,20,20,1.5488263329643814e-05,0.20781495193924177,-0.6664736208034917
remove_context_same_ae,reid,4,16,456,0,16,16,20,20,20,20,9.85157153081673e-06,0.15136415474601073,-1.6874991451066823
combine,reid,4,16,456,0,96,16,20,20,20,20,9.831609736465909e-06,0.18873057179079228,-1.8319611166226875
reduce_reference,depablo_low_temp,4,16,456,16,96,16,20,20,20,20,9.212164854943684e-07,0.02494960446921693,-0.05223969079833213
reduce_reference,depablo_mixed_temp,4,16,456,16,96,16,20,20,20,20,9.093728067455245e-07,0.03707403541379928,-0.05886140390411876
reduce_reference,reid,4,16,456,16,96,16,20,20,20,20,-1.9961794350821483e-08,0.037366417044781525,-0.14446197151600515
remove_context_same_ae,depablo_low_temp,4,16,786,0,16,16,20,20,20,20,7.079770682594244e-06,0.08750991969342391,-0.2576275077172032
combine,depablo_low_temp,4,16,786,0,96,16,20,20,20,20,8.015658647764212e-06,0.11065262414398616,-0.27904726264537205
remove_context_same_ae,depablo_mixed_temp,4,16,786,0,16,16,20,20,20,20,9.015237560561223e-06,0.10290461125714705,-0.31313265605734786
combine,depablo_mixed_temp,4,16,786,0,96,16,20,20,20,20,9.774673094398169e-06,0.11344412923422113,-0.31798061548380685
remove_context_same_ae,reid,4,16,786,0,16,16,20,20,20,20,1.2249146413978453e-05,0.20911328550582176,-2.0930123376871665
combine,reid,4,16,786,0,96,16,20,20,20,20,1.2834614915391283e-05,0.2175262617787756,-2.109212852038381
reduce_reference,depablo_low_temp,4,16,786,16,96,16,20,20,20,20,9.358879651699674e-07,0.023142704450562247,-0.021419754928168833
reduce_reference,depablo_mixed_temp,4,16,786,16,96,16,20,20,20,20,7.594355338369456e-07,0.010539517977074087,-0.004847959426458992
reduce_reference,reid,4,16,786,16,96,16,20,20,20,20,5.854685014128309e-07,0.00841297627295387,-0.01620051435121428
remove_context_same_ae,depablo_low_temp,4,16,2026,0,16,16,20,20,20,20,9.625303323446132e-06,0.15337403618127077,-0.4777470024031255
combine,depablo_low_temp,4,16,2026,0,96,16,20,20,20,20,7.609298882016444e-06,0.1331307490861653,-0.4378150683075911
remove_context_same_ae,depablo_mixed_temp,4,16,2026,0,16,16,20,20,20,20,1.5526943502663923e-05,0.2027318803209552,-0.6817051722058212
combine,depablo_mixed_temp,4,16,2026,0,96,16,20,20,20,20,1.54682416336982e-05,0.18810376087863598,-0.6481212195307018
remove_context_same_ae,reid,4,16,2026,0,16,16,20,20,20,20,1.3617411468658247e-05,0.21877145161500067,-2.5611606682048325
