kind,reference_dim,latent_dim,seed,smoke,code_version,job_id,status,cpus,memory_gb,queue,placement,path
run,96,2,3456456,False,code_v2,4671405.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d2_s3456456_code_v2
run,96,2,123,False,code_v2,4671407.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d2_s123_code_v2
run,96,2,456,False,code_v2,4671409.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d2_s456_code_v2
run,96,2,786,False,code_v2,4671413.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d2_s786_code_v2
run,96,2,2026,False,code_v2,4671415.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d2_s2026_code_v2
run,96,4,3456456,False,code_v2,4671417.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d4_s3456456_code_v2
run,96,4,123,False,code_v2,4671418.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d4_s123_code_v2
run,96,4,456,False,code_v2,4671419.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d4_s456_code_v2
run,96,4,786,False,code_v2,4671420.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d4_s786_code_v2
run,96,4,2026,False,code_v2,4671421.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r96_d4_s2026_code_v2
run,16,2,3456456,False,code_v2,4671422.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r16_d2_s3456456_code_v2
run,16,2,123,False,code_v2,4671423.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r16_d2_s123_code_v2
run,16,2,456,False,code_v2,4671424.zeus-master,completed,8,16,mendels_q,free:shared,/rg/mendels_prj/alexander.z/DL-course-project/notebooks/results/reference_simplification/r16_d2_s456_code_v2
