kind,source,reference_dim,latent_dim,context,seeds,mae_mean,mae_std,r2_mean,r2_std,position_mse_mean,position_mse_std,valid_min,valid_sum,total_sum,coordinate_valid_sum
ae,depablo_low_temp,8,2,-1,5,0.049875284761609705,0.011667382421419688,0.9683520333442475,0.015441304544731907,1.364738873803617e-05,7.626834578140233e-07,20,100,100,100
ae,depablo_low_temp,8,4,-1,5,0.0542790635907584,0.013039288066484859,0.9670463183437723,0.01843419395667483,1.365124212043156e-05,1.9763388637055396e-06,20,100,100,100
ae,depablo_low_temp,16,2,-1,5,0.04979190969548567,0.008761784038691269,0.9676151941080289,0.0133407675574789,1.4866123094634532e-05,2.52204256277795e-06,20,100,100,100
ae,depablo_low_temp,16,4,-1,5,0.04740628486857645,0.01024788631095961,0.9742260000126024,0.009590543571502083,1.2818303800941067e-05,1.1383611878258193e-06,20,100,100,100
ae,depablo_low_temp,96,2,-1,5,0.03935642779781849,0.008958431552460318,0.9825208660928514,0.0075543078673070375,1.2736754856632616e-05,9.908026437843735e-07,20,100,100,100
ae,depablo_low_temp,96,4,-1,5,0.04077325541282164,0.01317912172102821,0.9803484253139907,0.015047205913254152,1.2655074501708442e-05,6.268679178562558e-07,20,100,100,100
ae,depablo_mixed_temp,8,2,-1,5,0.11770306488683605,0.034012579898425065,0.8053013139374385,0.10799530062880543,6.388976791185997e-05,8.296778393606944e-06,20,100,100,100
ae,depablo_mixed_temp,8,4,-1,5,0.18101508321379672,0.06327178445187996,0.49632994765571786,0.3175936583314239,9.546842542249579e-05,2.2241583173218225e-05,20,100,100,100
ae,depablo_mixed_temp,16,2,-1,5,0.18356781534836447,0.06715164726026226,0.4379080478282761,0.3676383804704355,0.00012217260308261757,2.0812630200308815e-05,20,100,100,100
ae,depablo_mixed_temp,16,4,-1,5,0.14957351911465316,0.05939857794304534,0.6953600120662351,0.2126149607255556,8.56634721753835e-05,3.540342248987412e-05,20,100,100,100
ae,depablo_mixed_temp,96,2,-1,5,0.15346292722212235,0.05487282837230613,0.6823176054231098,0.19743255232299672,0.00010232454892729948,4.922818260776309e-05,20,100,100,100
ae,depablo_mixed_temp,96,4,-1,5,0.1148598149908858,0.040277266874992536,0.8087103511495911,0.1027888191991849,6.734510046726427e-05,2.8802027949959855e-05,20,100,100,100
ae,reid,8,2,-1,5,0.050537434568896075,0.02037817312926479,0.9052738184817588,0.08410513908537916,3.502496474766303e-05,3.1853668436342974e-06,20,100,100,100
ae,reid,8,4,-1,5,0.0663205683788657,0.015945224469682003,0.8416350410263622,0.060814146770708954,3.4251880961164716e-05,6.735745557334964e-07,20,100,100,100
ae,reid,16,2,-1,5,0.059916110381149766,0.025402530762642296,0.8477755577406182,0.12478178851478233,3.528396450064974e-05,1.479405081780466e-06,20,100,100,100
ae,reid,16,4,-1,5,0.07267143962432088,0.02246071052135933,0.7918766861108889,0.10545093419199834,3.8276809332273844e-05,8.558030057209809e-06,20,100,100,100
ae,reid,96,2,-1,5,0.06292812962656867,0.017885549167206128,0.8528452652892644,0.08659597568352742,3.7021092937266075e-05,2.2397074509787585e-06,20,100,100,100
ae,reid,96,4,-1,5,0.04899614067416628,0.011951868489141381,0.9111209876490568,0.028244054512958926,3.43237186962142e-05,1.0141728410878323e-06,20,100,100,100
rollout,depablo_low_temp,8,2,0,5,0.23448241055592495,0.0437186747042356,0.39720280769279137,0.1923526940610872,2.5970593326292147e-05,3.0914351599791835e-06,20,100,100,100
rollout,depablo_low_temp,8,2,16,5,0.09648948635754784,0.020438241301962846,0.8906193459895466,0.05603292054324965,1.6135283935909683e-05,2.0429783072571596e-06,20,100,100,100
rollout,depablo_low_temp,8,4,0,5,0.23511927320629528,0.015257992155393528,0.42639724776368454,0.09349145022423769,2.542697020999185e-05,1.303099417630719e-06,20,100,100,100
rollout,depablo_low_temp,8,4,16,5,0.08025203058784301,0.02096903567496964,0.9279644236495009,0.027454514114335034,1.383071041345829e-05,1.6538723384924656e-06,20,100,100,100
rollout,depablo_low_temp,16,2,0,5,0.22379688653057866,0.09270459607699127,0.4184636885576907,0.46780905000195494,2.619204316260948e-05,9.483910420030814e-06,20,100,100,100
rollout,depablo_low_temp,16,2,16,5,0.07553134599169051,0.017672306726687143,0.9366094567828875,0.021892220083963743,1.5991601990208438e-05,2.08188367673986e-06,20,100,100,100
rollout,depablo_low_temp,16,4,0,5,0.2170385667208937,0.029787732021322306,0.5004812226231,0.10711326111268175,2.3382836957352993e-05,1.6681397312923697e-06,20,100,100,100
rollout,depablo_low_temp,16,4,16,5,0.07935122565265156,0.015212235301127478,0.9334508116713278,0.02245390027152827,1.3692647041807503e-05,2.7330795353996004e-07,20,100,100,100
rollout,depablo_low_temp,96,2,0,5,0.22777740097149518,0.04377414845370983,0.42527054481872034,0.19656856574806408,2.6171018437253224e-05,4.046526179739771e-06,20,100,100,100
rollout,depablo_low_temp,96,2,16,5,0.07358423556346205,0.008746485877800341,0.9445516644188003,0.014286262584468582,1.3876882118211142e-05,1.1033696318315597e-06,20,100,100,100
rollout,depablo_low_temp,96,4,0,5,0.21475457371905557,0.06736376896986604,0.44552865889614834,0.2738757873616865,2.7671403445310715e-05,8.424530652609091e-06,20,100,100,100
rollout,depablo_low_temp,96,4,16,5,0.07298295023346546,0.01431207782094702,0.9429435992638266,0.024954011925199554,1.3711464773678018e-05,1.3549291011002067e-06,20,100,100,100
rollout,depablo_mixed_temp,8,2,0,5,0.28952360537275107,0.05818579885058344,0.1599110929480913,0.26853018240028403,5.026250345053995e-05,5.679845343594213e-06,20,100,100,100
rollout,depablo_mixed_temp,8,2,16,5,0.10724876507253009,0.020954973849583825,0.8672276890520683,0.05041518311342268,3.3806439548698106e-05,2.1443831002952006e-06,20,100,100,100
rollout,depablo_mixed_temp,8,4,0,5,0.29366469131987094,0.018423366226106484,0.18839561657807635,0.1231594253227289,4.98792251210034e-05,2.7855368136681628e-06,20,100,100,100
rollout,depablo_mixed_temp,8,4,16,5,0.09096340612523088,0.01675769745123154,0.8951376700219214,0.02746175953579375,3.226562698273483e-05,1.154520946405525e-06,20,100,100,100
rollout,depablo_mixed_temp,16,2,0,5,0.2738831690086493,0.09047653854789338,0.19592842870201305,0.522288238645839,5.031132129261096e-05,1.0429760576386168e-05,20,100,100,100
rollout,depablo_mixed_temp,16,2,16,5,0.0833766172696079,0.015861621350992065,0.9125186064014944,0.024990097276099226,3.356906167937268e-05,1.630875649486094e-06,20,100,100,100
rollout,depablo_mixed_temp,16,4,0,5,0.2684253130528565,0.05110790370475911,0.30429275087655816,0.1737108388778108,4.6163955134943533e-05,3.385594615286052e-06,20,100,100,100
rollout,depablo_mixed_temp,16,4,16,5,0.09181130715425723,0.017232537027550506,0.8994112157764086,0.030625985584528226,3.166008752259586e-05,6.662127079335709e-07,20,100,100,100
rollout,depablo_mixed_temp,96,2,0,5,0.29233557820155187,0.042563451100939474,0.18805147044314577,0.2099194465307774,5.202357850521366e-05,5.080957160208503e-06,20,100,100,100
rollout,depablo_mixed_temp,96,2,16,5,0.08234522301970669,0.0025411116215386213,0.915107195474451,0.010012853524377854,3.175822433149733e-05,5.037616908817567e-07,20,100,100,100
rollout,depablo_mixed_temp,96,4,0,5,0.26472022655700694,0.08782644616705565,0.24459556921043973,0.3874093481384229,5.387422282183251e-05,1.381333584049881e-05,20,100,100,100
rollout,depablo_mixed_temp,96,4,16,5,0.08046066778916997,0.011821384429816756,0.9117577114206128,0.015456634264486228,3.1671242845732193e-05,7.266577600895072e-07,20,100,100,100
rollout,reid,8,2,0,5,0.2686149798873112,0.02911552116501355,-1.6228799035294508,0.6794444986937118,4.723030946024665e-05,4.744264370322407e-06,20,100,100,100
rollout,reid,8,2,16,5,0.08557251443753149,0.015971592805790035,0.7539445433502391,0.0895763185208465,3.427116096872851e-05,2.1976837668451546e-06,20,100,100,100
rollout,reid,8,4,0,5,0.2584054487825134,0.02609198988656162,-1.397639731488864,0.4695773312859142,4.608536927662499e-05,3.145549987483996e-06,20,100,100,100
rollout,reid,8,4,16,5,0.06907793346293889,0.01462180043075969,0.8253506044780499,0.07591786443438886,3.2892190454276715e-05,9.211378973891233e-07,20,100,100,100
rollout,reid,16,2,0,5,0.2728365597465619,0.022036830555924158,-1.678181318256555,0.30599704586626136,4.818083561985986e-05,2.0755248596172146e-06,20,100,100,100
rollout,reid,16,2,16,5,0.06578895904240369,0.01009003248288145,0.8540000374806855,0.03553862434924023,3.3773225395634655e-05,1.0485857705164174e-06,20,100,100,100
rollout,reid,16,4,0,5,0.26682276832992696,0.022738054356643302,-1.424694279416394,0.5202641153339517,4.5836237472940414e-05,3.917641783039681e-06,20,100,100,100
rollout,reid,16,4,16,5,0.07158316766348498,0.012228560572195542,0.8279046310994435,0.05299778051314384,3.357189191092402e-05,1.5736901913396945e-06,20,100,100,100
rollout,reid,96,2,0,5,0.300758770829998,0.04365999436824894,-2.484882547431913,1.040672572696931,5.1256344156627166e-05,5.601227939746852e-06,20,100,100,100
rollout,reid,96,2,16,5,0.06631709555955617,0.007895156612090424,0.8338755994050404,0.045151278810798154,3.347076482896227e-05,7.581349094548194e-07,20,100,100,100
rollout,reid,96,4,0,5,0.3123874099539705,0.02994951153735244,-2.65701505720534,0.8396893303876075,5.344161901575717e-05,5.353711926136157e-06,20,100,100,100
rollout,reid,96,4,16,5,0.06433482690981862,0.013495710197920927,0.8420300434073054,0.05516719657193611,3.2735834279264966e-05,7.718517137479757e-07,20,100,100,100
